student_id,cate_hat,cate_se
S201300001,0.08,0.0154
S201300004,0.1183,0.0114
S201300007,0.0532,0.0152
S201300010,0.1161,0.0149
S201300013,0.0551,0.0128
S201300016,0.1156,0.0117
S201300019,0.0866,0.0127
S201300022,0.1252,0.0133
S201300025,0.0616,0.0148
S201300028,0.039,0.0159
S201300031,0.1013,0.011
S201300034,0.0333,0.0103
S201300037,0.0598,0.0131
S201300040,0.0403,0.0155
S201300043,0.0663,0.0131
S201300046,0.0147,0.0115
S201300049,0.037,0.0112
S201300052,0.0614,0.0112
S201300055,0.0939,0.01
S201300058,0.0658,0.0109
S201300061,0.1206,0.0153
S201300064,0.1131,0.0151
S201300067,0.0588,0.0145
S201300070,0.101,0.0132
S201300073,0.1484,0.0152
S201300076,0.0575,0.0136
S201300079,0.1753,0.0123
S201300082,0.0668,0.0109
S201300085,0.0411,0.0123
S201300088,0.0524,0.0135
S201300091,0.056,0.0138
S201300094,0.0429,0.0109
S201300097,0.1016,0.0114
S201300100,0.048,0.0106
S201300103,0.1142,0.0113
S201300106,0.1206,0.0118
S201300109,0.0298,0.014
S201300112,0.1745,0.0151
S201300115,0.1314,0.0154
S201300118,0.1051,0.0109
S201300121,0.078,0.0156
S201300124,0.0277,0.0111
S201300127,0.0455,0.0138
S201300130,0.0824,0.0123
S201300133,0.1193,0.0114
S201300136,0.155,0.0153
S201300139,0.0394,0.0133
S201300142,0.0675,0.0145
S201300145,0.0543,0.0122
S201300148,0.1807,0.0107
S201300151,0.0169,0.0139
S201300154,0.1465,0.0131
S201300157,0.0524,0.0121
S201300160,0.0498,0.0141
S201300163,0.0584,0.0131
S201300166,0.1139,0.0155
S201300169,0.1039,0.0156
S201300172,0.1017,0.0145
S201300175,0.151,0.0108
S201300178,0.0214,0.0149
S201300181,0.1019,0.0138
S201300184,0.0991,0.0131
S201300187,0.0753,0.0114
S201300190,0.0671,0.0122
S201300193,0.1172,0.0121
S201300196,0.0376,0.0134
S201300199,0.0425,0.0116
S201300202,0.0654,0.0127
S201300205,0.1044,0.0131
S201300208,0.0945,0.0154
S201300211,0.0822,0.0135
S201300214,0.1428,0.0153
S201300217,0.0428,0.0155
S201300220,0.041,0.0126
S201300223,0.0532,0.0157
S201300226,0.1209,0.0148
S201300229,0.0312,0.0143
S201300232,0.0908,0.012
