student_id,assignment
S201300001,0
S201300002,0
S201300003,1
S201300004,1
S201300005,1
S201300006,0
S201300007,0
S201300008,1
S201300009,0
S201300010,0
S201300011,0
S201300012,1
S201300013,1
S201300014,0
S201300015,1
S201300016,1
S201300017,0
S201300018,0
S201300019,0
S201300020,1
S201300021,0
S201300022,1
S201300023,1
S201300024,0
S201300025,0
S201300026,1
S201300027,1
S201300028,1
S201300029,0
S201300030,1
S201300031,0
S201300032,0
S201300033,1
S201300034,0
S201300035,1
S201300036,0
S201300037,0
S201300038,0
S201300039,0
S201300040,1
S201300041,0
S201300042,1
S201300043,1
S201300044,0
S201300045,0
S201300046,0
S201300047,0
S201300048,0
S201300049,0
S201300050,0
S201300051,0
S201300052,1
S201300053,0
S201300054,0
S201300055,1
S201300056,1
S201300057,0
S201300058,0
S201300059,1
S201300060,0
S201300061,1
S201300062,0
S201300063,0
S201300064,0
S201300065,0
S201300066,1
S201300067,1
S201300068,0
S201300069,1
S201300070,0
S201300071,1
S201300072,0
S201300073,1
S201300074,1
S201300075,1
S201300076,0
S201300077,0
S201300078,0
S201300079,1
S201300080,0
S201300081,0
S201300082,0
S201300083,1
S201300084,1
S201300085,0
S201300086,0
S201300087,1
S201300088,0
S201300089,1
S201300090,0
S201300091,1
S201300092,0
S201300093,0
S201300094,0
S201300095,0
S201300096,0
S201300097,0
S201300098,1
S201300099,1
S201300100,0
S201300101,0
S201300102,0
S201300103,0
S201300104,0
S201300105,0
S201300106,1
S201300107,0
S201300108,1
S201300109,0
S201300110,0
S201300111,1
S201300112,1
S201300113,1
S201300114,1
S201300115,1
S201300116,0
S201300117,0
S201300118,0
S201300119,0
S201300120,1
S201300121,0
S201300122,0
S201300123,1
S201300124,0
S201300125,1
S201300126,0
S201300127,0
S201300128,0
S201300129,0
S201300130,0
S201300131,0
S201300132,0
S201300133,1
S201300134,0
S201300135,1
S201300136,1
S201300137,0
S201300138,0
S201300139,0
S201300140,0
S201300141,0
S201300142,1
S201300143,1
S201300144,0
S201300145,0
S201300146,0
S201300147,0
S201300148,1
S201300149,1
S201300150,0
S201300151,0
S201300152,0
S201300153,0
S201300154,1
S201300155,0
S201300156,0
S201300157,0
S201300158,0
S201300159,1
S201300160,1
S201300161,1
S201300162,0
S201300163,0
S201300164,0
S201300165,1
S201300166,0
S201300167,1
S201300168,0
S201300169,0
S201300170,0
S201300171,1
S201300172,1
S201300173,1
S201300174,0
S201300175,1
S201300176,1
S201300177,0
S201300178,0
S201300179,0
S201300180,0
S201300181,0
S201300182,1
S201300183,0
S201300184,0
S201300185,1
S201300186,0
S201300187,0
S201300188,0
S201300189,0
S201300190,0
S201300191,1
S201300192,0
S201300193,0
S201300194,1
S201300195,0
S201300196,0
S201300197,0
S201300198,1
S201300199,0
S201300200,1
S201300201,0
S201300202,0
S201300203,0
S201300204,0
S201300205,0
S201300206,0
S201300207,0
S201300208,0
S201300209,1
S201300210,0
S201300211,0
S201300212,0
S201300213,1
S201300214,1
S201300215,0
S201300216,0
S201300217,0
S201300218,1
S201300219,0
S201300220,0
S201300221,0
S201300222,0
S201300223,0
S201300224,0
S201300225,1
S201300226,0
S201300227,1
S201300228,0
S201300229,0
S201300230,1
S201300231,0
S201300232,0
S201300233,1
S201300234,0
S201300235,1
S201300236,0
S201300237,0
S201300238,1
S201300239,0
S201300240,0
S201300241,0
S201300242,1
S201300243,0
S201300244,0
S201300245,0
S201300246,0
S201300247,0
S201300248,0
S201300249,0
S201300250,0
S201300251,0
S201300252,0
S201300253,0
S201300254,0
S201300255,0
S201300256,0
S201300257,0
S201300258,1
S201300259,0
S201300260,1
S201300261,0
S201300262,1
S201300263,0
S201300264,0
S201300265,0
S201300266,0
S201300267,0
S201300268,0
S201300269,0
S201300270,0
S201300271,0
S201300272,0
S201300273,1
S201300274,0
S201300275,0
S201300276,0
S201300277,0
S201300278,1
S201300279,0
S201300280,0
S201300281,1
S201300282,0
S201300283,1
S201300284,1
S201300285,1
S201300286,1
S201300287,1
S201300288,0
S201300289,1
S201300290,0
S201300291,1
S201300292,0
S201300293,0
S201300294,0
S201300295,0
S201300296,1
S201300297,1
S201300298,1
S201300299,0
S201300300,1
S201300301,0
S201300302,1
S201300303,0
S201300304,0
S201300305,1
S201300306,1
S201300307,0
S201300308,0
S201300309,0
S201300310,1
S201300311,1
S201300312,0
S201300313,0
S201300314,0
S201300315,1
S201300316,1
S201300317,1
S201300318,1
S201300319,0
S201300320,0
S201300321,1
S201300322,0
S201300323,0
S201300324,1
S201300325,0
S201300326,0
S201300327,0
S201300328,1
S201300329,1
S201300330,0
S201300331,1
S201300332,0
S201300333,0
S201300334,0
S201300335,1
S201300336,0
S201300337,0
S201300338,1
S201300339,0
S201300340,0
S201300341,0
S201300342,0
S201300343,0
S201300344,1
S201300345,0
S201300346,1
S201300347,0
S201300348,1
S201300349,1
S201300350,0
S201300351,0
S201300352,1
S201300353,1
S201300354,1
S201300355,0
S201300356,0
S201300357,0
S201300358,1
S201300359,1
S201300360,1
S201300361,0
S201300362,0
S201300363,1
S201300364,0
S201300365,1
S201300366,0
S201300367,0
S201300368,1
S201300369,0
S201300370,0
S201300371,0
S201300372,0
S201300373,0
S201300374,1
S201300375,1
S201300376,1
S201300377,0
S201300378,1
S201300379,0
S201300380,0
S201300381,1
S201300382,0
S201300383,1
S201300384,0
S201300385,0
S201300386,0
S201300387,1
S201300388,0
S201300389,0
S201300390,0
S201300391,0
S201300392,0
S201300393,0
S201300394,1
S201300395,1
S201300396,0
S201300397,0
S201300398,0
S201300399,0
S201300400,1
S201300401,1
S201300402,0
S201300403,1
S201300404,0
S201300405,1
S201300406,0
S201300407,0
S201300408,0
S201300409,0
S201300410,0
S201300411,0
