zip3,state,rural_urban_continuum_code,classification
010,MA,3,metro
012,MA,4,metro
100,NY,1,metro
101,NY,1,metro
606,IL,1,metro
770,TX,2,metro
782,TX,4,nonmetro
902,CA,1,metro
970,OR,7,nonmetro
990,WA,6,nonmetro
227,VA,2,nonmetro
115,VA,5,nonmetro
582,NY,4,metro
536,CA,4,nonmetro
558,VA,7,nonmetro
596,NY,4,nonmetro
930,TX,6,nonmetro
662,CA,7,nonmetro
789,TX,6,metro
253,TX,4,nonmetro
817,OH,5,nonmetro
993,NC,4,nonmetro
670,VA,1,nonmetro
399,NC,4,nonmetro
433,VA,3,nonmetro
301,NC,9,metro
792,CA,9,metro
484,VA,5,nonmetro
263,NC,9,nonmetro
766,TX,3,nonmetro
836,TX,1,nonmetro
721,CA,3,metro
443,VA,6,metro
795,CA,5,metro
835,NC,5,metro
974,OH,3,metro
741,OH,5,metro
483,CA,2,nonmetro
143,NC,7,metro
238,VA,4,metro
312,NC,3,nonmetro
713,CA,3,nonmetro
432,TX,6,metro
030,VA,5,nonmetro
152,VA,5,metro
528,TX,4,metro
729,OH,9,metro
138,NY,4,nonmetro
035,NC,2,nonmetro
553,OH,1,nonmetro
