student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category,efc_dollars,need_index,eligible_flag,aid_received,annual_aid_amount,y1_gpa_mean,y1_credits,y2_retained,y6_completed,cumulative_gpa_final,above_cutoff,distance_from_cutoff
S201400001,2014,0,M,1,Unknown,NJ,INST_03,Regional College C (Teaching),teaching,3.51,3,1996,Education,Other,11944,1.756,1,1,7010,2.93,30,1,0,,0,-1.244
S201400002,2014,0,M,0,White,NC,INST_02,State University B (Research),research,3.3,25,1996,Civil Engineering,STEM,17784,2.615,1,0,0,2.8899999999999997,30,1,1,2.81,0,-0.385
S201400003,2014,0,M,0,Hispanic,NY,INST_03,Regional College C (Teaching),teaching,2.84,54,1996,General Studies,Other,12340,1.815,1,1,7371,2.825,28,1,0,,0,-1.185
S201400004,2014,0,F,0,Hispanic,NJ,INST_03,Regional College C (Teaching),teaching,3.7,36,1996,Electrical Engineering,STEM,4107,0.604,1,0,0,2.395,28,1,1,2.55,0,-2.396
S201400005,2014,1,F,0,Multi,NY,INST_05,Urban University E (Research),research,2.54,71,1996,Political Science,Social Sciences,392,0.1,1,1,4720,3.8,30,0,0,,0,-2.9
S201400006,2014,0,M,1,White,FL,INST_04,Regional College D (Teaching),teaching,2.41,85,1996,Anthropology,Social Sciences,6788,0.998,1,1,4218,2.685,31,1,1,3.0,0,-2.002
S201400007,2014,0,F,0,White,MI,INST_03,Regional College C (Teaching),teaching,3.6,38,1996,Mechanical Engineering,STEM,23036,3.388,0,0,0,3.475,30,0,0,,1,0.388
S201400008,2014,1,M,0,White,NC,INST_01,State University A (Research),research,3.64,62,1996,General Studies,Other,6186,0.91,1,0,0,3.495,28,1,1,3.48,0,-2.09
S201400009,2014,0,M,1,White,PA,INST_02,State University B (Research),research,3.51,35,1996,Electrical Engineering,STEM,9737,1.432,1,0,0,2.9,33,1,1,3.46,0,-1.568
S201400010,2014,0,F,0,Black,NC,INST_05,Urban University E (Research),research,4.0,79,1996,Accounting,Business,11240,1.653,1,1,6991,4.0,32,1,0,,0,-1.347
S201400011,2014,1,M,0,White,FL,INST_03,Regional College C (Teaching),teaching,3.46,41,1996,Pre-Med,Health,2296,0.338,1,1,4799,3.85,29,1,0,,0,-2.662
S201400012,2014,1,M,1,Asian,CA,INST_04,Regional College D (Teaching),teaching,3.98,66,1996,Education,Other,0,0.1,1,1,5966,3.595,30,0,0,,0,-2.9
S201400013,2014,1,F,0,Asian,NY,INST_05,Urban University E (Research),research,3.57,45,1996,Anthropology,Social Sciences,1916,0.282,1,1,5658,3.5549999999999997,34,1,1,3.88,0,-2.718
S201400014,2014,1,M,0,Hispanic,PA,INST_03,Regional College C (Teaching),teaching,2.7,45,1996,Anthropology,Social Sciences,18326,2.695,1,1,6487,3.3150000000000004,31,1,0,,0,-0.305
S201400015,2014,1,M,0,White,NY,INST_04,Regional College D (Teaching),teaching,3.39,56,1996,Mechanical Engineering,STEM,18639,2.741,1,1,5806,3.76,27,0,0,,0,-0.259
S201400016,2014,0,M,0,White,VA,INST_01,State University A (Research),research,3.67,45,1996,Nursing,Health,10523,1.548,1,1,4417,3.425,29,0,0,,0,-1.452
S201400017,2014,0,M,1,Hispanic,CA,INST_01,State University A (Research),research,2.74,53,1996,Marketing,Business,7610,1.119,1,0,0,3.125,32,1,0,,0,-1.881
S201400018,2014,1,M,1,Unknown,GA,INST_05,Urban University E (Research),research,2.67,60,1995,Economics-Bus,Business,0,0.1,1,1,4394,3.935,26,0,0,,0,-2.9
S201400019,2014,0,F,0,Multi,PA,INST_04,Regional College D (Teaching),teaching,2.79,56,1996,Mathematics,STEM,14525,2.136,1,1,4946,3.9050000000000002,31,0,0,,0,-0.864
S201400020,2014,1,F,0,White,GA,INST_04,Regional College D (Teaching),teaching,2.93,91,1996,General Studies,Other,5199,0.765,1,1,1943,3.505,28,1,1,3.45,0,-2.235
S201400021,2014,1,M,0,Asian,MI,INST_03,Regional College C (Teaching),teaching,3.81,57,1996,Mechanical Engineering,STEM,7017,1.032,1,1,6798,3.5149999999999997,30,1,0,,0,-1.968
S201400022,2014,0,M,1,White,IL,INST_02,State University B (Research),research,3.19,64,1996,Marketing,Business,355,0.1,1,1,7400,2.975,34,0,0,,0,-2.9
S201400023,2014,0,F,1,Asian,FL,INST_04,Regional College D (Teaching),teaching,2.69,65,1996,Nursing,Health,1392,0.205,1,0,0,3.3600000000000003,31,1,0,,0,-2.795
S201400024,2014,0,M,0,White,MI,INST_05,Urban University E (Research),research,3.57,77,1996,Philosophy,Humanities,15201,2.235,1,1,5154,3.035,32,1,0,,0,-0.765
S201400025,2014,0,F,0,Hispanic,CA,INST_04,Regional College D (Teaching),teaching,3.79,47,1996,Kinesiology,Health,6267,0.922,1,0,0,3.875,31,0,0,,0,-2.078
