student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category,efc_dollars,need_index,eligible_flag,aid_received,annual_aid_amount,y1_gpa_mean,y1_credits,y2_retained,y6_completed,cumulative_gpa_final,above_cutoff,distance_from_cutoff
S201300002,2013,0,F,0,Hispanic,PA,INST_05,Urban University E (Research),research,3.95,73,1995,Accounting,Business,20138,2.961,1,1,4522,3.99,31,1,0,,0,-0.039
S201300006,2013,0,F,0,White,GA,INST_05,Urban University E (Research),research,3.29,35,1995,Nursing,Health,13273,1.952,1,0,0,3.4299999999999997,25,1,1,3.41,0,-1.048
S201300007,2013,0,F,0,White,VA,INST_02,State University B (Research),research,2.89,52,1995,Computer Science,STEM,18876,2.776,1,1,4152,3.615,28,0,0,,0,-0.224
S201300011,2013,0,M,0,White,IL,INST_02,State University B (Research),research,3.57,62,1995,Physics,STEM,16708,2.457,1,0,0,3.415,25,1,1,3.85,0,-0.543
S201300012,2013,0,F,0,White,IL,INST_04,Regional College D (Teaching),teaching,2.66,43,1995,Kinesiology,Health,11319,1.665,1,1,3826,3.8200000000000003,27,1,0,,0,-1.335
S201300014,2013,0,M,0,Black,IL,INST_01,State University A (Research),research,4.0,55,1995,Finance,Business,28727,4.225,0,0,0,3.765,27,1,1,3.63,1,1.225
S201300018,2013,0,F,1,Hispanic,FL,INST_05,Urban University E (Research),research,3.49,58,1995,Accounting,Business,10977,1.614,1,0,0,3.255,33,1,0,,0,-1.386
S201300020,2013,1,M,0,White,TX,INST_02,State University B (Research),research,3.0,44,1995,Undeclared,Other,14368,2.113,1,1,5011,3.365,32,0,0,,0,-0.887
S201300024,2013,1,F,0,White,IL,INST_01,State University A (Research),research,3.65,35,1995,Marketing,Business,12877,1.894,1,1,5050,2.715,29,0,0,,0,-1.106
S201300025,2013,0,M,1,White,GA,INST_04,Regional College D (Teaching),teaching,4.0,85,1995,Computer Science,STEM,21064,3.098,0,0,0,3.29,29,0,0,,1,0.098
S201300029,2013,0,F,0,Multi,NC,INST_02,State University B (Research),research,2.77,34,1995,Statistics,STEM,14062,2.068,1,1,5502,2.6,26,1,0,,0,-0.932
S201300031,2013,1,M,0,White,NJ,INST_01,State University A (Research),research,3.21,39,1995,Biology,STEM,13465,1.98,1,1,5823,3.2249999999999996,30,1,0,,0,-1.02
S201300032,2013,0,F,1,Asian,NJ,INST_05,Urban University E (Research),research,3.09,38,1995,History,Humanities,15255,2.243,1,1,7565,3.54,28,0,0,,0,-0.757
S201300034,2013,0,F,0,Black,GA,INST_05,Urban University E (Research),research,3.36,53,1995,Sociology,Social Sciences,16182,2.38,1,1,5231,3.64,28,0,0,,0,-0.62
S201300035,2013,0,F,0,White,IL,INST_04,Regional College D (Teaching),teaching,2.62,48,1995,Physics,STEM,11123,1.636,1,1,4576,2.88,30,0,0,,0,-1.364
S201300037,2013,0,M,0,Black,NY,INST_05,Urban University E (Research),research,2.87,74,1995,Economics-Bus,Business,23336,3.432,0,0,0,3.37,32,1,1,3.63,1,0.432
S201300039,2013,1,F,0,Black,CA,INST_03,Regional College C (Teaching),teaching,3.32,78,1995,Finance,Business,11958,1.759,1,0,0,3.675,32,1,0,,0,-1.241
