student_id,cohort,first_gen,gender,rural_origin,race_ethnicity,home_state,institution_id,institution_name,institution_type,hs_gpa,test_percentile,birth_year,starting_major,major_category
S201700001,2017,1,M,0,White,FL,INST_05,Urban University E (Research),research,3.39,85,1999,Undeclared,Other
S201700002,2017,0,F,0,Hispanic,VA,INST_01,State University A (Research),research,3.3,91,1999,Undeclared,Other
S201700003,2017,1,M,0,AIAN,IL,INST_03,Regional College C (Teaching),teaching,3.0,68,1999,Sociology,Social Sciences
S201700004,2017,1,M,1,White,PA,INST_04,Regional College D (Teaching),teaching,3.15,46,1999,Mechanical Engineering,STEM
S201700005,2017,1,M,0,White,TX,INST_04,Regional College D (Teaching),teaching,2.5,49,1999,Electrical Engineering,STEM
S201700006,2017,0,M,0,Asian,NY,INST_01,State University A (Research),research,3.95,47,1999,Nursing,Health
S201700007,2017,0,M,1,White,FL,INST_01,State University A (Research),research,4.0,76,1999,Computer Science,STEM
S201700008,2017,0,F,1,White,GA,INST_04,Regional College D (Teaching),teaching,3.62,23,1999,Education,Other
S201700009,2017,1,F,1,Hispanic,IL,INST_05,Urban University E (Research),research,3.13,24,1999,Mathematics,STEM
S201700010,2017,1,M,0,White,MI,INST_03,Regional College C (Teaching),teaching,2.33,72,1999,Kinesiology,Health
S201700011,2017,1,F,0,Hispanic,FL,INST_03,Regional College C (Teaching),teaching,3.18,79,1999,Pre-Med,Health
S201700012,2017,1,F,0,White,TX,INST_03,Regional College C (Teaching),teaching,3.88,49,1999,Marketing,Business
S201700013,2017,0,F,0,Unknown,IL,INST_05,Urban University E (Research),research,3.39,45,1999,Civil Engineering,STEM
S201700014,2017,1,F,0,Hispanic,OH,INST_03,Regional College C (Teaching),teaching,3.49,34,1999,Undeclared,Other
S201700015,2017,0,F,0,White,OH,INST_04,Regional College D (Teaching),teaching,3.54,44,1999,Anthropology,Social Sciences
S201700016,2017,0,F,1,Hispanic,FL,INST_03,Regional College C (Teaching),teaching,2.64,78,1999,Finance,Business
S201700017,2017,0,F,1,Hispanic,VA,INST_04,Regional College D (Teaching),teaching,2.8,69,1999,Marketing,Business
S201700018,2017,0,F,1,Hispanic,FL,INST_05,Urban University E (Research),research,2.97,39,1999,Education,Other
S201700019,2017,1,M,1,Black,NY,INST_05,Urban University E (Research),research,2.17,45,1999,Mathematics,STEM
S201700020,2017,1,M,1,Hispanic,NJ,INST_01,State University A (Research),research,3.9,55,1999,Economics,Social Sciences
S201700021,2017,0,M,0,White,NJ,INST_02,State University B (Research),research,2.98,39,1999,Biomedical Engineering,STEM
S201700022,2017,1,F,1,Hispanic,VA,INST_04,Regional College D (Teaching),teaching,4.0,48,1999,General Studies,Other
S201700023,2017,1,M,0,Black,VA,INST_03,Regional College C (Teaching),teaching,2.52,40,1999,Management,Business
S201700024,2017,0,F,0,Multi,MI,INST_01,State University A (Research),research,2.84,36,1999,Nursing,Health
S201700025,2017,1,F,0,White,GA,INST_05,Urban University E (Research),research,3.76,48,1999,Physics,STEM
S201700026,2017,0,F,0,Unknown,NY,INST_04,Regional College D (Teaching),teaching,2.75,33,1998,Nursing,Health
S201700027,2017,0,F,0,Hispanic,TX,INST_04,Regional College D (Teaching),teaching,3.4,40,1999,Biology,STEM
S201700028,2017,1,M,0,Asian,TX,INST_05,Urban University E (Research),research,3.52,59,1999,Communications,Other
S201700029,2017,0,M,0,Black,NY,INST_01,State University A (Research),research,3.64,67,1998,Biology,STEM
S201700030,2017,0,M,1,White,OH,INST_05,Urban University E (Research),research,3.4,35,1999,Sociology,Social Sciences
S201700031,2017,0,M,1,White,FL,INST_05,Urban University E (Research),research,2.68,62,1999,Sociology,Social Sciences
S201700032,2017,0,F,0,Multi,NY,INST_03,Regional College C (Teaching),teaching,3.68,99,1999,Management,Business
S201700033,2017,0,F,1,Asian,TX,INST_02,State University B (Research),research,3.56,75,1999,Marketing,Business
S201700034,2017,1,M,0,White,PA,INST_03,Regional College C (Teaching),teaching,3.15,42,1999,English,Humanities
S201700035,2017,1,M,1,Asian,MI,INST_02,State University B (Research),research,2.53,34,1999,Management,Business
S201700036,2017,0,M,0,Black,IL,INST_01,State University A (Research),research,2.99,29,1999,Spanish,Humanities
S201700037,2017,1,F,1,White,NJ,INST_02,State University B (Research),research,3.42,86,1999,Spanish,Humanities
S201700038,2017,0,M,0,Hispanic,NJ,INST_01,State University A (Research),research,3.33,59,1999,Mechanical Engineering,STEM
S201700039,2017,0,F,0,White,OH,INST_02,State University B (Research),research,2.9,72,1999,Kinesiology,Health
S201700040,2017,0,M,1,White,VA,INST_03,Regional College C (Teaching),teaching,2.84,69,1999,Civil Engineering,STEM
S201700041,2017,0,F,0,White,OH,INST_03,Regional College C (Teaching),teaching,3.33,35,1999,Public Health,Health
