student_id,cohort,degree_level,major_primary,major_secondary,conferral_date,final_cum_gpa,honors
S201300006,2013,BS,Nursing,,2019-05-21,3.41,
S201300009,2013,BS,Accounting,Minor: Math,2018-05-13,3.12,magna cum laude
S201300011,2013,BS,Art History,,2018-05-16,3.85,cum laude
S201300014,2013,BS,Civil Engineering,Minor: Math,2017-05-18,3.63,
S201300015,2013,BS,Statistics,Minor: Music,2018-05-15,3.46,
S201300021,2013,BS,Economics-Bus,Minor: Spanish,2017-05-15,2.83,
S201300026,2013,BA,Spanish,,2018-05-18,3.65,
S201300030,2013,BS,Chemistry,,2019-05-16,3.8,
S201300037,2013,BS,Economics-Bus,,2017-05-20,3.63,
S201300042,2013,BS,Mechanical Engineering,Minor: Spanish,2019-05-18,3.46,
S201300046,2013,BS,Sociology,Minor: Music,2017-05-18,3.33,
S201300049,2013,BS,Computer Science,,2017-05-19,3.89,
S201300051,2013,BS,Undeclared,Minor: Music,2017-05-18,3.6,
S201300056,2013,BS,Electrical Engineering,,2018-05-17,4.0,
S201300063,2013,BS,Economics-Bus,,2019-05-12,4.0,
S201300066,2013,BS,Biomedical Engineering,Minor: History,2017-05-12,3.59,
S201300075,2013,BS,Pre-Med,,2017-05-23,3.08,summa cum laude
S201300080,2013,BS,Marketing,Minor: Spanish,2019-05-18,2.65,cum laude
S201300083,2013,BS,Electrical Engineering,,2017-05-21,3.81,
S201300088,2013,BS,Electrical Engineering,Minor: Math,2017-05-23,3.45,
S201300092,2013,BS,Nursing,,2018-05-22,2.74,
S201300094,2013,BS,Mechanical Engineering,Minor: Stats,2017-05-15,3.73,
S201300096,2013,BA,Political Science,,2017-05-20,3.51,cum laude
S201300097,2013,BS,Mathematics,,2017-05-13,4.0,
S201300099,2013,BS,Accounting,,2018-05-13,3.16,
S201300100,2013,BS,Nursing,,2017-05-14,4.0,
S201300101,2013,BS,Pre-Med,Minor: History,2017-05-20,4.0,magna cum laude
S201300102,2013,BS,General Studies,,2018-05-19,3.18,cum laude
S201300104,2013,BS,Biomedical Engineering,,2018-05-23,2.92,
S201300105,2013,BS,Management,,2018-05-17,3.35,
S201300108,2013,BS,Statistics,,2017-05-13,3.98,
S201300111,2013,BS,Biomedical Engineering,Minor: History,2017-05-18,3.9,
S201300117,2013,BS,Marketing,,2019-05-13,3.3,
S201300119,2013,BS,Chemistry,Minor: Spanish,2018-05-14,3.2,
S201300120,2013,BS,Marketing,,2019-05-16,3.9,
S201300121,2013,BS,Finance,,2017-05-22,3.3,cum laude
S201300124,2013,BS,Nursing,,2018-05-13,3.41,
S201300125,2013,BS,Nursing,,2017-05-12,2.64,
S201300127,2013,BS,Civil Engineering,,2018-05-14,4.0,
S201300130,2013,BS,Biomedical Engineering,Minor: Spanish,2017-05-12,3.86,cum laude
S201300134,2013,BS,Mechanical Engineering,,2018-05-23,3.46,
S201300136,2013,BS,Economics-Bus,,2017-05-15,4.0,
S201300138,2013,BS,Management,,2017-05-20,3.58,
S201300139,2013,BS,Chemistry,,2018-05-20,3.43,cum laude
S201300140,2013,BA,Economics-Bus,Minor: Spanish,2017-05-23,3.08,
S201300143,2013,BS,Civil Engineering,,2017-05-23,4.0,
S201300145,2013,BS,Kinesiology,Minor: Math,2017-05-19,3.26,summa cum laude
S201300148,2013,BS,Civil Engineering,,2017-05-16,3.01,
S201300149,2013,BS,Physics,Minor: Stats,2017-05-23,3.4,magna cum laude
S201300150,2013,BS,Nursing,,2019-05-21,3.9,
S201300151,2013,BS,Undeclared,,2019-05-19,4.0,
S201300159,2013,BA,Economics,,2017-05-20,3.49,
S201300160,2013,BS,General Studies,,2017-05-16,3.96,
S201300162,2013,BA,Economics,Minor: Spanish,2018-05-12,3.65,
S201300165,2013,BA,Art History,,2017-05-19,3.2,
S201300166,2013,BS,Undeclared,,2018-05-14,3.79,
S201300175,2013,BS,Management,,2017-05-14,3.29,
S201300179,2013,BS,Electrical Engineering,Minor: Music,2018-05-17,3.49,
S201300180,2013,BA,Economics,Minor: Stats,2017-05-13,3.44,
S201300181,2013,BA,Philosophy,,2017-05-17,3.4,
S201300182,2013,BS,Public Health,,2019-05-16,3.21,
S201300187,2013,BS,Mathematics,,2017-05-12,3.4,
S201300189,2013,BS,Accounting,Minor: History,2018-05-18,3.23,
S201300191,2013,BS,Physics,,2017-05-20,3.42,summa cum laude
S201300192,2013,BS,Economics-Bus,Minor: Math,2017-05-20,2.96,
S201300194,2013,BS,Electrical Engineering,Minor: History,2018-05-16,4.0,
S201300195,2013,BS,Accounting,,2017-05-13,4.0,magna cum laude
S201300199,2013,BS,Public Health,Minor: Stats,2019-05-18,4.0,cum laude
S201300201,2013,BS,Physics,,2017-05-12,3.15,magna cum laude
S201300202,2013,BS,Biomedical Engineering,,2018-05-16,3.1,
S201300205,2013,BS,Marketing,Minor: Music,2018-05-20,3.86,
S201300207,2013,BS,Public Health,Minor: Spanish,2017-05-19,3.01,
S201300208,2013,BS,Finance,,2019-05-23,3.4,
S201300209,2013,BS,Computer Science,Minor: Music,2018-05-21,4.0,
S201300210,2013,BS,Mechanical Engineering,,2019-05-18,3.58,
S201300211,2013,BS,Civil Engineering,,2018-05-12,4.0,
S201300217,2013,BA,Sociology,Minor: Spanish,2019-05-21,3.54,
S201300219,2013,BS,Marketing,Minor: Spanish,2017-05-14,2.65,
S201300223,2013,BS,Mechanical Engineering,Minor: Math,2017-05-13,2.49,cum laude
S201300224,2013,BA,English,,2018-05-17,3.46,magna cum laude
S201300226,2013,BS,Education,Minor: Stats,2017-05-16,4.0,
S201300227,2013,BS,Economics-Bus,,2018-05-12,2.81,
S201300229,2013,BA,Psychology,,2017-05-14,3.56,cum laude
S201300244,2013,BS,Physics,Minor: History,2018-05-16,3.06,
S201300248,2013,BS,Psychology,,2017-05-20,4.0,
S201300261,2013,BS,Computer Science,,2017-05-14,4.0,cum laude
S201300262,2013,BS,Political Science,,2017-05-22,3.26,
S201300264,2013,BA,Anthropology,,2017-05-22,2.59,
S201300266,2013,BS,Management,Minor: Stats,2017-05-23,3.09,
S201300267,2013,BS,Anthropology,,2017-05-19,3.45,
S201300270,2013,BA,English,Minor: History,2018-05-17,3.8,
S201300271,2013,BS,Public Health,Minor: Stats,2018-05-13,2.75,magna cum laude
S201300276,2013,BS,Education,,2017-05-15,3.41,
S201300281,2013,BS,Undeclared,Minor: Spanish,2017-05-14,3.69,cum laude
S201300282,2013,BA,Spanish,Minor: Stats,2017-05-21,3.52,
S201300283,2013,BA,Art History,,2018-05-13,3.25,
S201300286,2013,BS,Mechanical Engineering,Minor: Math,2017-05-12,3.89,cum laude
S201300291,2013,BA,Sociology,,2017-05-19,4.0,
S201300293,2013,BA,Anthropology,Minor: Music,2018-05-21,3.8,
S201300294,2013,BS,Economics-Bus,,2019-05-14,4.0,cum laude
S201300296,2013,BS,Communications,,2017-05-23,3.92,
S201300297,2013,BS,Education,Minor: History,2018-05-21,3.88,
S201300298,2013,BS,Electrical Engineering,,2018-05-14,2.78,
S201300302,2013,BS,Civil Engineering,Minor: Music,2017-05-13,3.43,
S201300307,2013,BS,Communications,,2017-05-18,3.22,magna cum laude
S201300309,2013,BS,Chemistry,,2017-05-19,3.12,cum laude
S201300311,2013,BA,Sociology,Minor: History,2018-05-12,3.41,summa cum laude
S201300314,2013,BS,Economics-Bus,,2017-05-14,3.45,
S201300317,2013,BA,Sociology,,2018-05-12,3.52,
S201300318,2013,BA,Spanish,,2019-05-22,3.5,
S201300319,2013,BA,Political Science,,2018-05-20,3.4,
S201300333,2013,BS,Management,,2017-05-19,3.52,cum laude
S201300334,2013,BS,Finance,,2017-05-21,3.47,cum laude
S201300335,2013,BS,Biomedical Engineering,Minor: Music,2018-05-12,3.64,
S201300336,2013,BS,Spanish,Minor: Music,2018-05-18,4.0,
S201300337,2013,BA,Sociology,Minor: Music,2017-05-17,4.0,cum laude
S201300338,2013,BA,Philosophy,,2018-05-20,3.62,
S201300345,2013,BS,Communications,,2018-05-22,3.38,
S201300347,2013,BS,Communications,Minor: Math,2019-05-16,4.0,cum laude
S201300349,2013,BS,Nursing,Minor: Stats,2017-05-14,2.35,magna cum laude
S201300350,2013,BS,Public Health,Minor: Math,2019-05-17,4.0,
S201300352,2013,BS,Biology,Minor: History,2019-05-15,3.84,
S201300356,2013,BA,Political Science,Minor: Math,2018-05-23,3.32,
S201300357,2013,BS,Nursing,,2018-05-14,3.81,summa cum laude
S201300358,2013,BS,Statistics,,2017-05-23,3.44,
S201300367,2013,BS,Economics-Bus,,2017-05-14,3.34,
S201300369,2013,BS,Civil Engineering,,2019-05-23,3.07,
S201300371,2013,BS,Art History,Minor: Spanish,2019-05-16,2.91,
S201300372,2013,BS,Economics,,2017-05-19,4.0,
S201300373,2013,BS,Biology,,2018-05-22,4.0,
S201300376,2013,BS,Accounting,,2017-05-12,3.31,
S201300377,2013,BS,Biology,,2019-05-22,3.45,
S201300382,2013,BA,Anthropology,,2017-05-21,4.0,
S201300385,2013,BS,Physics,Minor: Spanish,2017-05-12,3.47,cum laude
