student_id,cohort,parental_education_max,household_income_bracket,primary_language_home,first_in_family_college,internet_at_home,expected_major_change
S201300001,2013,BA,15-30k,Chinese,0,1,0
S201300002,2013,HS,50-75k,English,0,1,1
S201300003,2013,some_college,>150k,Spanish,0,1,1
S201300004,2013,HS,100-150k,Other,1,1,0
S201300005,2013,some_college,75-100k,English,1,1,0
S201300006,2013,BA,15-30k,Spanish,0,1,0
S201300007,2013,BA,50-75k,Spanish,0,1,0
S201300008,2013,less_than_HS,75-100k,Spanish,1,1,1
S201300009,2013,some_college,75-100k,Spanish,0,1,0
S201300010,2013,some_college,30-50k,Spanish,1,1,1
S201300011,2013,BA,15-30k,English,0,1,0
S201300012,2013,MA,30-50k,English,0,1,0
S201300013,2013,some_college,100-150k,English,0,1,0
S201300014,2013,BA,30-50k,English,0,1,1
S201300015,2013,HS,75-100k,English,1,1,1
S201300016,2013,HS,30-50k,English,0,1,0
S201300017,2013,MA,30-50k,English,0,1,0
S201300018,2013,MA,50-75k,English,0,1,0
S201300019,2013,HS,30-50k,Other,0,1,0
S201300020,2013,some_college,>150k,English,1,1,0
S201300021,2013,BA,15-30k,English,0,1,0
S201300022,2013,HS,>150k,English,1,1,0
S201300023,2013,some_college,75-100k,English,1,1,1
S201300024,2013,HS,<15k,English,1,1,0
S201300025,2013,BA,50-75k,English,0,1,0
S201300026,2013,less_than_HS,50-75k,Chinese,1,0,1
S201300027,2013,BA,<15k,English,0,1,0
S201300028,2013,HS,30-50k,English,0,1,0
S201300029,2013,some_college,15-30k,Spanish,0,1,0
S201300030,2013,HS,50-75k,Spanish,1,1,0
S201300031,2013,HS,30-50k,English,1,1,1
S201300032,2013,PhD,100-150k,English,0,1,0
S201300033,2013,HS,prefer_not,English,1,1,0
S201300034,2013,HS,15-30k,Spanish,0,1,0
S201300035,2013,BA,100-150k,English,0,1,1
S201300036,2013,PhD,50-75k,English,0,1,0
S201300037,2013,BA,50-75k,Spanish,0,1,0
S201300038,2013,less_than_HS,100-150k,English,0,1,0
S201300039,2013,some_college,50-75k,English,1,1,0
S201300040,2013,MA,75-100k,English,0,1,0
S201300041,2013,some_college,prefer_not,Chinese,0,1,1
S201300042,2013,some_college,<15k,English,1,1,1
S201300043,2013,BA,75-100k,English,0,0,1
S201300044,2013,BA,prefer_not,English,0,1,0
S201300045,2013,HS,30-50k,English,1,1,0
S201300046,2013,MA,50-75k,English,0,1,0
S201300047,2013,HS,30-50k,Spanish,0,1,0
S201300048,2013,BA,50-75k,English,0,1,0
S201300049,2013,less_than_HS,15-30k,Spanish,0,1,1
S201300050,2013,HS,50-75k,English,1,1,0
S201300051,2013,HS,<15k,English,0,1,0
S201300052,2013,BA,30-50k,English,0,1,0
S201300053,2013,HS,<15k,Spanish,0,0,1
S201300054,2013,HS,75-100k,English,0,1,0
S201300055,2013,HS,15-30k,English,0,1,0
S201300056,2013,less_than_HS,15-30k,English,1,1,0
S201300057,2013,HS,15-30k,English,0,1,1
S201300058,2013,less_than_HS,30-50k,English,0,1,1
S201300059,2013,some_college,50-75k,English,1,1,1
S201300060,2013,less_than_HS,30-50k,Spanish,1,1,0
S201300061,2013,HS,30-50k,Other,1,1,0
S201300062,2013,MA,30-50k,English,0,1,0
S201300063,2013,HS,100-150k,English,0,1,0
S201300064,2013,some_college,100-150k,English,1,1,0
S201300065,2013,some_college,15-30k,English,1,1,0
