student_id,cohort,term,enrollment_status,credits_enrolled
S201300002,2013,SU2014,part_time,9
S201300006,2013,SU2014,part_time,3
S201300012,2013,SU2014,part_time,3
S201300014,2013,SU2014,part_time,3
S201300018,2013,SU2014,part_time,9
S201300044,2013,SU2014,part_time,6
S201300052,2013,SU2014,part_time,9
S201300067,2013,SU2014,part_time,3
S201300068,2013,SU2014,part_time,3
S201300070,2013,SU2014,part_time,6
S201300095,2013,SU2014,part_time,6
S201300097,2013,SU2014,part_time,3
S201300133,2013,SU2014,part_time,6
S201300137,2013,SU2014,part_time,3
S201300142,2013,SU2014,part_time,3
S201300146,2013,SU2014,part_time,6
S201300148,2013,SU2014,part_time,3
S201300151,2013,SU2014,part_time,3
S201300152,2013,SU2014,part_time,3
S201300153,2013,SU2014,part_time,3
S201300163,2013,SU2014,part_time,9
S201300165,2013,SU2014,part_time,6
S201300167,2013,SU2014,part_time,9
S201300171,2013,SU2014,part_time,3
S201300178,2013,SU2014,part_time,3
S201300180,2013,SU2014,part_time,3
S201300186,2013,SU2014,part_time,3
S201300190,2013,SU2014,part_time,3
S201300191,2013,SU2014,part_time,3
S201300210,2013,SU2014,part_time,3
S201300213,2013,SU2014,part_time,9
S201300218,2013,SU2014,part_time,6
S201300230,2013,SU2014,part_time,3
S201300238,2013,SU2014,part_time,6
S201300250,2013,SU2014,part_time,3
S201300259,2013,SU2014,part_time,6
S201300271,2013,SU2014,part_time,3
S201300275,2013,SU2014,part_time,3
S201300277,2013,SU2014,part_time,6
S201300287,2013,SU2014,part_time,6
S201300298,2013,SU2014,part_time,6
S201300308,2013,SU2014,part_time,6
S201300310,2013,SU2014,part_time,6
S201300315,2013,SU2014,part_time,3
S201300316,2013,SU2014,part_time,6
S201300322,2013,SU2014,part_time,6
S201300330,2013,SU2014,part_time,3
S201300333,2013,SU2014,part_time,3
S201300340,2013,SU2014,part_time,6
S201300341,2013,SU2014,part_time,3
S201300348,2013,SU2014,part_time,9
S201300370,2013,SU2014,part_time,6
S201300388,2013,SU2014,part_time,9
S201300389,2013,SU2014,part_time,3
S201300390,2013,SU2014,part_time,3
S201300394,2013,SU2014,part_time,6
S201300404,2013,SU2014,part_time,6
S201300406,2013,SU2014,part_time,3
S201300407,2013,SU2014,part_time,9
S201300416,2013,SU2014,part_time,3
S201300423,2013,SU2014,part_time,6
S201300424,2013,SU2014,part_time,9
S201300429,2013,SU2014,part_time,3
S201300431,2013,SU2014,part_time,3
S201300442,2013,SU2014,part_time,6
S201300443,2013,SU2014,part_time,6
S201300445,2013,SU2014,part_time,6
S201300451,2013,SU2014,part_time,6
S201300461,2013,SU2014,part_time,9
S201300465,2013,SU2014,part_time,3
S201300469,2013,SU2014,part_time,6
S201300477,2013,SU2014,part_time,3
S201300480,2013,SU2014,part_time,3
S201300495,2013,SU2014,part_time,3
S201300496,2013,SU2014,part_time,9
S201300520,2013,SU2014,part_time,3
S201300526,2013,SU2014,part_time,3
S201300527,2013,SU2014,part_time,9
S201300531,2013,SU2014,part_time,6
S201300533,2013,SU2014,part_time,9
S201300534,2013,SU2014,part_time,9
S201300543,2013,SU2014,part_time,6
S201300558,2013,SU2014,part_time,3
S201300568,2013,SU2014,part_time,6
S201300574,2013,SU2014,part_time,9
S201300577,2013,SU2014,part_time,9
S201300582,2013,SU2014,part_time,6
S201300585,2013,SU2014,part_time,9
