student_id,cohort,application_date,efc_dollars,need_index,eligible_flag
S201300001,2013,2013-03-26,9937,1.461,1
S201300002,2013,2013-04-25,20138,2.961,1
S201300003,2013,2013-04-22,7341,1.08,1
S201300004,2013,2013-04-25,5250,0.772,1
S201300005,2013,2013-03-18,4943,0.727,1
S201300006,2013,2013-04-05,13273,1.952,1
S201300007,2013,2013-02-14,18876,2.776,1
S201300008,2013,2013-02-09,753,0.111,1
S201300009,2013,2013-03-20,5173,0.761,1
S201300010,2013,2013-02-23,2815,0.414,1
S201300011,2013,2013-02-06,16708,2.457,1
S201300012,2013,2013-03-02,11319,1.665,1
S201300013,2013,2013-03-21,0,0.1,1
S201300014,2013,2013-03-24,28727,4.225,0
S201300015,2013,2013-04-22,4354,0.64,1
S201300016,2013,2013-02-06,3769,0.554,1
S201300017,2013,2013-03-06,7762,1.141,1
S201300018,2013,2013-03-04,10977,1.614,1
S201300019,2013,2013-04-26,3671,0.54,1
S201300020,2013,2013-04-12,14368,2.113,1
S201300021,2013,2013-03-10,0,0.1,1
S201300022,2013,2013-04-13,775,0.114,1
S201300023,2013,2013-02-22,1758,0.259,1
S201300024,2013,2013-03-04,12877,1.894,1
S201300025,2013,2013-04-19,21064,3.098,0
S201300026,2013,2013-03-09,3771,0.555,1
S201300027,2013,2013-02-09,5368,0.789,1
S201300028,2013,2013-03-19,7637,1.123,1
S201300029,2013,2013-02-02,14062,2.068,1
S201300030,2013,2013-02-12,4644,0.683,1
S201300031,2013,2013-02-01,13465,1.98,1
S201300032,2013,2013-04-26,15255,2.243,1
S201300033,2013,2013-04-04,3611,0.531,1
S201300034,2013,2013-04-04,16182,2.38,1
S201300035,2013,2013-04-26,11123,1.636,1
S201300036,2013,2013-04-10,9997,1.47,1
S201300037,2013,2013-02-24,23336,3.432,0
S201300038,2013,2013-02-12,0,0.1,1
S201300039,2013,2013-02-20,11958,1.759,1
S201300040,2013,2013-04-06,4777,0.702,1
S201300041,2013,2013-04-21,15965,2.348,1
S201300042,2013,2013-04-24,1052,0.155,1
S201300043,2013,2013-03-15,4699,0.691,1
S201300044,2013,2013-04-16,15686,2.307,1
S201300045,2013,2013-02-08,2477,0.364,1
S201300046,2013,2013-02-07,0,0.1,1
S201300047,2013,2013-04-26,1391,0.205,1
S201300048,2013,2013-04-17,15278,2.247,1
S201300049,2013,2013-04-09,13524,1.989,1
S201300050,2013,2013-02-27,18674,2.746,1
S201300051,2013,2013-02-23,19152,2.816,1
S201300052,2013,2013-02-12,3013,0.443,1
S201300053,2013,2013-02-14,15691,2.308,1
S201300054,2013,2013-04-27,970,0.143,1
