appeal_id,student_id,cohort,appeal_date,reason_code,outcome
APL20180001,S201800032,2018,2018-10-12,asset_reval,pending
APL20140002,S201403007,2014,2014-11-08,medical_expense,approved
APL20160003,S201600716,2016,2016-09-14,asset_reval,approved
APL20150004,S201500511,2015,2015-10-20,job_loss,approved
APL20170005,S201701126,2017,2017-11-23,divorce,pending
APL20150006,S201502641,2015,2015-10-20,job_loss,withdrawn
APL20180007,S201802100,2018,2018-10-03,divorce,approved
APL20150008,S201501984,2015,2015-10-25,job_loss,approved
APL20180009,S201800957,2018,2018-10-16,asset_reval,denied
APL20160010,S201602368,2016,2016-10-23,medical_expense,denied
APL20170011,S201701316,2017,2017-10-12,medical_expense,approved
APL20180012,S201801908,2018,2018-09-17,medical_expense,approved
APL20150013,S201501098,2015,2015-10-10,medical_expense,approved
APL20160014,S201600905,2016,2016-09-05,other,approved
APL20180015,S201802449,2018,2018-11-06,job_loss,denied
APL20160016,S201601584,2016,2016-09-12,dep_change,withdrawn
APL20180017,S201801647,2018,2018-09-24,dep_change,pending
APL20130018,S201302447,2013,2013-10-10,medical_expense,withdrawn
APL20150019,S201500713,2015,2015-10-03,divorce,withdrawn
APL20170020,S201703041,2017,2017-09-09,other,approved
APL20140021,S201401914,2014,2014-11-24,asset_reval,denied
APL20180022,S201802048,2018,2018-09-08,asset_reval,approved
APL20150023,S201500917,2015,2015-09-06,medical_expense,denied
APL20170024,S201701186,2017,2017-10-17,divorce,approved
APL20130025,S201301917,2013,2013-09-23,dep_change,pending
APL20160026,S201602213,2016,2016-10-16,other,approved
APL20170027,S201701339,2017,2017-09-09,other,denied
APL20170028,S201702955,2017,2017-11-05,medical_expense,withdrawn
APL20140029,S201401122,2014,2014-11-27,job_loss,denied
APL20140030,S201401606,2014,2014-11-22,asset_reval,approved
APL20160031,S201601481,2016,2016-10-09,job_loss,approved
APL20170032,S201700478,2017,2017-10-20,dep_change,denied
APL20160033,S201601603,2016,2016-11-17,other,approved
APL20160034,S201602077,2016,2016-09-17,job_loss,pending
APL20150035,S201500542,2015,2015-10-19,dep_change,approved
APL20160036,S201601428,2016,2016-11-10,asset_reval,denied
APL20170037,S201701674,2017,2017-09-26,job_loss,denied
