student_id,cohort,aid_received,annual_aid_amount,disbursement_fall,disbursement_spring
S201800001,2018,0,0,,
S201800002,2018,0,0,,
S201800003,2018,1,4935,2018-08-27,2019-01-09
S201800004,2018,1,5828,2018-08-20,2019-01-16
S201800005,2018,0,0,,
S201800006,2018,1,8105,2018-08-16,2019-01-17
S201800007,2018,0,0,,
S201800008,2018,1,5476,2018-08-20,2019-01-12
S201800009,2018,0,0,,
S201800010,2018,1,3870,2018-08-15,2019-01-17
S201800011,2018,0,0,,
S201800012,2018,1,5774,2018-08-26,2019-01-13
S201800013,2018,0,0,,
S201800014,2018,1,5846,2018-08-27,2019-01-11
S201800015,2018,0,0,,
S201800016,2018,1,5028,2018-08-21,2019-01-16
S201800017,2018,1,4463,2018-08-20,2019-01-08
S201800018,2018,1,6925,2018-08-23,2019-01-09
S201800019,2018,0,0,,
S201800020,2018,0,0,,
S201800021,2018,1,6570,2018-08-16,2019-01-09
S201800022,2018,1,4659,2018-08-25,2019-01-10
S201800023,2018,1,7165,2018-08-15,2019-01-09
S201800024,2018,0,0,,
S201800025,2018,1,7286,2018-08-17,2019-01-10
S201800026,2018,1,8281,2018-08-15,2019-01-14
S201800027,2018,1,5063,2018-08-21,2019-01-10
S201800028,2018,1,3037,2018-08-19,2019-01-12
S201800029,2018,1,7429,2018-08-19,2019-01-15
S201800030,2018,1,5218,2018-08-18,2019-01-12
S201800031,2018,0,0,,
S201800032,2018,0,0,,
S201800033,2018,1,7523,2018-08-25,2019-01-08
S201800034,2018,1,5073,2018-08-16,2019-01-17
S201800035,2018,1,6440,2018-08-18,2019-01-12
S201800036,2018,1,7158,2018-08-17,2019-01-11
S201800037,2018,0,0,,
S201800038,2018,0,0,,
S201800039,2018,1,6310,2018-08-24,2019-01-17
S201800040,2018,1,4905,2018-08-23,2019-01-12
S201800041,2018,1,7458,2018-08-19,2019-01-08
S201800042,2018,1,4994,2018-08-16,2019-01-12
S201800043,2018,1,4275,2018-08-22,2019-01-09
S201800044,2018,1,4427,2018-08-18,2019-01-11
S201800045,2018,1,4560,2018-08-17,2019-01-09
S201800046,2018,1,5428,2018-08-22,2019-01-15
S201800047,2018,0,0,,
S201800048,2018,0,0,,
S201800049,2018,0,0,,
S201800050,2018,1,5488,2018-08-17,2019-01-10
S201800051,2018,1,8863,2018-08-24,2019-01-15
S201800052,2018,1,3356,2018-08-16,2019-01-13
S201800053,2018,0,0,,
S201800054,2018,1,4388,2018-08-23,2019-01-10
S201800055,2018,1,6090,2018-08-16,2019-01-10
S201800056,2018,0,0,,
S201800057,2018,0,0,,
S201800058,2018,0,0,,
S201800059,2018,1,6035,2018-08-21,2019-01-16
S201800060,2018,0,0,,
S201800061,2018,1,5926,2018-08-27,2019-01-09
S201800062,2018,1,3832,2018-08-20,2019-01-12
S201800063,2018,0,0,,
S201800064,2018,1,3985,2018-08-16,2019-01-09
S201800065,2018,0,0,,
S201800066,2018,1,4486,2018-08-15,2019-01-09
S201800067,2018,1,5300,2018-08-25,2019-01-09
S201800068,2018,0,0,,
S201800069,2018,0,0,,
S201800070,2018,0,0,,
S201800071,2018,1,3887,2018-08-27,2019-01-11
S201800072,2018,0,0,,
S201800073,2018,0,0,,
S201800074,2018,1,6926,2018-08-25,2019-01-09
S201800075,2018,0,0,,
S201800076,2018,1,6311,2018-08-25,2019-01-17
S201800077,2018,0,0,,
S201800078,2018,1,7266,2018-08-15,2019-01-16
S201800079,2018,1,5197,2018-08-19,2019-01-08
S201800080,2018,1,5517,2018-08-20,2019-01-15
S201800081,2018,0,0,,
S201800082,2018,1,4931,2018-08-24,2019-01-15
S201800083,2018,1,5821,2018-08-22,2019-01-14
S201800084,2018,0,0,,
S201800085,2018,0,0,,
S201800086,2018,0,0,,
S201800087,2018,1,5000,2018-08-24,2019-01-15
S201800088,2018,1,6548,2018-08-21,2019-01-14
S201800089,2018,1,6987,2018-08-27,2019-01-17
S201800090,2018,0,0,,
S201800091,2018,1,4460,2018-08-23,2019-01-15
S201800092,2018,0,0,,
S201800093,2018,1,4608,2018-08-26,2019-01-08
S201800094,2018,1,5644,2018-08-18,2019-01-14
S201800095,2018,0,0,,
S201800096,2018,1,8669,2018-08-19,2019-01-12
S201800097,2018,1,5807,2018-08-18,2019-01-11
S201800098,2018,1,5759,2018-08-23,2019-01-17
S201800099,2018,1,6525,2018-08-16,2019-01-17
S201800100,2018,0,0,,
S201800101,2018,0,0,,
S201800102,2018,1,3968,2018-08-26,2019-01-17
S201800103,2018,1,6777,2018-08-19,2019-01-10
S201800104,2018,0,0,,
S201800105,2018,0,0,,
S201800106,2018,1,8691,2018-08-24,2019-01-17
S201800107,2018,1,7890,2018-08-27,2019-01-13
S201800108,2018,1,6512,2018-08-19,2019-01-10
S201800109,2018,0,0,,
S201800110,2018,1,5737,2018-08-19,2019-01-13
S201800111,2018,1,7380,2018-08-23,2019-01-16
S201800112,2018,1,3272,2018-08-24,2019-01-15
S201800113,2018,1,6597,2018-08-17,2019-01-10
S201800114,2018,1,4245,2018-08-21,2019-01-12
S201800115,2018,0,0,,
S201800116,2018,1,5647,2018-08-22,2019-01-11
S201800117,2018,1,4661,2018-08-21,2019-01-12
S201800118,2018,1,6438,2018-08-25,2019-01-09
S201800119,2018,1,6423,2018-08-23,2019-01-15
S201800120,2018,1,7212,2018-08-19,2019-01-11
S201800121,2018,1,4695,2018-08-24,2019-01-08
S201800122,2018,0,0,,
S201800123,2018,0,0,,
S201800124,2018,1,6841,2018-08-25,2019-01-17
S201800125,2018,1,5483,2018-08-23,2019-01-09
S201800126,2018,1,4841,2018-08-26,2019-01-16
S201800127,2018,0,0,,
S201800128,2018,1,5273,2018-08-24,2019-01-12
S201800129,2018,1,6239,2018-08-19,2019-01-16
S201800130,2018,0,0,,
S201800131,2018,0,0,,
S201800132,2018,0,0,,
S201800133,2018,1,5949,2018-08-23,2019-01-16
S201800134,2018,0,0,,
S201800135,2018,1,5687,2018-08-21,2019-01-12
S201800136,2018,0,0,,
S201800137,2018,1,4238,2018-08-27,2019-01-12
S201800138,2018,0,0,,
S201800139,2018,1,6965,2018-08-19,2019-01-16
S201800140,2018,0,0,,
S201800141,2018,1,5427,2018-08-26,2019-01-09
S201800142,2018,0,0,,
S201800143,2018,0,0,,
S201800144,2018,1,5777,2018-08-17,2019-01-10
S201800145,2018,1,4885,2018-08-24,2019-01-11
S201800146,2018,1,6092,2018-08-16,2019-01-11
S201800147,2018,1,6393,2018-08-22,2019-01-10
S201800148,2018,0,0,,
S201800149,2018,0,0,,
S201800150,2018,1,4915,2018-08-21,2019-01-09
S201800151,2018,1,6695,2018-08-22,2019-01-09
S201800152,2018,1,5384,2018-08-22,2019-01-15
S201800153,2018,1,4718,2018-08-20,2019-01-08
S201800154,2018,1,4213,2018-08-18,2019-01-12
S201800155,2018,0,0,,
S201800156,2018,0,0,,
S201800157,2018,1,6577,2018-08-16,2019-01-15
S201800158,2018,0,0,,
S201800159,2018,1,6996,2018-08-23,2019-01-12
S201800160,2018,1,5019,2018-08-22,2019-01-14
S201800161,2018,1,6213,2018-08-23,2019-01-10
S201800162,2018,1,3013,2018-08-23,2019-01-16
S201800163,2018,0,0,,
S201800164,2018,1,7062,2018-08-25,2019-01-08
S201800165,2018,1,7018,2018-08-27,2019-01-10
S201800166,2018,0,0,,
S201800167,2018,1,5351,2018-08-27,2019-01-08
S201800168,2018,1,6904,2018-08-27,2019-01-11
S201800169,2018,0,0,,
S201800170,2018,1,7677,2018-08-26,2019-01-12
S201800171,2018,1,5896,2018-08-23,2019-01-10
S201800172,2018,0,0,,
S201800173,2018,1,5805,2018-08-18,2019-01-14
S201800174,2018,1,4985,2018-08-25,2019-01-08
S201800175,2018,0,0,,
S201800176,2018,0,0,,
S201800177,2018,0,0,,
S201800178,2018,1,4388,2018-08-27,2019-01-08
S201800179,2018,0,0,,
S201800180,2018,1,6959,2018-08-15,2019-01-14
S201800181,2018,1,5050,2018-08-27,2019-01-17
S201800182,2018,1,5198,2018-08-26,2019-01-14
S201800183,2018,0,0,,
S201800184,2018,1,4550,2018-08-26,2019-01-12
S201800185,2018,1,7604,2018-08-24,2019-01-08
S201800186,2018,1,5688,2018-08-21,2019-01-10
S201800187,2018,1,5733,2018-08-27,2019-01-08
S201800188,2018,0,0,,
S201800189,2018,1,5913,2018-08-19,2019-01-08
S201800190,2018,1,3936,2018-08-24,2019-01-16
S201800191,2018,1,4753,2018-08-16,2019-01-08
S201800192,2018,1,3815,2018-08-27,2019-01-09
S201800193,2018,1,6344,2018-08-23,2019-01-11
S201800194,2018,1,7205,2018-08-25,2019-01-12
S201800195,2018,0,0,,
S201800196,2018,1,4085,2018-08-22,2019-01-17
S201800197,2018,1,4940,2018-08-20,2019-01-13
S201800198,2018,0,0,,
S201800199,2018,1,4409,2018-08-15,2019-01-09
S201800200,2018,1,8547,2018-08-25,2019-01-09
S201800201,2018,0,0,,
S201800202,2018,1,3661,2018-08-16,2019-01-08
S201800203,2018,0,0,,
S201800204,2018,0,0,,
S201800205,2018,0,0,,
S201800206,2018,1,4562,2018-08-17,2019-01-10
S201800207,2018,0,0,,
S201800208,2018,1,3898,2018-08-24,2019-01-13
S201800209,2018,0,0,,
S201800210,2018,1,3990,2018-08-21,2019-01-12
S201800211,2018,0,0,,
S201800212,2018,0,0,,
S201800213,2018,0,0,,
S201800214,2018,0,0,,
S201800215,2018,1,5393,2018-08-23,2019-01-10
S201800216,2018,1,5085,2018-08-21,2019-01-11
S201800217,2018,0,0,,
S201800218,2018,0,0,,
S201800219,2018,1,4768,2018-08-20,2019-01-08
S201800220,2018,1,4289,2018-08-23,2019-01-11
S201800221,2018,0,0,,
S201800222,2018,0,0,,
S201800223,2018,1,3096,2018-08-16,2019-01-13
S201800224,2018,1,5463,2018-08-18,2019-01-08
S201800225,2018,1,6464,2018-08-27,2019-01-15
S201800226,2018,1,6155,2018-08-15,2019-01-16
S201800227,2018,1,5289,2018-08-20,2019-01-08
S201800228,2018,1,4472,2018-08-27,2019-01-08
S201800229,2018,1,4604,2018-08-18,2019-01-17
S201800230,2018,1,4771,2018-08-16,2019-01-08
S201800231,2018,1,7574,2018-08-26,2019-01-10
S201800232,2018,0,0,,
S201800233,2018,1,4476,2018-08-22,2019-01-16
S201800234,2018,1,5204,2018-08-21,2019-01-17
S201800235,2018,1,7769,2018-08-15,2019-01-08
S201800236,2018,0,0,,
S201800237,2018,0,0,,
S201800238,2018,0,0,,
S201800239,2018,1,6572,2018-08-24,2019-01-16
S201800240,2018,0,0,,
S201800241,2018,1,5625,2018-08-16,2019-01-10
S201800242,2018,1,5165,2018-08-18,2019-01-16
S201800243,2018,1,3489,2018-08-15,2019-01-11
S201800244,2018,0,0,,
S201800245,2018,1,2873,2018-08-25,2019-01-14
S201800246,2018,0,0,,
S201800247,2018,0,0,,
S201800248,2018,0,0,,
S201800249,2018,0,0,,
S201800250,2018,0,0,,
S201800251,2018,0,0,,
S201800252,2018,1,7058,2018-08-27,2019-01-08
S201800253,2018,1,5943,2018-08-15,2019-01-11
S201800254,2018,1,7786,2018-08-16,2019-01-11
