student_id,hs_gpa_unweighted,hs_gpa_weighted,class_rank_percentile,ap_courses_count
S201300001,3.8,4.08,35,3
S201300002,3.95,4.07,17,7
S201300003,2.53,2.72,56,2
S201300004,3.16,3.17,44,3
S201300005,2.59,2.83,43,0
S201300006,3.29,3.35,43,2
S201300007,2.89,3.2,52,7
S201300008,2.78,2.95,23,7
S201300009,3.0,2.97,42,5
S201300010,3.38,3.59,16,2
S201300011,3.57,3.69,40,3
S201300012,2.66,2.73,44,0
S201300013,2.8,2.96,35,0
S201300014,4.0,4.2,9,5
S201300015,2.85,3.22,38,4
S201300016,2.57,2.92,44,4
S201300017,3.1,3.31,34,4
S201300018,3.49,3.72,17,6
S201300019,3.58,3.69,20,1
S201300020,3.0,3.1,43,5
S201300021,3.75,3.85,31,3
S201300022,2.98,3.06,49,4
S201300023,2.86,3.1,37,4
S201300024,3.65,3.65,24,0
S201300025,4.0,4.3,8,3
S201300026,2.77,3.06,38,6
S201300027,2.2,2.14,49,0
S201300028,2.88,3.2,39,6
S201300029,2.77,2.78,47,7
S201300030,3.77,4.02,29,4
S201300031,3.21,3.3,43,1
S201300032,3.09,3.08,29,2
S201300033,3.72,3.93,30,5
S201300034,3.36,3.48,43,3
S201300035,2.62,2.82,49,4
S201300036,3.74,4.02,31,2
S201300037,2.87,3.21,54,1
S201300038,3.31,3.49,25,0
S201300039,3.32,3.39,36,2
S201300040,2.58,2.84,50,2
S201300041,3.08,3.37,40,4
S201300042,2.98,3.21,36,0
S201300043,2.53,2.64,49,1
S201300044,3.33,3.32,26,7
S201300045,3.45,3.5,26,4
S201300046,4.0,4.3,18,0
S201300047,3.57,3.78,22,4
S201300048,3.26,3.58,37,1
S201300049,3.78,4.03,23,2
S201300050,3.54,3.66,26,4
S201300051,2.96,3.09,36,4
S201300052,2.42,2.74,56,4
S201300053,3.42,3.45,44,3
S201300054,3.25,3.35,36,6
S201300055,2.92,2.99,50,5
S201300056,3.06,3.03,35,0
S201300057,3.23,3.24,44,5
S201300058,2.92,3.11,48,4
S201300059,3.64,4.02,24,4
S201300060,3.49,3.54,22,3
S201300061,3.13,3.45,40,1
S201300062,4.0,4.11,22,5
S201300063,3.49,3.74,15,7
S201300064,3.5,3.78,25,4
S201300065,4.0,4.21,23,4
S201300066,2.76,2.97,43,5
S201300067,2.88,3.24,43,5
S201300068,3.41,3.56,42,5
S201300069,2.67,2.65,28,5
S201300070,3.34,3.49,34,0
S201300071,2.65,2.78,44,0
S201300072,3.73,3.71,19,8
S201300073,3.91,4.06,22,8
S201300074,3.09,3.29,53,1
S201300075,3.55,3.7,26,1
S201300076,3.7,3.84,15,1
S201300077,3.98,4.04,28,4
S201300078,3.36,3.49,54,1
S201300079,2.31,2.58,49,0
S201300080,3.62,3.84,22,0
S201300081,3.52,3.75,30,6
S201300082,2.76,3.05,45,1
S201300083,3.15,3.22,40,0
S201300084,2.57,2.81,36,3
S201300085,3.83,4.08,19,4
S201300086,3.4,3.59,36,5
S201300087,2.97,3.12,44,4
S201300088,3.37,3.76,29,2
S201300089,3.4,3.63,18,6
S201300090,3.98,4.09,4,5
S201300091,2.69,2.95,43,3
S201300092,2.42,2.62,47,0
S201300093,3.01,3.35,38,0
S201300094,3.3,3.36,40,0
S201300095,3.96,4.02,33,3
S201300096,3.29,3.52,32,2
S201300097,3.46,3.61,27,1
S201300098,2.81,2.91,36,5
S201300099,2.77,2.99,38,4
S201300100,3.2,3.23,32,5
S201300101,3.71,3.81,29,1
S201300102,3.46,3.71,10,1
S201300103,3.89,4.18,10,7
S201300104,3.34,3.65,38,7
S201300105,3.32,3.35,21,4
S201300106,2.86,3.01,38,1
S201300107,3.51,3.5,21,2
S201300108,2.44,2.66,49,4
S201300109,3.21,3.33,27,3
S201300110,3.6,3.92,32,4
S201300111,2.8,3.01,44,0
S201300112,2.78,2.98,34,7
S201300113,2.97,3.12,46,0
S201300114,2.37,2.68,41,3
S201300115,3.02,3.19,39,5
S201300116,3.8,3.92,26,0
S201300117,3.21,3.55,28,5
S201300118,3.65,3.89,16,3
S201300119,3.27,3.41,33,0
S201300120,2.57,2.67,48,3
S201300121,2.69,2.84,39,2
S201300122,3.14,3.35,41,2
S201300123,3.99,4.16,16,2
S201300124,3.97,4.06,19,2
S201300125,2.89,3.05,54,3
S201300126,3.56,3.81,34,4
S201300127,3.33,3.52,32,2
S201300128,3.67,3.94,38,4
S201300129,3.4,3.38,24,5
S201300130,3.26,3.41,35,3
S201300131,2.42,2.53,52,1
S201300132,3.44,3.59,17,3
S201300133,3.05,3.21,38,4
S201300134,3.97,4.06,21,5
S201300135,2.73,2.83,41,1
S201300136,3.86,3.97,36,1
S201300137,3.84,3.99,5,0
S201300138,3.11,3.21,32,2
S201300139,3.89,3.97,28,6
S201300140,3.51,3.58,32,5
S201300141,2.58,2.68,50,0
S201300142,2.92,2.93,30,4
S201300143,3.58,3.79,25,7
S201300144,3.89,4.19,12,0
S201300145,3.26,3.37,27,1
S201300146,3.45,3.45,25,0
S201300147,3.53,3.71,24,4
S201300148,2.71,2.62,49,3
S201300149,2.93,3.07,43,2
S201300150,2.45,2.43,46,1
S201300151,3.71,3.72,30,1
S201300152,3.31,3.49,31,4
S201300153,4.0,4.06,17,0
S201300154,3.58,3.73,24,5
S201300155,2.1,2.36,57,3
S201300156,3.08,3.06,33,2
S201300157,4.0,4.14,21,0
S201300158,3.3,3.42,29,3
S201300159,1.98,2.21,56,4
S201300160,2.96,3.18,39,4
S201300161,2.96,2.9,34,1
S201300162,3.77,4.2,17,0
S201300163,3.06,3.12,35,5
S201300164,3.52,3.6,30,3
S201300165,3.04,3.02,46,3
S201300166,3.36,3.4,44,2
S201300167,3.53,3.55,26,0
S201300168,3.8,3.81,16,0
S201300169,3.05,3.18,50,0
S201300170,3.16,3.39,31,0
S201300171,3.23,3.31,43,0
S201300172,2.9,3.01,50,0
S201300173,2.92,3.14,38,3
S201300174,3.67,3.72,15,2
S201300175,3.34,3.59,45,6
S201300176,2.73,2.86,30,3
S201300177,3.02,3.2,44,4
S201300178,4.0,4.2,10,0
S201300179,4.0,4.22,19,1
S201300180,3.44,3.63,25,0
S201300181,4.0,4.23,22,8
S201300182,2.93,3.07,40,5
S201300183,3.82,4.19,20,2
S201300184,3.8,3.84,34,5
S201300185,2.53,2.66,44,1
S201300186,3.2,3.31,30,2
S201300187,3.19,3.5,30,4
S201300188,3.57,3.74,37,1
S201300189,3.12,3.27,27,4
S201300190,2.66,2.7,51,4
S201300191,2.45,2.84,48,0
S201300192,2.61,2.65,49,3
S201300193,3.65,3.59,36,1
S201300194,4.0,4.33,29,3
S201300195,4.0,4.13,11,8
S201300196,4.0,4.12,22,4
S201300197,3.29,3.44,38,3
S201300198,2.57,2.61,47,1
S201300199,3.81,3.93,34,3
S201300200,2.77,2.94,41,1
S201300201,3.68,3.87,41,1
S201300202,3.77,3.99,35,7
S201300203,2.18,2.28,57,3
S201300204,3.49,3.65,20,2
S201300205,3.4,3.75,40,3
S201300206,4.0,4.07,22,3
S201300207,3.04,3.15,31,0
S201300208,3.11,3.15,32,8
S201300209,2.84,2.84,39,1
S201300210,3.42,3.49,29,6
S201300211,3.32,3.53,44,1
S201300212,3.82,3.86,12,6
S201300213,3.23,3.31,46,1
S201300214,3.87,4.01,25,5
S201300215,3.16,3.06,39,6
S201300216,3.57,3.87,36,5
S201300217,3.17,3.17,41,4
S201300218,2.89,2.99,44,4
S201300219,3.85,4.08,38,0
S201300220,3.05,3.4,48,3
S201300221,3.49,3.74,36,6
S201300222,3.38,3.58,39,2
S201300223,3.01,3.31,45,2
S201300224,2.86,2.99,44,4
S201300225,3.0,3.09,35,3
S201300226,2.17,2.31,60,1
S201300227,2.37,2.58,63,1
S201300228,3.66,3.92,27,3
S201300229,3.82,3.77,4,7
S201300230,3.04,3.13,38,4
S201300231,3.86,3.98,31,3
S201300232,3.37,3.29,31,8
S201300233,2.94,3.23,34,3
S201300234,3.45,3.55,41,4
S201300235,2.23,2.38,63,4
S201300236,3.06,3.09,37,2
S201300237,3.0,3.27,40,4
S201300238,2.71,2.85,46,4
S201300239,3.29,3.49,31,0
S201300240,4.0,3.94,20,3
S201300241,2.41,2.62,31,1
S201300242,2.28,2.64,55,2
S201300243,3.62,3.8,17,6
S201300244,2.66,2.61,58,4
S201300245,3.55,3.69,44,2
S201300246,3.0,3.22,42,5
S201300247,3.35,3.5,28,5
S201300248,3.35,3.42,24,2
S201300249,3.7,3.95,24,1
S201300250,3.88,4.05,26,2
S201300251,2.66,2.95,40,1
S201300252,3.65,3.87,44,4
S201300253,2.58,2.78,47,4
S201300254,3.3,3.54,37,3
S201300255,3.53,3.8,31,1
S201300256,3.2,3.25,43,3
S201300257,3.66,3.88,25,2
S201300258,2.81,2.88,46,0
S201300259,3.25,3.52,33,1
S201300260,2.63,2.78,31,3
S201300261,4.0,4.17,20,3
S201300262,2.61,2.74,41,4
S201300263,2.36,2.5,45,2
S201300264,3.2,3.32,47,0
S201300265,3.48,3.69,38,4
S201300266,3.2,3.23,37,3
S201300267,4.0,4.04,25,3
S201300268,3.92,4.08,13,4
S201300269,4.0,4.08,16,6
S201300270,3.46,3.66,30,1
S201300271,3.29,3.5,39,2
S201300272,3.51,3.74,30,2
S201300273,2.59,2.74,43,1
S201300274,3.33,3.57,46,3
S201300275,3.55,3.8,38,6
S201300276,3.36,3.46,20,4
S201300277,4.0,4.26,12,1
S201300278,2.52,2.59,59,0
S201300279,3.87,4.05,32,0
S201300280,3.15,3.39,47,1
S201300281,2.88,2.97,29,6
S201300282,3.89,3.91,34,5
S201300283,2.94,3.02,42,3
S201300284,2.9,3.05,29,0
S201300285,2.73,2.81,32,4
S201300286,2.53,2.8,45,0
S201300287,2.94,2.97,29,1
S201300288,3.87,4.06,34,5
S201300289,3.68,3.83,17,7
S201300290,3.05,3.25,28,2
S201300291,2.68,2.69,40,4
S201300292,3.77,3.83,19,8
S201300293,3.25,3.42,29,2
S201300294,3.87,4.02,22,6
S201300295,3.0,3.08,36,2
S201300296,2.8,2.73,31,0
S201300297,2.62,2.69,48,2
S201300298,3.43,3.58,12,3
S201300299,3.28,3.39,35,0
S201300300,2.87,3.17,52,1
S201300301,3.56,3.61,37,4
S201300302,2.96,3.25,48,4
S201300303,3.61,3.73,29,3
S201300304,3.13,3.38,36,6
S201300305,3.11,3.4,38,1
S201300306,1.89,2.02,51,8
S201300307,2.53,2.67,56,0
S201300308,3.78,3.95,33,0
S201300309,3.47,3.57,27,0
S201300310,2.93,2.78,46,0
S201300311,2.84,2.88,54,2
S201300312,3.02,3.21,36,0
S201300313,3.99,4.18,8,4
S201300314,3.06,3.32,43,4
S201300315,3.33,3.55,26,5
S201300316,2.88,3.07,52,0
S201300317,2.66,2.78,48,3
S201300318,2.41,2.57,57,2
S201300319,3.68,3.97,28,0
S201300320,2.88,3.15,34,0
S201300321,3.35,3.36,29,6
S201300322,3.31,3.22,42,2
S201300323,3.38,3.47,32,8
S201300324,2.88,3.03,26,8
S201300325,2.89,3.05,45,6
S201300326,3.29,3.53,33,2
S201300327,3.05,3.24,44,1
S201300328,3.52,3.71,32,0
S201300329,1.77,1.77,73,1
S201300330,3.33,3.51,38,6
S201300331,2.63,2.7,38,5
S201300332,2.44,2.56,48,5
S201300333,3.45,3.57,41,4
S201300334,3.38,3.49,26,7
S201300335,3.09,3.22,46,5
S201300336,2.94,3.16,25,4
S201300337,4.0,3.97,21,0
S201300338,2.95,3.06,37,6
S201300339,4.0,4.12,17,0
S201300340,4.0,4.01,7,4
S201300341,3.69,3.68,29,6
S201300342,3.78,3.81,24,3
S201300343,3.88,4.19,23,2
S201300344,2.7,2.86,43,3
S201300345,3.16,3.08,30,6
S201300346,2.97,3.32,22,3
S201300347,3.92,4.09,18,4
S201300348,2.28,2.31,66,5
S201300349,2.96,2.98,40,2
S201300350,3.94,4.1,13,3
S201300351,3.12,3.1,47,0
S201300352,2.79,2.95,29,6
S201300353,2.66,2.86,37,1
S201300354,3.15,3.48,33,0
S201300355,3.35,3.62,32,1
S201300356,3.56,3.69,38,6
S201300357,3.45,3.63,21,0
S201300358,2.65,2.95,66,5
S201300359,2.57,2.6,41,3
S201300360,3.08,3.19,35,0
S201300361,3.63,3.73,46,2
S201300362,3.44,3.62,23,6
S201300363,2.92,3.09,34,2
S201300364,3.72,3.77,27,0
S201300365,2.94,3.15,36,6
S201300366,3.82,4.04,29,0
S201300367,2.81,2.95,46,3
S201300368,2.57,2.85,40,0
S201300369,2.86,3.14,40,3
S201300370,3.27,3.49,31,0
S201300371,3.12,3.2,44,4
S201300372,3.41,3.57,17,5
S201300373,3.51,3.7,30,5
S201300374,2.98,3.19,36,0
S201300375,3.14,3.07,15,1
S201300376,1.96,2.06,70,1
S201300377,3.39,3.67,26,2
S201300378,3.19,3.47,37,1
S201300379,3.13,3.02,37,3
S201300380,3.61,3.67,23,0
S201300381,2.75,3.02,39,2
S201300382,3.42,3.43,28,4
S201300383,2.95,2.93,35,3
S201300384,3.11,3.19,41,1
S201300385,3.38,3.63,30,0
S201300386,4.0,4.15,6,6
S201300387,3.84,3.9,24,3
S201300388,3.44,3.57,36,0
S201300389,4.0,4.31,37,3
S201300390,3.71,3.89,33,0
S201300391,3.78,3.84,13,1
S201300392,3.66,3.66,39,8
S201300393,3.38,3.3,46,3
S201300394,3.44,3.58,46,1
S201300395,2.93,3.19,48,5
S201300396,3.61,3.85,13,4
S201300397,3.18,3.31,35,8
S201300398,3.38,3.49,22,6
S201300399,3.17,3.37,25,0
S201300400,3.42,3.66,28,3
S201300401,3.0,3.08,30,3
S201300402,3.31,3.41,33,3
S201300403,2.84,3.02,31,3
S201300404,3.28,3.38,34,0
S201300405,3.35,3.5,37,3
S201300406,3.6,3.8,31,2
S201300407,3.97,4.11,29,2
S201300408,3.67,3.77,27,2
S201300409,3.6,3.71,37,2
S201300410,3.42,3.45,35,5
S201300411,3.16,3.16,21,3
S201300412,3.91,3.96,23,2
S201300413,3.49,3.79,27,4
S201300414,3.5,3.74,21,4
S201300415,3.91,4.04,27,5
S201300416,3.3,3.43,37,5
S201300417,3.04,3.07,35,1
S201300418,3.32,3.65,42,4
S201300419,2.89,2.91,42,0
S201300420,3.61,3.65,24,3
S201300421,2.91,3.0,51,2
S201300422,3.43,3.71,30,0
S201300423,4.0,4.21,16,2
S201300424,3.7,4.01,6,3
S201300425,3.83,3.9,18,3
S201300426,3.5,3.83,47,5
S201300427,3.66,3.85,23,1
S201300428,2.69,2.73,43,4
S201300429,3.58,3.74,39,3
S201300430,3.08,3.32,36,7
S201300431,3.45,3.5,28,8
S201300432,2.68,2.76,42,0
S201300433,3.25,3.35,42,5
S201300434,3.13,3.43,31,6
S201300435,3.79,3.84,16,4
S201300436,2.7,2.83,58,3
S201300437,2.88,3.13,33,2
S201300438,2.66,2.68,42,6
S201300439,3.3,3.28,40,4
S201300440,2.78,2.89,34,7
S201300441,3.14,3.27,34,6
S201300442,3.05,3.25,24,6
S201300443,2.92,3.1,43,5
S201300444,3.2,3.31,51,0
S201300445,2.64,2.89,48,8
S201300446,3.3,3.42,32,1
