student_id,cohort,term,credits_attempted,credits_earned,term_gpa,cum_gpa
S201300001,2013,FA2014,16,16,3.84,3.84
S201300001,2013,SP2015,15,15,3.37,3.98
S201300002,2013,FA2014,15,16,3.83,3.97
S201300002,2013,SP2015,12,15,4,3.78
S201300003,2013,FA2014,16,16,3.41,3.64
S201300003,2013,SP2015,15,16,3.36,3.28
S201300005,2013,FA2014,16,15,3.21,3.14
S201300005,2013,SP2015,16,15,3.77,3.23
S201300006,2013,FA2014,13,16,3.46,3.39
S201300006,2013,SP2015,15,16,3.18,3.31
S201300008,2013,FA2014,18,15,2.82,3.12
S201300008,2013,SP2015,15,15,2.84,3.08
S201300009,2013,FA2014,18,16,2.84,3.37
S201300009,2013,SP2015,15,13,3.03,3.64
S201300011,2013,FA2014,16,12,3.81,3.42
S201300011,2013,SP2015,15,15,3.64,3.41
S201300012,2013,FA2014,18,16,3.64,3.88
S201300012,2013,SP2015,16,12,3.4,3.54
S201300014,2013,FA2014,16,16,3.61,3.77
S201300014,2013,SP2015,13,15,3.62,3.65
S201300015,2013,FA2014,15,12,3.47,3.46
S201300015,2013,SP2015,16,15,3.64,3.64
S201300016,2013,FA2014,15,15,3.55,3.21
S201300016,2013,SP2015,16,15,3.4,3.35
S201300018,2013,FA2014,16,15,3.16,3.03
S201300018,2013,SP2015,15,16,3.37,3.11
S201300019,2013,FA2014,16,15,3.88,3.86
S201300019,2013,SP2015,15,16,3.68,3.74
S201300021,2013,FA2014,13,13,2.23,2.91
S201300021,2013,SP2015,18,16,2.71,2.63
S201300022,2013,FA2014,16,15,3.86,3.76
S201300022,2013,SP2015,16,15,3.97,3.35
S201300026,2013,FA2014,18,15,3.63,3.34
S201300026,2013,SP2015,16,16,3.55,3.59
S201300028,2013,FA2014,16,16,2.47,3.38
S201300028,2013,SP2015,12,15,3.2,3.58
S201300029,2013,FA2014,16,15,2.48,2.9
S201300029,2013,SP2015,18,16,2.98,2.89
S201300030,2013,FA2014,13,15,3.76,4
S201300030,2013,SP2015,13,15,4,3.97
S201300031,2013,FA2014,16,13,3.74,3.32
S201300031,2013,SP2015,16,15,3.85,3.36
S201300033,2013,FA2014,12,13,4,3.28
S201300033,2013,SP2015,15,16,4,3.75
S201300036,2013,FA2014,15,16,3.91,3.51
S201300036,2013,SP2015,15,18,3.74,3.78
S201300037,2013,FA2014,15,12,3.11,3.14
S201300037,2013,SP2015,16,15,3.18,3.33
S201300039,2013,FA2014,15,12,3.66,3.89
