student_id,cohort,term,credits_attempted,credits_earned,term_gpa,cum_gpa
S201300006,2013,FA2015,15,15,3.48,3.24
S201300006,2013,SP2016,15,15,3.46,3.36
S201300006,2013,FA2016,15,15,3.76,3.54
S201300006,2013,SP2017,15,15,3.59,3.32
S201300006,2013,FA2017,15,15,3.31,3.35
S201300006,2013,SP2018,15,15,3.09,3.61
S201300006,2013,FA2018,15,12,3.43,3.63
S201300006,2013,SP2019,12,15,3.11,3.45
S201300009,2013,FA2015,12,15,3.03,3.11
S201300009,2013,SP2016,15,15,3.27,3.1
S201300009,2013,FA2016,18,15,3.04,3.01
S201300009,2013,SP2017,15,15,3.2,3.06
S201300009,2013,FA2017,15,15,3.26,3.02
S201300009,2013,SP2018,12,18,2.91,3.14
S201300011,2013,FA2015,18,15,3.93,3.76
S201300011,2013,SP2016,15,15,3.68,3.98
S201300011,2013,FA2016,15,18,3.93,3.75
S201300011,2013,SP2017,15,15,3.85,3.98
S201300011,2013,FA2017,15,18,3.6,3.87
S201300011,2013,SP2018,15,18,3.89,3.95
S201300014,2013,FA2015,15,15,3.54,3.54
S201300014,2013,SP2016,12,15,3.33,3.57
S201300014,2013,FA2016,15,15,3.25,3.61
S201300014,2013,SP2017,15,18,3.73,3.59
S201300015,2013,FA2015,15,18,3.17,3.43
S201300015,2013,SP2016,15,12,3.38,3.14
S201300015,2013,FA2016,12,15,3.79,3.48
S201300015,2013,SP2017,18,15,3.12,3.39
S201300015,2013,FA2017,18,15,3.35,3.35
S201300015,2013,SP2018,15,15,3.59,3.42
S201300021,2013,FA2015,12,15,2.95,2.84
S201300021,2013,SP2016,15,15,2.93,2.71
S201300021,2013,FA2016,18,15,2.99,2.89
S201300021,2013,SP2017,15,15,2.85,2.87
S201300026,2013,FA2015,18,15,2.97,3.81
S201300026,2013,SP2016,15,15,4,3.54
S201300026,2013,FA2016,18,12,3.42,3.63
S201300026,2013,SP2017,12,15,4,3.78
S201300026,2013,FA2017,12,18,3.95,3.49
S201300026,2013,SP2018,15,18,3.71,3.86
S201300030,2013,FA2015,18,15,3.79,3.72
S201300030,2013,SP2016,15,15,4,3.83
S201300030,2013,FA2016,12,18,3.71,3.66
S201300030,2013,SP2017,15,18,3.54,3.75
S201300030,2013,FA2017,18,15,3.88,3.81
S201300030,2013,SP2018,15,15,3.43,3.94
S201300030,2013,FA2018,18,15,3.9,3.9
S201300030,2013,SP2019,15,15,3.68,3.7
S201300037,2013,FA2015,15,15,3.27,3.65
S201300037,2013,SP2016,18,15,3.84,3.72
S201300037,2013,FA2016,12,12,3.7,3.61
S201300037,2013,SP2017,12,15,3.56,3.5
S201300042,2013,FA2015,15,15,3.82,3.48
S201300042,2013,SP2016,18,15,3.57,3.49
S201300042,2013,FA2016,15,12,3.67,3.55
S201300042,2013,SP2017,15,15,3.66,3.68
S201300042,2013,FA2017,15,18,3.8,3.38
S201300042,2013,SP2018,15,12,3.6,3.35
S201300042,2013,FA2018,15,15,3.53,3.6
S201300042,2013,SP2019,15,15,3.44,3.51
S201300046,2013,FA2015,18,15,3.53,3.32
S201300046,2013,SP2016,15,15,3.49,3.27
S201300046,2013,FA2016,18,15,3.93,3.03
S201300046,2013,SP2017,15,15,3.31,3.32
S201300049,2013,FA2015,15,15,3.82,3.97
S201300049,2013,SP2016,15,15,4,4
S201300049,2013,FA2016,15,15,3.56,3.84
S201300049,2013,SP2017,18,15,4,4
S201300051,2013,FA2015,15,18,3.95,3.63
S201300051,2013,SP2016,18,12,3.67,3.63
S201300051,2013,FA2016,18,15,3.7,3.7
S201300051,2013,SP2017,15,15,3.62,3.54
S201300056,2013,FA2015,15,12,3.82,3.86
S201300056,2013,SP2016,12,15,3.85,4
S201300056,2013,FA2016,15,15,3.89,3.98
S201300056,2013,SP2017,15,12,4,4
S201300056,2013,FA2017,18,15,3.76,3.97
S201300056,2013,SP2018,18,15,4,4
S201300063,2013,FA2015,15,12,3.8,3.95
S201300063,2013,SP2016,18,15,4,3.92
S201300063,2013,FA2016,15,15,3.68,4
S201300063,2013,SP2017,12,12,3.82,3.91
S201300063,2013,FA2017,15,12,3.89,4
S201300063,2013,SP2018,18,18,3.91,4
S201300063,2013,FA2018,15,18,4,3.78
S201300063,2013,SP2019,12,15,4,3.97
S201300066,2013,FA2015,18,18,3.26,3.47
S201300066,2013,SP2016,15,15,3.18,3.74
S201300066,2013,FA2016,15,15,3.45,3.62
S201300066,2013,SP2017,15,18,3.83,3.71
S201300075,2013,FA2015,15,12,3.25,3.16
S201300075,2013,SP2016,12,18,2.97,3.27
S201300075,2013,FA2016,12,18,3.03,3.19
S201300075,2013,SP2017,15,18,2.97,3.06
S201300080,2013,FA2015,12,15,2.67,2.63
S201300080,2013,SP2016,15,15,2.79,2.65
S201300080,2013,FA2016,15,18,2.81,2.55
S201300080,2013,SP2017,12,15,2.29,2.76
S201300080,2013,FA2017,15,15,2.41,2.55
S201300080,2013,SP2018,15,15,3.15,2.44
S201300080,2013,FA2018,15,15,2.77,2.53
S201300080,2013,SP2019,12,12,2.47,2.59
S201300083,2013,FA2015,18,15,4,3.8
S201300083,2013,SP2016,18,15,4,3.71
S201300083,2013,FA2016,15,18,3.9,3.96
S201300083,2013,SP2017,12,18,3.97,3.84
S201300088,2013,FA2015,15,12,3.56,3.21
S201300088,2013,SP2016,15,15,3.77,3.23
S201300088,2013,FA2016,18,15,3.49,3.55
S201300088,2013,SP2017,18,15,3.03,3.54
S201300092,2013,FA2015,15,18,2.77,2.72
S201300092,2013,SP2016,18,12,2.19,2.88
S201300092,2013,FA2016,18,15,2.86,2.75
S201300092,2013,SP2017,15,12,2.75,2.79
S201300092,2013,FA2017,15,12,2.54,2.84
S201300092,2013,SP2018,12,15,2.93,2.64
S201300094,2013,FA2015,15,15,3.53,3.83
S201300094,2013,SP2016,18,15,4.0,3.81
S201300094,2013,FA2016,15,15,3.77,3.76
S201300094,2013,SP2017,15,15,3.66,3.64
S201300096,2013,FA2015,12,12,3.79,3.53
S201300096,2013,SP2016,18,15,3.75,3.54
S201300096,2013,FA2016,18,15,3.33,3.41
S201300096,2013,SP2017,18,18,3.67,3.57
S201300097,2013,FA2015,15,15,4,4
S201300097,2013,SP2016,15,15,3.95,4
S201300097,2013,FA2016,18,15,4,4
S201300097,2013,SP2017,15,15,4,4
S201300099,2013,FA2015,15,15,2.89,3.05
S201300099,2013,SP2016,18,15,3.19,3.05
S201300099,2013,FA2016,15,12,3.33,2.97
S201300099,2013,SP2017,15,18,3.4,3.12
S201300099,2013,FA2017,15,15,3.0,3.19
S201300099,2013,SP2018,15,15,2.96,3.19
S201300100,2013,FA2015,12,15,3.99,3.98
S201300100,2013,SP2016,15,15,4,3.97
S201300100,2013,FA2016,18,15,3.62,4
S201300100,2013,SP2017,18,15,4,4
S201300101,2013,FA2015,15,12,3.98,3.95
S201300101,2013,SP2016,15,15,3.73,3.74
S201300101,2013,FA2016,12,15,3.65,4
S201300101,2013,SP2017,15,15,3.55,3.96
S201300102,2013,FA2015,15,18,2.88,3.2
S201300102,2013,SP2016,18,15,2.95,3.21
S201300102,2013,FA2016,15,18,3.33,3.08
S201300102,2013,SP2017,18,15,3.41,3.18
S201300102,2013,FA2017,15,12,3.15,3.23
S201300102,2013,SP2018,15,15,2.89,3.1
S201300104,2013,FA2015,18,15,2.91,2.78
S201300104,2013,SP2016,15,12,2.99,3.01
S201300104,2013,FA2016,15,12,2.91,2.86
S201300104,2013,SP2017,18,18,2.87,2.98
S201300104,2013,FA2017,15,15,3.11,2.91
S201300104,2013,SP2018,15,12,3.08,3.14
S201300105,2013,FA2015,12,15,3.14,3.4
S201300105,2013,SP2016,15,18,2.99,3.34
S201300105,2013,FA2016,18,15,3.63,3.5
S201300105,2013,SP2017,15,15,3.11,3.56
S201300105,2013,FA2017,18,15,3.72,3.43
S201300105,2013,SP2018,12,12,3.92,3.51
S201300108,2013,FA2015,15,15,4,4
S201300108,2013,SP2016,15,15,4,4
S201300108,2013,FA2016,12,12,3.7,4
S201300108,2013,SP2017,15,18,4,4
S201300111,2013,FA2015,15,15,3.57,3.99
S201300111,2013,SP2016,15,15,4,3.98
S201300111,2013,FA2016,15,15,4,4
S201300111,2013,SP2017,15,15,4,3.96
S201300117,2013,FA2015,12,15,3.15,3.3
S201300117,2013,SP2016,12,15,2.82,3.11
S201300117,2013,FA2016,15,12,3.5,3.46
S201300117,2013,SP2017,15,12,3.17,3.3
S201300117,2013,FA2017,15,15,3.33,3.43
S201300117,2013,SP2018,15,12,3.59,3.37
S201300117,2013,FA2018,15,18,3.22,3.4
S201300117,2013,SP2019,15,12,3.28,3.18
S201300119,2013,FA2015,15,15,3.22,3.16
S201300119,2013,SP2016,15,12,2.73,3.19
S201300119,2013,FA2016,15,12,3.07,3.17
S201300119,2013,SP2017,12,15,3.42,3.32
S201300119,2013,FA2017,18,15,3.45,3.21
S201300119,2013,SP2018,12,12,2.95,3.1
S201300120,2013,FA2015,15,18,4,3.95
S201300120,2013,SP2016,18,18,3.64,3.95
S201300120,2013,FA2016,15,12,4,3.97
S201300120,2013,SP2017,15,12,3.95,3.78
S201300120,2013,FA2017,15,15,4,3.82
S201300120,2013,SP2018,12,15,3.67,4
S201300120,2013,FA2018,15,15,4,3.86
S201300120,2013,SP2019,15,15,4,3.94
S201300121,2013,FA2015,12,15,2.98,3.15
S201300121,2013,SP2016,15,15,3.81,3.39
S201300121,2013,FA2016,15,18,3.87,3.37
S201300121,2013,SP2017,15,15,3.39,3.25
S201300124,2013,FA2015,18,12,3.48,3.58
S201300124,2013,SP2016,12,15,3.16,3.37
S201300124,2013,FA2016,15,18,3.12,3.38
