variable,stype,domain_low,domain_high,miss_rate_pct,imputation_method
risk_score,cont,0,100,0.0,-
eligible_z,bin,0,1,0.0,-
enrolled_d,bin,0,1,0.0,-
y_match_6m,cont,0,100,3.2,mice
y_quality_6m,bin,0,1,2.8,mice
y_stability_12m,bin,0,1,4.1,mice
first_gen,bin,0,1,0.6,mode
rural_origin,bin,0,1,0.4,mode
low_income_q,bin,0,1,1.1,mice
high_demand_field,bin,0,1,0.0,-
cum_gpa,cont,1.6,4.0,0.2,mean
internship_months,int,0,18,1.7,poisson
age_at_grad,cont,21,39,0.0,-
female,bin,0,1,0.1,mode
field_of_study,cat,,,0.0,-
institution_id,cat,,,0.0,-
cohort_year,int,2018,2022,0.0,-
