cohort_year,field_of_study,median_first_wage_eur,p25_wage_eur,p75_wage_eur,underempl_share
2018,STEM,2700.0,2326.0,3358.0,0.3054
2018,BUS,2843.0,2321.0,2963.0,0.3219
2018,HUM,2871.0,2465.0,4102.0,0.2992
2018,SOC,3653.0,2572.0,3557.0,0.1713
2018,HLT,2555.0,2749.0,3636.0,0.2671
2018,EDU,1902.0,2262.0,3612.0,0.2372
2019,STEM,2572.0,2630.0,4066.0,0.2436
2019,BUS,2193.0,2304.0,3945.0,0.2287
2019,HUM,2964.0,2073.0,3630.0,0.2777
2019,SOC,2739.0,2149.0,3323.0,0.2439
2019,HLT,2601.0,2091.0,4028.0,0.4468
2019,EDU,2326.0,2490.0,4556.0,0.3625
2020,STEM,2643.0,2034.0,3965.0,0.277
2020,BUS,3008.0,2108.0,3552.0,0.1908
2020,HUM,3567.0,2102.0,4172.0,0.1383
2020,SOC,2735.0,2627.0,4050.0,0.1047
2020,HLT,2904.0,2607.0,4103.0,0.4829
2020,EDU,3443.0,2356.0,4840.0,0.2531
2021,STEM,2802.0,2085.0,4101.0,0.247
2021,BUS,2941.0,2317.0,3367.0,0.0949
2021,HUM,2293.0,2267.0,3291.0,0.3894
2021,SOC,3370.0,1898.0,3595.0,0.4983
2021,HLT,3157.0,1880.0,2940.0,0.3111
2021,EDU,2695.0,2379.0,3112.0,0.223
2022,STEM,2343.0,2190.0,2849.0,0.1007
2022,BUS,2608.0,1980.0,3508.0,0.1281
2022,HUM,3526.0,1987.0,3207.0,0.2429
2022,SOC,2678.0,1971.0,3542.0,0.5624
2022,HLT,3165.0,2229.0,3248.0,0.3312
2022,EDU,2793.0,2230.0,2957.0,0.4051
2023,STEM,2202.0,1694.0,3503.0,0.3709
2023,BUS,2701.0,1678.0,4181.0,0.3516
2023,HUM,2908.0,2291.0,4250.0,0.5776
2023,SOC,2135.0,1926.0,4034.0,0.4133
2023,HLT,3103.0,2288.0,4226.0,0.1862
2023,EDU,2851.0,1729.0,2969.0,0.4147
