isco08_4digit,isco08_label_en,skill_level_1_4
1110,Occupational group 1110,4
1117,Occupational group 1117,2
1124,Occupational group 1124,2
1131,Occupational group 1131,4
1138,Occupational group 1138,1
1145,Occupational group 1145,2
1152,Occupational group 1152,2
1159,Occupational group 1159,4
1166,Occupational group 1166,2
1173,Occupational group 1173,3
1180,Occupational group 1180,3
1187,Occupational group 1187,2
1194,Occupational group 1194,4
1201,Occupational group 1201,3
1208,Occupational group 1208,3
1215,Occupational group 1215,3
1222,Occupational group 1222,2
1229,Occupational group 1229,2
1236,Occupational group 1236,2
1243,Occupational group 1243,4
1250,Occupational group 1250,4
1257,Occupational group 1257,3
1264,Occupational group 1264,2
1271,Occupational group 1271,2
1278,Occupational group 1278,2
1285,Occupational group 1285,4
1292,Occupational group 1292,4
1299,Occupational group 1299,3
1306,Occupational group 1306,3
1313,Occupational group 1313,1
1320,Occupational group 1320,3
1327,Occupational group 1327,2
1334,Occupational group 1334,2
1341,Occupational group 1341,4
1348,Occupational group 1348,1
1355,Occupational group 1355,1
1362,Occupational group 1362,4
1369,Occupational group 1369,2
1376,Occupational group 1376,3
1383,Occupational group 1383,2
1390,Occupational group 1390,2
1397,Occupational group 1397,4
1404,Occupational group 1404,2
1411,Occupational group 1411,4
1418,Occupational group 1418,3
1425,Occupational group 1425,1
1432,Occupational group 1432,1
1439,Occupational group 1439,4
1446,Occupational group 1446,2
1453,Occupational group 1453,3
1460,Occupational group 1460,3
1467,Occupational group 1467,4
1474,Occupational group 1474,2
1481,Occupational group 1481,3
1488,Occupational group 1488,3
1495,Occupational group 1495,1
1502,Occupational group 1502,3
1509,Occupational group 1509,1
1516,Occupational group 1516,3
1523,Occupational group 1523,1
1530,Occupational group 1530,3
1537,Occupational group 1537,4
1544,Occupational group 1544,3
1551,Occupational group 1551,2
1558,Occupational group 1558,1
1565,Occupational group 1565,1
1572,Occupational group 1572,4
1579,Occupational group 1579,2
1586,Occupational group 1586,3
1593,Occupational group 1593,3
1600,Occupational group 1600,3
1607,Occupational group 1607,1
1614,Occupational group 1614,1
1621,Occupational group 1621,4
1628,Occupational group 1628,3
1635,Occupational group 1635,1
