onet_soc_code,isco08_4digit,education_required_level,vertical_match_weight,horizontal_match_weight,automation_risk_frey
31-5319.56,9132,6,0.7754,0.1642,0.499
15-6703.71,3567,7,0.7052,0.5822,0.7711
19-4925.86,5968,7,0.7928,0.111,0.353
23-5202.49,4897,6,0.4891,0.7411,0.5447
26-8341.58,3259,5,0.9001,0.5612,0.3404
36-7978.38,5289,5,0.9228,0.2497,0.5161
40-9788.35,5793,6,0.6499,0.5309,0.1892
32-6907.98,2454,4,0.2295,0.7349,0.282
32-9722.09,8390,7,0.6815,0.2658,0.1356
16-8820.66,4967,6,0.5329,0.1954,0.4439
13-4011.89,2993,5,0.6297,0.5107,0.2269
39-9754.37,3693,6,0.662,0.4696,0.2958
53-5733.63,6381,7,0.7316,0.7816,0.1953
16-4969.94,3574,7,0.6662,0.378,0.3816
39-5301.02,7501,5,0.5443,0.1981,0.4815
42-7326.41,4071,6,0.7678,0.7947,0.0288
37-6100.15,8369,4,0.3337,0.5953,0.7218
40-5473.37,5961,7,0.4513,0.2193,0.2516
51-9158.90,7032,7,0.5532,0.4715,0.6317
20-1727.24,3056,7,0.3662,0.4878,0.6368
38-1243.95,7081,8,0.8377,0.4964,0.4367
50-5151.62,3504,6,0.8872,0.4171,0.5529
47-9173.43,3518,7,0.0511,0.4185,0.451
25-1489.64,7606,7,0.6662,0.3507,0.3488
35-7622.83,3728,5,0.557,0.5843,0.5025
23-9887.48,7004,5,0.4233,0.2525,0.5277
23-6145.46,1936,7,0.5549,0.6783,0.2724
43-4489.30,2125,6,0.6763,0.4975,0.4738
46-2977.61,2489,6,0.6969,0.6325,0.1057
33-9689.20,1943,8,0.7229,0.4337,0.269
46-2110.77,8299,4,0.6523,0.8073,0.5565
13-3112.80,8565,4,0.3999,0.6716,0.3837
43-2006.24,7886,6,0.5685,0.6769,0.3577
30-3293.93,6710,7,0.6315,0.8055,0.4211
54-1351.59,6437,7,0.6899,0.6674,0.6311
37-3158.22,2881,7,0.6242,0.4239,0.453
54-1395.16,4057,6,0.7827,0.3904,0.4661
40-9961.71,5296,7,0.9614,0.5341,0.8006
15-8876.52,2328,7,0.5284,0.2585,0.2225
52-7719.40,3021,7,0.7569,0.6688,0.5906
13-1899.68,7473,5,0.7968,0.3237,0.4443
29-5570.12,1810,5,0.7728,0.6272,0.2076
23-6248.44,7389,7,0.5325,0.6897,0.2605
24-8388.52,1334,5,0.6684,0.4462,0.3038
47-5420.58,1292,8,0.8726,0.3345,0.3203
50-2781.73,6262,7,0.7811,0.2569,0.4729
19-4414.94,4820,7,0.75,0.6223,0.1423
42-1585.06,6052,6,0.5701,0.467,0.5567
22-2150.36,3203,8,0.7146,0.561,0.2477
11-4082.98,7375,7,0.6619,0.5832,0.2492
40-3577.50,4827,5,0.5868,0.2032,0.3954
13-2023.11,2363,7,0.7828,0.4863,0.1938
52-9823.88,5058,6,0.3001,0.1515,0.1886
11-3046.45,1306,7,0.5615,0.4907,0.2432
54-5957.76,5793,7,0.3503,0.2654,0.2663
11-8088.54,8439,6,0.3483,0.6072,0.6364
40-4140.71,3805,6,0.6231,0.6208,0.3615
19-6414.93,8320,6,0.5154,0.4498,0.365
22-9127.46,4379,6,0.4678,0.4116,0.5585
44-1840.26,7620,6,0.5895,0.7606,0.4159
