first_gen,rural_origin,low_income_q,high_demand_field,cum_gpa,age_at_grad,cate_match,cate_quality,cate_stability,se_stability,ci_lo,ci_hi
0,0,0,0,2.4,23,4.7738,0.0654,0.0595,0.0232,0.0141,0.105
0,0,0,0,2.4,25,5.3044,0.0571,0.0658,0.0265,0.0139,0.1177
0,0,0,0,2.4,27,4.6427,0.0499,0.0732,0.0256,0.023,0.1234
0,0,0,0,2.4,30,4.4214,0.059,0.064,0.0192,0.0264,0.1017
0,0,0,0,2.8,23,5.2022,0.0514,0.0792,0.031,0.0185,0.14
0,0,0,0,2.8,25,4.2899,0.0529,0.0631,0.028,0.0082,0.1179
0,0,0,0,2.8,27,5.0139,0.0613,0.0725,0.0301,0.0135,0.1314
0,0,0,0,2.8,30,5.4043,0.0775,0.0674,0.0278,0.0129,0.1219
0,0,0,0,3.2,23,4.558,0.0756,0.0632,0.0285,0.0073,0.119
0,0,0,0,3.2,25,4.2835,0.0474,0.0616,0.0264,0.0099,0.1134
0,0,0,0,3.2,27,5.3013,0.0778,0.0666,0.0185,0.0304,0.1029
0,0,0,0,3.2,30,5.3782,0.0455,0.083,0.0218,0.0403,0.1257
0,0,0,0,3.6,23,5.9751,0.0544,0.0609,0.0244,0.0131,0.1087
0,0,0,0,3.6,25,5.0498,0.053,0.075,0.0298,0.0166,0.1334
0,0,0,0,3.6,27,5.1222,0.0689,0.0527,0.0252,0.0033,0.1021
0,0,0,0,3.6,30,4.7326,0.0543,0.0767,0.0244,0.0289,0.1245
0,0,0,1,2.4,23,6.1747,0.0661,0.0646,0.0308,0.0042,0.1249
0,0,0,1,2.4,25,6.3151,0.0543,0.068,0.0186,0.0315,0.1044
0,0,0,1,2.4,27,5.6369,0.0567,0.0747,0.0217,0.0321,0.1172
0,0,0,1,2.4,30,5.8977,0.0528,0.0706,0.0228,0.0259,0.1153
0,0,0,1,2.8,23,6.3299,0.0566,0.0746,0.0181,0.0391,0.1101
0,0,0,1,2.8,25,5.794,0.0528,0.0701,0.0232,0.0247,0.1156
0,0,0,1,2.8,27,6.4359,0.076,0.0729,0.0234,0.0271,0.1188
0,0,0,1,2.8,30,6.3318,0.0711,0.0596,0.0228,0.0149,0.1043
0,0,0,1,3.2,23,5.7385,0.0673,0.0675,0.0338,0.0013,0.1338
0,0,0,1,3.2,25,5.5886,0.0784,0.0683,0.033,0.0036,0.1329
0,0,0,1,3.2,27,5.5359,0.057,0.0587,0.0336,-0.0072,0.1245
0,0,0,1,3.2,30,5.3784,0.0519,0.0741,0.0293,0.0167,0.1316
0,0,0,1,3.6,23,6.5441,0.0514,0.0732,0.0184,0.0372,0.1093
0,0,0,1,3.6,25,5.646,0.0456,0.0619,0.0318,-0.0004,0.1242
0,0,0,1,3.6,27,5.48,0.0556,0.0702,0.0212,0.0286,0.1118
0,0,0,1,3.6,30,5.3105,0.0604,0.0744,0.0324,0.0109,0.1379
0,0,1,0,2.4,23,4.9406,0.0496,0.0807,0.0255,0.0307,0.1307
0,0,1,0,2.4,25,5.4878,0.0599,0.0893,0.019,0.0521,0.1265
0,0,1,0,2.4,27,5.3416,0.0592,0.0903,0.0203,0.0506,0.1301
0,0,1,0,2.4,30,4.2088,0.0527,0.0754,0.0222,0.0319,0.1189
0,0,1,0,2.8,23,5.2959,0.0483,0.0921,0.0213,0.0503,0.1338
0,0,1,0,2.8,25,5.4123,0.0595,0.0967,0.0215,0.0546,0.1389
0,0,1,0,2.8,27,5.4684,0.0569,0.0787,0.027,0.0258,0.1316
0,0,1,0,2.8,30,5.7097,0.0511,0.0904,0.03,0.0316,0.1492
0,0,1,0,3.2,23,5.3837,0.045,0.0696,0.0214,0.0277,0.1116
0,0,1,0,3.2,25,6.1769,0.0715,0.0656,0.0224,0.0217,0.1095
0,0,1,0,3.2,27,4.9105,0.065,0.0848,0.0279,0.0301,0.1394
0,0,1,0,3.2,30,5.6641,0.0545,0.0759,0.0187,0.0393,0.1126
0,0,1,0,3.6,23,4.8793,0.0519,0.0919,0.0296,0.0339,0.1499
0,0,1,0,3.6,25,4.9858,0.0639,0.0995,0.0331,0.0346,0.1643
0,0,1,0,3.6,27,5.903,0.0535,0.0824,0.0246,0.0341,0.1306
0,0,1,0,3.6,30,5.5824,0.0603,0.0795,0.0279,0.0248,0.1342
0,0,1,1,2.4,23,5.524,0.0395,0.09,0.0211,0.0487,0.1314
0,0,1,1,2.4,25,6.0041,0.06,0.0904,0.0223,0.0467,0.1341
0,0,1,1,2.4,27,5.0986,0.0652,0.0899,0.0204,0.0499,0.1298
0,0,1,1,2.4,30,5.4881,0.0674,0.0774,0.0289,0.0207,0.134
0,0,1,1,2.8,23,5.4853,0.0621,0.0893,0.021,0.0482,0.1305
0,0,1,1,2.8,25,5.1232,0.0648,0.0863,0.0298,0.0279,0.1447
0,0,1,1,2.8,27,6.0256,0.0609,0.0729,0.0248,0.0243,0.1215
0,0,1,1,2.8,30,5.2588,0.0589,0.0804,0.0323,0.0171,0.1437
0,0,1,1,3.2,23,5.7359,0.0557,0.0925,0.0299,0.0339,0.1511
0,0,1,1,3.2,25,6.3406,0.0428,0.0803,0.025,0.0313,0.1293
0,0,1,1,3.2,27,6.0302,0.0498,0.0705,0.0281,0.0154,0.1255
0,0,1,1,3.2,30,5.4953,0.0608,0.0898,0.0257,0.0394,0.1402
0,0,1,1,3.6,23,5.6124,0.0418,0.0916,0.0292,0.0344,0.1488
0,0,1,1,3.6,25,5.9477,0.0678,0.0805,0.0193,0.0426,0.1183
0,0,1,1,3.6,27,5.2399,0.065,0.0834,0.0188,0.0466,0.1203
0,0,1,1,3.6,30,5.9994,0.0478,0.087,0.0259,0.0362,0.1377
0,1,0,0,2.4,23,7.8922,0.0931,0.1005,0.0258,0.0499,0.1511
0,1,0,0,2.4,25,8.2584,0.0833,0.1103,0.0307,0.0502,0.1705
0,1,0,0,2.4,27,7.7447,0.0991,0.1199,0.0283,0.0644,0.1754
0,1,0,0,2.4,30,7.7486,0.0807,0.1149,0.0235,0.0688,0.161
0,1,0,0,2.8,23,6.9895,0.0956,0.1094,0.0294,0.0518,0.167
0,1,0,0,2.8,25,7.7992,0.0753,0.1051,0.0202,0.0655,0.1447
0,1,0,0,2.8,27,8.0922,0.0766,0.1276,0.0203,0.0878,0.1674
0,1,0,0,2.8,30,7.7493,0.0679,0.0939,0.021,0.0528,0.1351
0,1,0,0,3.2,23,7.6377,0.0876,0.1075,0.0286,0.0515,0.1636
0,1,0,0,3.2,25,7.5008,0.0761,0.1025,0.0266,0.0504,0.1547
0,1,0,0,3.2,27,7.4264,0.0977,0.101,0.0205,0.0609,0.1412
0,1,0,0,3.2,30,7.7348,0.0731,0.1067,0.0254,0.0569,0.1565
0,1,0,0,3.6,23,7.1248,0.0917,0.1061,0.0255,0.0561,0.1561
0,1,0,0,3.6,25,7.969,0.0914,0.1204,0.0269,0.0677,0.1731
0,1,0,0,3.6,27,7.5766,0.0799,0.1224,0.018,0.0871,0.1577
0,1,0,0,3.6,30,7.8911,0.0854,0.1189,0.0298,0.0605,0.1773
0,1,0,1,2.4,23,8.1874,0.1044,0.1138,0.0188,0.0769,0.1506
0,1,0,1,2.4,25,8.2741,0.0822,0.1051,0.0329,0.0406,0.1696
0,1,0,1,2.4,27,7.802,0.0944,0.1046,0.0296,0.0465,0.1626
0,1,0,1,2.4,30,9.1075,0.0933,0.1221,0.0181,0.0866,0.1576
0,1,0,1,2.8,23,8.7235,0.0888,0.1137,0.0336,0.0479,0.1796
0,1,0,1,2.8,25,8.372,0.0703,0.0932,0.0303,0.0338,0.1526
0,1,0,1,2.8,27,7.8783,0.0816,0.1045,0.0239,0.0577,0.1514
0,1,0,1,2.8,30,9.0807,0.0885,0.0968,0.0245,0.0488,0.1448
0,1,0,1,3.2,23,8.4968,0.0946,0.1097,0.0235,0.0637,0.1558
0,1,0,1,3.2,25,8.2199,0.0797,0.1171,0.0315,0.0553,0.1788
0,1,0,1,3.2,27,8.0248,0.0701,0.1196,0.0183,0.0838,0.1555
0,1,0,1,3.2,30,8.2539,0.072,0.108,0.0191,0.0705,0.1454
0,1,0,1,3.6,23,8.8276,0.0859,0.1089,0.0332,0.0439,0.174
0,1,0,1,3.6,25,7.9527,0.0787,0.107,0.0336,0.0411,0.1728
0,1,0,1,3.6,27,8.2508,0.0913,0.0953,0.0306,0.0354,0.1553
0,1,0,1,3.6,30,8.2755,0.0898,0.1042,0.0249,0.0554,0.153
0,1,1,0,2.4,23,7.9328,0.0829,0.1214,0.0231,0.0761,0.1666
0,1,1,0,2.4,25,8.1461,0.0734,0.125,0.0269,0.0723,0.1778
0,1,1,0,2.4,27,7.7324,0.0859,0.1268,0.0251,0.0776,0.176
0,1,1,0,2.4,30,7.8485,0.0888,0.1215,0.0269,0.0688,0.1742
0,1,1,0,2.8,23,7.8413,0.0859,0.1267,0.0321,0.0638,0.1896
0,1,1,0,2.8,25,7.3966,0.0915,0.1094,0.0272,0.0561,0.1627
0,1,1,0,2.8,27,7.676,0.0804,0.1238,0.0207,0.0832,0.1644
0,1,1,0,2.8,30,7.2064,0.0915,0.1221,0.022,0.079,0.1652
0,1,1,0,3.2,23,7.7798,0.0915,0.1378,0.029,0.081,0.1947
0,1,1,0,3.2,25,7.6971,0.0851,0.1176,0.0228,0.0729,0.1622
0,1,1,0,3.2,27,7.7635,0.0851,0.1325,0.0288,0.076,0.1889
0,1,1,0,3.2,30,7.4336,0.0803,0.1217,0.0291,0.0646,0.1787
0,1,1,0,3.6,23,8.6501,0.0823,0.1241,0.0327,0.06,0.1882
0,1,1,0,3.6,25,8.1407,0.0791,0.1254,0.0212,0.0838,0.1669
0,1,1,0,3.6,27,7.5894,0.0956,0.1299,0.0315,0.0682,0.1917
