field_of_study,cohort_year,n,enroll_rate,stab_rate,match_mean
BUS,2018,889,0.2531,0.7177,65.0341
BUS,2019,929,0.2207,0.718,65.1446
BUS,2020,995,0.2402,0.7146,64.6971
BUS,2021,1010,0.2356,0.7109,65.5223
BUS,2022,950,0.2368,0.7032,64.321
EDU,2018,316,0.2816,0.6867,64.3212
EDU,2019,354,0.2316,0.6836,64.1141
EDU,2020,364,0.2253,0.7308,65.3161
EDU,2021,350,0.2086,0.7057,63.535
EDU,2022,330,0.2636,0.7333,65.4134
HLT,2018,453,0.2119,0.7682,66.7936
HLT,2019,487,0.2197,0.7947,66.6667
HLT,2020,462,0.2078,0.7792,65.8124
HLT,2021,521,0.1919,0.81,65.9757
HLT,2022,478,0.2008,0.7699,66.4278
HUM,2018,395,0.238,0.7241,65.1374
HUM,2019,466,0.221,0.7146,64.5845
HUM,2020,476,0.2395,0.7143,64.6808
HUM,2021,450,0.2311,0.7333,64.6479
HUM,2022,413,0.2324,0.7046,64.701
SOC,2018,695,0.2288,0.6863,65.3226
SOC,2019,729,0.2497,0.7051,64.8568
SOC,2020,794,0.2217,0.6889,65.2366
SOC,2021,906,0.2075,0.7075,64.5278
SOC,2022,767,0.2112,0.6532,64.2836
STEM,2018,1221,0.2195,0.7838,66.6808
STEM,2019,1312,0.2355,0.795,66.2828
STEM,2020,1423,0.2171,0.8032,66.2892
STEM,2021,1388,0.2118,0.7723,66.2347
STEM,2022,1295,0.2293,0.7985,66.3917
