graduate_id,institution_id,cohort_year,field_of_study,age_at_grad,female,cum_gpa,first_gen,rural_origin,low_income_q,internship_months,high_demand_field,risk_score,eligible_z,enrolled_d,y_match_6m,y_quality_6m,y_stability_12m
G2018000000,U01,2021,EDU,26.3,1,3.145,1,0,0,1,0,9.946,0,0,62.43,0,0
G2018000001,U03,2020,HLT,23.1,1,2.805,0,1,0,4,1,16.499,0,0,61.3,1,1
G2018000002,U05,2022,HUM,25.3,1,2.508,1,0,1,1,0,41.336,0,0,52.58,0,0
G2018000003,U03,2018,HLT,22.8,1,3.014,1,0,0,0,0,12.514,0,0,56.21,0,0
G2018000004,U04,2022,SOC,23.7,0,2.793,0,0,0,5,0,9.871,0,0,60.04,0,1
G2018000005,U05,2018,HUM,24.6,1,3.495,0,1,1,1,0,43.331,0,0,59.32,1,0
G2018000006,U05,2019,BUS,23.3,1,3.349,0,0,1,4,0,20.645,0,1,86.75,1,1
G2018000007,U01,2019,STEM,23.2,0,2.678,0,0,1,1,0,14.516,0,0,53.43,1,1
G2018000008,U05,2022,BUS,25.1,1,3.25,0,0,1,4,0,46.675,0,0,65.26,1,1
G2018000009,U03,2022,SOC,26.5,1,3.147,0,1,1,3,0,14.525,0,0,71.63,1,1
G2018000010,U01,2022,HUM,23.7,0,2.865,0,0,1,2,0,35.366,0,0,56.92,0,1
G2018000011,U02,2020,HLT,24.7,1,2.924,0,0,1,2,1,6.318,0,0,63.07,1,1
G2018000012,U02,2019,BUS,25.7,0,2.47,0,0,0,3,0,21.023,0,0,49.97,0,0
G2018000013,U07,2021,SOC,27.0,0,2.853,0,0,1,5,0,53.925,0,0,64.96,1,1
G2018000014,U01,2020,STEM,22.7,1,2.922,0,0,1,1,1,29.965,0,0,51.31,1,0
G2018000015,U02,2020,SOC,25.2,1,3.334,0,1,1,4,0,7.648,0,0,72.69,1,1
G2018000016,U01,2021,STEM,25.7,1,2.484,1,0,0,1,1,11.771,0,0,56.65,1,1
G2018000017,U02,2021,STEM,22.3,0,3.063,1,0,1,4,1,57.591,0,0,66.68,1,1
G2018000018,U01,2019,SOC,25.5,0,3.517,1,0,0,3,0,39.154,0,0,66.04,1,0
G2018000019,U03,2018,STEM,21.6,0,3.809,0,0,0,2,0,10.715,0,0,62.21,1,0
G2018000020,U01,2021,HLT,25.7,0,3.63,0,1,0,0,1,33.892,0,0,59.5,1,1
G2018000021,U03,2020,STEM,24.4,0,2.975,1,0,0,4,1,14.01,0,0,70.97,1,1
G2018000022,U04,2020,STEM,24.1,1,2.639,0,0,1,3,0,32.904,0,0,54.14,0,1
G2018000023,U01,2019,STEM,22.5,0,3.242,0,1,1,1,1,32.059,0,0,55.7,1,1
G2018000024,U02,2019,SOC,24.6,0,3.19,0,0,0,4,0,32.554,0,0,62.63,1,1
G2018000025,U03,2021,BUS,22.6,0,3.237,0,0,0,4,0,30.722,0,0,68.72,1,1
G2018000026,U07,2020,STEM,22.1,1,2.962,0,0,0,2,0,22.063,0,0,65.39,1,1
G2018000027,U02,2018,STEM,25.8,1,3.544,1,0,1,1,1,49.906,0,1,72.42,1,1
G2018000028,U02,2021,STEM,24.7,1,3.478,0,0,1,1,0,50.355,0,0,75.67,1,1
G2018000029,U06,2018,SOC,24.3,0,4.0,0,0,0,3,0,12.036,0,0,68.77,1,1
G2018000030,U08,2020,BUS,25.5,0,3.642,0,0,0,2,0,14.301,0,0,65.16,1,1
G2018000031,U06,2019,BUS,22.9,1,2.71,0,0,1,1,0,38.792,0,0,62.0,0,1
G2018000032,U03,2018,STEM,22.8,0,2.794,1,0,0,2,1,40.007,0,1,75.72,1,1
G2018000033,U01,2020,HUM,27.2,1,3.22,0,0,1,1,0,51.014,0,0,54.72,0,1
G2018000034,U02,2021,STEM,25.9,0,3.084,1,1,0,2,0,14.211,0,1,66.8,1,1
G2018000035,U01,2020,STEM,24.0,0,3.634,0,0,0,0,0,71.722,0,0,57.58,0,1
G2018000036,U05,2022,STEM,26.8,1,1.837,1,0,0,4,1,19.874,0,1,65.0,1,1
G2018000037,U07,2018,STEM,25.6,1,2.233,0,1,1,3,1,22.013,0,0,51.73,1,1
G2018000038,U04,2019,STEM,23.0,0,3.301,0,0,1,2,0,44.578,0,0,67.56,0,0
G2018000039,U05,2021,STEM,26.4,0,3.35,0,0,0,2,1,21.281,0,0,72.07,0,1
G2018000040,U02,2022,STEM,22.8,0,2.602,0,0,0,4,0,44.146,0,0,71.94,1,1
G2018000041,U08,2018,STEM,25.4,1,3.313,0,0,0,3,1,10.168,0,0,59.49,1,0
G2018000042,U03,2021,STEM,24.9,0,3.172,0,0,0,2,1,27.762,0,0,60.67,1,1
G2018000043,U07,2022,STEM,27.9,0,2.935,0,0,0,1,1,18.214,0,0,57.57,1,1
G2018000044,U08,2020,HLT,22.6,1,2.833,0,0,1,3,1,33.44,0,0,64.51,1,1
G2018000045,U07,2022,BUS,21.0,1,3.013,0,0,1,1,0,30.578,0,0,54.39,1,1
G2018000046,U06,2021,STEM,24.4,1,2.532,1,0,1,3,0,12.77,0,0,44.5,1,1
G2018000047,U06,2018,EDU,21.0,0,2.996,0,0,0,2,0,16.472,0,0,60.16,1,1
G2018000048,U04,2018,BUS,25.1,1,2.41,0,0,0,4,0,16.918,0,0,60.16,1,1
G2018000049,U04,2019,HLT,21.0,0,3.199,0,0,0,1,1,8.21,0,0,59.49,1,1
G2018000050,U08,2018,BUS,25.8,1,3.396,0,0,0,2,0,10.86,0,0,70.52,1,1
G2018000051,U02,2018,HUM,25.9,1,3.184,1,0,0,1,0,10.792,0,0,59.3,0,0
G2018000052,U05,2020,STEM,21.8,1,3.178,1,0,1,3,1,1.166,0,1,69.8,1,1
G2018000053,U03,2022,EDU,24.3,1,4.0,1,1,0,2,0,23.534,0,0,74.71,1,1
G2018000054,U01,2020,EDU,24.9,0,2.905,1,0,0,3,0,39.569,0,1,71.59,1,1
G2018000055,U05,2021,STEM,22.8,0,3.454,0,0,0,3,1,25.011,0,0,69.93,1,1
G2018000056,U07,2022,BUS,22.4,1,3.828,1,0,1,1,0,21.241,0,0,71.11,1,1
G2018000057,U06,2020,SOC,25.1,0,3.914,0,0,0,5,0,40.497,0,1,94.93,1,1
G2018000058,U08,2021,BUS,24.9,1,2.899,0,1,0,2,0,66.473,0,0,73.37,0,1
G2018000059,U05,2018,STEM,23.1,1,2.265,0,1,1,3,0,10.851,0,0,53.23,1,0
G2018000060,U06,2021,SOC,23.5,0,2.515,0,0,1,4,0,35.459,0,0,62.72,0,0
G2018000061,U05,2021,HLT,23.1,0,2.93,0,0,0,1,1,5.216,0,0,62.72,1,0
G2018000062,U01,2022,HUM,24.4,1,2.872,1,0,1,4,0,37.358,0,1,80.19,1,1
G2018000063,U05,2020,STEM,24.4,0,2.858,1,0,1,2,1,7.337,0,0,68.91,1,1
G2018000064,U02,2020,STEM,23.6,0,3.623,0,0,0,2,1,29.859,0,0,84.67,1,1
G2018000065,U04,2019,BUS,21.5,0,2.059,1,1,1,3,0,25.506,0,0,64.08,1,0
G2018000066,U04,2019,STEM,24.9,1,2.767,0,0,0,3,1,35.584,0,0,61.58,1,1
G2018000067,U03,2018,EDU,25.7,1,2.99,0,0,0,3,0,28.064,0,1,68.65,1,1
G2018000068,U04,2018,STEM,24.6,0,3.491,0,0,0,1,1,18.426,0,0,64.61,1,1
G2018000069,U03,2021,STEM,25.8,0,2.614,0,0,1,3,1,35.877,0,1,81.87,1,1
G2018000070,U08,2020,BUS,25.3,1,2.859,0,1,1,1,0,25.652,0,1,67.83,1,0
G2018000071,U01,2020,BUS,25.2,1,3.224,0,0,1,5,0,33.785,0,0,76.35,1,0
G2018000072,U02,2021,EDU,26.9,0,2.963,0,0,0,2,0,70.845,0,0,59.2,1,0
G2018000073,U05,2021,STEM,22.2,1,2.354,0,0,1,3,1,44.101,0,0,66.84,1,1
G2018000074,U06,2021,EDU,23.4,1,3.025,1,0,1,6,0,24.521,0,0,65.26,1,1
G2018000075,U05,2020,STEM,22.9,1,3.205,0,0,0,2,0,66.379,0,0,56.17,1,1
G2018000076,U04,2021,STEM,23.7,1,2.352,1,0,1,1,1,11.715,0,1,59.08,1,1
G2018000077,U05,2019,BUS,23.6,0,2.63,0,1,0,3,0,30.703,0,0,72.28,0,0
