graduate_id,institution_id,cohort_year,field_of_study,cum_gpa,first_gen,rural_origin
G2018000001,U03,2020,HLT,2.805,0,1
G2018000011,U02,2020,HLT,2.924,0,0
G2018000014,U01,2020,STEM,2.922,0,0
G2018000015,U02,2020,SOC,3.334,0,1
G2018000021,U03,2020,STEM,2.975,1,0
G2018000022,U04,2020,STEM,2.639,0,0
G2018000026,U07,2020,STEM,2.962,0,0
G2018000030,U08,2020,BUS,3.642,0,0
G2018000033,U01,2020,HUM,3.22,0,0
G2018000035,U01,2020,STEM,3.634,0,0
G2018000044,U08,2020,HLT,2.833,0,0
G2018000052,U05,2020,STEM,3.178,1,0
G2018000054,U01,2020,EDU,2.905,1,0
G2018000057,U06,2020,SOC,3.914,0,0
G2018000063,U05,2020,STEM,2.858,1,0
G2018000064,U02,2020,STEM,3.623,0,0
G2018000070,U08,2020,BUS,2.859,0,1
G2018000071,U01,2020,BUS,3.224,0,0
G2018000075,U05,2020,STEM,3.205,0,0
G2018000084,U04,2020,STEM,3.064,0,0
G2018000091,U02,2020,HLT,2.94,0,1
G2018000095,U06,2020,HLT,3.8,0,0
G2018000099,U02,2020,HLT,3.2,0,0
G2018000100,U02,2020,BUS,2.305,1,0
G2018000105,U06,2020,STEM,3.189,1,1
G2018000107,U04,2020,BUS,2.728,0,0
G2018000118,U02,2020,STEM,3.298,1,0
G2018000127,U01,2020,BUS,2.896,0,0
G2018000139,U02,2020,BUS,3.017,0,1
G2018000149,U02,2020,HUM,3.214,0,0
G2018000158,U02,2020,EDU,2.62,0,1
G2018000167,U01,2020,STEM,3.038,1,0
G2018000179,U07,2020,BUS,3.109,1,1
G2018000187,U05,2020,STEM,2.345,0,0
G2018000192,U04,2020,STEM,2.449,0,0
G2018000195,U07,2020,SOC,3.334,1,0
G2018000205,U07,2020,BUS,3.214,1,0
G2018000224,U03,2020,BUS,2.565,0,0
G2018000225,U01,2020,STEM,3.149,1,0
G2018000227,U04,2020,SOC,2.38,1,0
G2018000228,U03,2020,STEM,3.124,1,1
G2018000229,U05,2020,STEM,2.409,0,1
G2018000244,U04,2020,STEM,2.461,1,1
