graduate_id	risk_score	eligible_z	enrolled_d
G2018000001	16.499	0	0
G2018000011	6.318	0	0
G2018000014	29.965	0	0
G2018000015	7.648	0	0
G2018000021	14.01	0	0
G2018000022	32.904	0	0
G2018000026	22.063	0	0
G2018000030	14.301	0	0
G2018000033	51.014	0	0
G2018000035	71.722	0	0
G2018000044	33.44	0	0
G2018000052	1.166	0	1
G2018000054	39.569	0	1
G2018000057	40.497	0	1
G2018000063	7.337	0	0
G2018000064	29.859	0	0
G2018000070	25.652	0	1
G2018000071	33.785	0	0
G2018000075	66.379	0	0
G2018000084	42.12	0	0
G2018000091	46.587	0	0
G2018000095	11.92	0	0
G2018000099	11.939	0	0
G2018000100	9.811	0	1
G2018000105	1.603	0	0
G2018000107	18.747	0	0
G2018000118	35.356	0	0
G2018000127	3.526	0	0
G2018000139	9.409	0	1
G2018000149	38.513	0	0
G2018000158	17.911	0	0
G2018000167	34.3	0	0
G2018000179	24.569	0	1
G2018000187	33.001	0	1
G2018000192	51.267	0	0
G2018000195	21.954	0	0
G2018000205	59.733	0	0
G2018000224	45.17	0	0
G2018000225	52.854	0	0
G2018000227	32.45	0	0
G2018000228	40.263	0	0
G2018000229	16.288	0	1
G2018000244	26.457	0	0
G2018000247	41.59	0	0
G2018000249	37.471	0	1
G2018000255	45.513	0	0
G2018000257	8.778	0	1
G2018000260	33.41	0	0
G2018000267	24.998	0	0
G2018000268	21.133	0	0
G2018000271	15.425	0	0
G2018000278	7.474	0	0
G2018000289	38.964	0	0
G2018000293	0.134	0	1
G2018000295	5.096	0	0
G2018000296	36.759	0	0
G2018000298	53.185	0	1
G2018000299	19.216	0	0
G2018000307	19.633	0	1
G2018000317	46.052	0	0
G2018000320	14.86	0	0
G2018000327	42.686	0	0
G2018000349	26.177	0	0
G2018000353	44.061	0	1
G2018000355	21.419	0	1
G2018000357	20.744	0	0
G2018000362	26.8	0	0
G2018000365	17.354	0	1
G2018000370	25.513	0	0
G2018000374	20.763	0	0
G2018000375	53.344	0	0
G2018000378	23.476	0	0
G2018000386	15.572	0	0
G2018000387	29.746	0	1
G2018000390	61.101	0	1
G2018000411	29.575	0	0
G2018000413	34.097	0	1
G2018000415	19.187	0	1
G2018000416	57.997	0	0
G2018000420	19.486	0	0
G2018000422	40.516	0	0
G2018000427	27.436	0	0
G2018000449	54.975	0	0
G2018000454	57.727	0	0
G2018000456	30.839	0	0
G2018000457	16.641	0	0
G2018000460	28.051	0	1
G2018000462	28.889	0	1
G2018000464	25.597	0	0
G2018000465	35.799	0	0
G2018000468	21.036	0	0
G2018000470	21.524	0	0
G2018000479	12.89	0	0
G2018000480	17.535	0	1
G2018000482	27.375	0	0
G2018000483	8.402	0	1
G2018000484	52.454	0	0
G2018000492	63.82	0	1
G2018000498	2.307	0	0
G2018000500	55.831	0	1
G2018000501	34.547	0	0
G2018000503	14.373	0	0
G2018000507	3.98	0	0
G2018000510	38.454	0	0
G2018000522	4.099	0	0
G2018000527	18.098	0	0
G2018000528	54.813	0	1
G2018000532	31.033	0	0
G2018000533	47.011	0	1
G2018000535	54.271	0	0
G2018000545	0.561	0	0
G2018000546	20.61	0	1
G2018000548	64.922	0	1
G2018000554	19.343	0	0
G2018000558	31.842	0	1
G2018000559	46.894	0	0
G2018000564	36.428	0	0
G2018000565	16.605	0	0
G2018000572	26.627	0	0
G2018000576	35.438	0	0
G2018000577	61.382	0	0
G2018000580	8.289	0	0
G2018000581	24.275	0	0
G2018000608	8.351	0	0
G2018000609	12.143	0	0
G2018000610	6.171	0	0
G2018000611	46.609	0	1
G2018000612	36.611	0	0
G2018000625	14.249	0	0
G2018000629	19.811	0	1
G2018000656	59.976	0	0
G2018000661	38.719	0	0
G2018000667	34.552	0	0
G2018000669	20.785	0	0
G2018000679	13.16	0	0
G2018000688	48.886	0	1
G2018000690	36.851	0	1
G2018000698	13.509	0	0
G2018000700	5.549	0	1
G2018000706	22.933	0	1
G2018000728	12.698	0	1
G2018000734	29.705	0	0
G2018000737	32.223	0	0
G2018000738	2.285	0	0
G2018000740	31.092	0	0
G2018000741	55.4	0	0
G2018000742	14.638	0	0
G2018000748	12.854	0	1
G2018000751	13.708	0	0
G2018000753	27.37	0	0
G2018000754	10.809	0	0
G2018000755	37.07	0	0
G2018000761	11.463	0	0
G2018000763	6.33	0	0
G2018000769	30.685	0	0
G2018000778	9.272	0	1
G2018000782	31.433	0	1
G2018000786	64.445	0	1
G2018000787	14.521	0	1
G2018000788	30.251	0	0
G2018000790	60.081	0	0
G2018000791	24.057	0	0
G2018000796	46.4	0	0
G2018000811	38.53	0	1
G2018000815	25.824	0	0
G2018000816	10.145	0	0
G2018000828	5.864	0	0
G2018000839	33.328	0	0
G2018000844	16.255	0	0
G2018000847	22.928	0	0
G2018000848	67.415	0	0
G2018000849	24.29	0	1
G2018000851	30.608	0	0
G2018000853	9.052	0	0
G2018000858	37.637	0	0
G2018000859	31.673	0	0
G2018000865	38.105	0	0
G2018000872	47.453	0	1
G2018000875	22.911	0	0
G2018000878	20.904	0	1
G2018000884	37.867	0	1
