session_id	session_ts	minutes_logged	session_type	modality	rating_1_5	no_show
S03-000000	2024-08-15 17:59:00	79	INTERVIEW	VIDEO	3	0
S03-000001	2024-06-06 16:04:00	48	FOLLOWUP	VIDEO	4	0
S03-000002	2024-04-14 14:01:00	35	WORKSHOP	VIDEO	2	0
S03-000003	2024-08-17 17:04:00	83	NETWORK	PHONE	5	0
S03-000004	2023-10-23 01:45:00	43	INTAKE	IN_PERSON	5	0
S03-000005	2023-12-09 20:26:00	71	NETWORK	IN_PERSON	4	0
S03-000006	2024-01-05 10:23:00	91	NETWORK	VIDEO	5	0
S03-000007	2023-12-10 02:22:00	21	RESUME	IN_PERSON	5	0
S03-000008	2024-04-24 04:19:00	37	INTERVIEW	IN_PERSON	4	0
S03-000009	2024-04-06 11:15:00	66	WORKSHOP	PHONE	2	1
S03-000010	2024-06-04 21:21:00	43	FOLLOWUP	IN_PERSON	4	0
S03-000011	2024-01-09 13:25:00	82	FOLLOWUP	IN_PERSON	5	0
S03-000012	2024-02-23 12:49:00	38	INTERVIEW	VIDEO	5	0
S03-000013	2023-12-03 14:46:00	25	WORKSHOP	VIDEO	4	0
S03-000014	2024-02-18 22:49:00	94	NETWORK	VIDEO	2	0
S03-000015	2024-04-06 07:38:00	76	FOLLOWUP	ASYNC	4	0
S03-000016	2024-05-08 17:04:00	55	INTAKE	IN_PERSON	4	0
S03-000017	2024-04-20 15:11:00	55	RESUME	IN_PERSON	5	0
S03-000018	2024-06-14 21:46:00	23	WORKSHOP	VIDEO	3	0
S03-000019	2024-03-24 03:13:00	68	NETWORK	IN_PERSON	4	0
S03-000020	2024-06-12 19:47:00	44	INTERVIEW	IN_PERSON	5	0
S03-000021	2024-05-23 22:45:00	88	FOLLOWUP	IN_PERSON	2	0
S03-000022	2024-02-04 09:44:00	91	INTAKE	IN_PERSON	3	0
S03-000023	2023-12-20 11:05:00	35	INTAKE	VIDEO	3	0
S03-000024	2023-10-29 19:39:00	48	FOLLOWUP	VIDEO	4	0
S03-000025	2024-04-22 18:30:00	89	NETWORK	IN_PERSON	2	0
S03-000026	2024-07-01 07:36:00	70	INTAKE	VIDEO	4	0
S03-000027	2023-10-04 06:31:00	34	NETWORK	VIDEO	5	0
S03-000028	2023-11-06 12:49:00	25	WORKSHOP	PHONE	4	0
S03-000029	2024-03-23 17:22:00	32	RESUME	IN_PERSON	3	1
S03-000030	2023-12-13 03:33:00	34	RESUME	VIDEO	5	0
S03-000031	2024-01-02 22:32:00	58	WORKSHOP	IN_PERSON	2	0
S03-000032	2024-06-27 13:46:00	75	INTAKE	VIDEO	3	0
S03-000033	2024-05-17 16:30:00	68	WORKSHOP	VIDEO	3	0
S03-000034	2024-08-24 23:30:00	47	INTAKE	IN_PERSON	2	0
S03-000035	2024-07-01 12:12:00	69	FOLLOWUP	VIDEO	4	0
S03-000036	2023-11-26 17:53:00	21	WORKSHOP	VIDEO	2	0
S03-000037	2024-07-21 23:33:00	65	RESUME	VIDEO	5	0
S03-000038	2024-06-17 10:40:00	86	INTERVIEW	PHONE	5	0
S03-000039	2024-05-29 01:22:00	61	INTERVIEW	VIDEO	3	0
S03-000040	2024-05-25 05:51:00	80	RESUME	ASYNC	5	0
S03-000041	2024-03-31 12:21:00	49	WORKSHOP	VIDEO	4	1
S03-000042	2024-06-08 09:31:00	30	INTAKE	VIDEO	3	0
S03-000043	2023-12-08 00:30:00	85	INTERVIEW	IN_PERSON	3	0
S03-000044	2024-05-13 16:43:00	65	INTERVIEW	VIDEO	5	0
S03-000045	2024-02-19 07:24:00	51	INTERVIEW	PHONE	3	0
S03-000046	2023-10-20 03:24:00	41	INTAKE	VIDEO	4	1
S03-000047	2024-03-26 00:10:00	85	INTAKE	ASYNC	5	0
S03-000048	2024-08-18 08:15:00	61	INTAKE	IN_PERSON	3	0
S03-000049	2024-02-10 18:06:00	92	RESUME	IN_PERSON	5	0
S03-000050	2024-01-30 23:30:00	85	INTERVIEW	VIDEO	5	0
S03-000051	2023-09-05 08:20:00	49	NETWORK	ASYNC	5	0
S03-000052	2024-03-19 15:19:00	24	INTAKE	VIDEO	4	0
S03-000053	2023-10-15 06:13:00	23	NETWORK	IN_PERSON	2	0
S03-000054	2024-02-16 23:18:00	20	FOLLOWUP	VIDEO	5	0
S03-000055	2024-05-20 14:44:00	73	FOLLOWUP	VIDEO	5	0
S03-000056	2023-12-28 22:02:00	46	NETWORK	PHONE	5	0
S03-000057	2024-06-10 20:14:00	58	RESUME	VIDEO	2	1
S03-000058	2024-07-13 22:53:00	59	FOLLOWUP	IN_PERSON	5	0
S03-000059	2024-02-24 10:48:00	79	INTERVIEW	IN_PERSON	3	0
S03-000060	2024-01-01 10:21:00	90	INTAKE	VIDEO	3	0
S03-000061	2024-07-05 09:29:00	89	INTAKE	IN_PERSON	5	0
S03-000062	2024-04-04 03:50:00	45	INTERVIEW	IN_PERSON	4	0
S03-000063	2024-04-01 09:08:00	31	WORKSHOP	VIDEO	4	1
S03-000064	2024-01-27 06:41:00	50	RESUME	PHONE	4	0
S03-000065	2023-12-29 11:17:00	20	RESUME	IN_PERSON	2	0
S03-000066	2023-09-18 03:29:00	75	INTAKE	VIDEO	4	0
S03-000067	2023-10-10 00:11:00	58	INTERVIEW	IN_PERSON	3	0
S03-000068	2023-10-13 16:53:00	83	RESUME	PHONE	5	0
S03-000069	2024-05-12 06:47:00	60	FOLLOWUP	IN_PERSON	3	0
S03-000070	2023-09-19 17:11:00	45	WORKSHOP	IN_PERSON	5	0
S03-000071	2023-12-23 23:09:00	28	INTAKE	VIDEO	4	0
S03-000072	2024-04-04 16:40:00	75	INTAKE	ASYNC	5	0
S03-000073	2023-09-23 05:16:00	71	NETWORK	IN_PERSON	5	0
S03-000074	2023-09-21 18:58:00	40	WORKSHOP	PHONE	4	0
S03-000075	2024-01-25 13:45:00	26	NETWORK	VIDEO	3	1
S03-000076	2024-07-08 01:20:00	26	WORKSHOP	IN_PERSON	5	1
S03-000077	2023-09-22 02:26:00	84	RESUME	VIDEO	5	0
S03-000078	2024-07-29 10:37:00	44	RESUME	VIDEO	5	0
S03-000079	2024-01-31 06:36:00	48	INTAKE	VIDEO	4	0
S03-000080	2024-01-04 07:09:00	71	INTAKE	IN_PERSON	4	0
S03-000081	2023-10-02 14:42:00	36	RESUME	VIDEO	4	0
S03-000082	2024-02-13 13:11:00	46	NETWORK	IN_PERSON	4	0
S03-000083	2024-05-22 23:04:00	79	INTAKE	ASYNC	4	0
S03-000084	2024-08-18 11:20:00	79	WORKSHOP	VIDEO	2	0
S03-000085	2023-10-12 23:57:00	60	RESUME	VIDEO	2	0
S03-000086	2023-10-24 12:00:00	59	NETWORK	VIDEO	5	0
S03-000087	2024-08-19 17:14:00	34	INTERVIEW	IN_PERSON	5	0
S03-000088	2023-12-03 10:49:00	56	INTERVIEW	VIDEO	5	0
S03-000089	2023-12-03 10:54:00	47	WORKSHOP	ASYNC	4	0
S03-000090	2024-06-03 04:54:00	34	RESUME	VIDEO	5	0
S03-000091	2024-07-29 09:23:00	46	FOLLOWUP	PHONE	3	0
S03-000092	2023-10-16 09:08:00	81	NETWORK	IN_PERSON	4	0
S03-000093	2023-09-11 20:00:00	41	INTAKE	IN_PERSON	4	0
S03-000094	2023-11-13 14:49:00	93	FOLLOWUP	IN_PERSON	2	0
S03-000095	2024-05-29 02:48:00	66	INTERVIEW	IN_PERSON	5	0
S03-000096	2024-05-16 22:00:00	32	INTAKE	VIDEO	5	0
S03-000097	2024-03-03 12:36:00	58	FOLLOWUP	VIDEO	2	0
S03-000098	2023-10-05 18:41:00	90	RESUME	VIDEO	4	1
S03-000099	2024-07-01 14:48:00	28	NETWORK	VIDEO	3	0
S03-000100	2024-01-25 23:57:00	35	INTERVIEW	IN_PERSON	3	0
S03-000101	2023-10-08 19:50:00	47	NETWORK	IN_PERSON	3	0
S03-000102	2024-06-04 07:07:00	45	NETWORK	VIDEO	3	0
S03-000103	2024-05-26 05:05:00	28	RESUME	VIDEO	4	0
S03-000104	2024-01-20 23:38:00	55	INTAKE	VIDEO	3	0
S03-000105	2024-03-13 14:13:00	92	INTERVIEW	VIDEO	5	1
S03-000106	2024-06-28 17:11:00	57	NETWORK	VIDEO	5	0
S03-000107	2023-11-28 21:16:00	76	INTAKE	VIDEO	5	0
S03-000108	2024-01-29 01:04:00	55	INTERVIEW	IN_PERSON	4	0
S03-000109	2023-09-04 04:25:00	53	FOLLOWUP	IN_PERSON	3	0
S03-000110	2024-04-08 03:48:00	41	WORKSHOP	IN_PERSON	5	0
S03-000111	2023-10-15 22:47:00	87	NETWORK	IN_PERSON	2	0
S03-000112	2023-12-18 02:28:00	87	FOLLOWUP	IN_PERSON	4	0
S03-000113	2024-06-06 17:42:00	88	FOLLOWUP	ASYNC	3	0
S03-000114	2024-01-29 10:34:00	65	NETWORK	ASYNC	4	1
S03-000115	2023-10-13 06:36:00	50	NETWORK	ASYNC	5	0
S03-000116	2024-01-13 22:45:00	48	NETWORK	VIDEO	5	0
S03-000117	2024-02-21 17:45:00	85	NETWORK	IN_PERSON	5	0
S03-000118	2023-11-15 16:38:00	41	WORKSHOP	IN_PERSON	5	0
S03-000119	2024-08-14 02:25:00	52	INTAKE	IN_PERSON	4	0
S03-000120	2023-10-19 21:01:00	21	WORKSHOP	IN_PERSON	5	0
S03-000121	2024-01-22 10:03:00	89	INTAKE	IN_PERSON	4	0
S03-000122	2023-11-20 15:51:00	46	INTAKE	IN_PERSON	4	0
S03-000123	2024-06-30 11:53:00	72	WORKSHOP	VIDEO	3	1
S03-000124	2024-05-16 14:20:00	75	INTAKE	IN_PERSON	5	0
S03-000125	2023-10-11 21:57:00	25	INTAKE	VIDEO	3	0
S03-000126	2024-01-23 10:49:00	81	RESUME	PHONE	2	0
S03-000127	2023-12-09 07:57:00	45	INTAKE	VIDEO	2	0
S03-000128	2024-06-08 15:38:00	38	WORKSHOP	IN_PERSON	5	0
S03-000129	2023-11-25 21:37:00	80	INTERVIEW	IN_PERSON	4	0
S03-000130	2023-12-16 06:07:00	79	RESUME	IN_PERSON	3	0
S03-000131	2023-12-08 13:45:00	77	INTAKE	IN_PERSON	5	0
S03-000132	2023-11-30 16:34:00	52	NETWORK	VIDEO	2	0
S03-000133	2023-09-17 07:05:00	65	FOLLOWUP	VIDEO	5	0
S03-000134	2024-06-08 19:29:00	71	WORKSHOP	PHONE	4	0
S03-000135	2024-08-23 07:59:00	20	FOLLOWUP	ASYNC	5	0
S03-000136	2024-07-13 06:22:00	22	NETWORK	VIDEO	4	0
S03-000137	2024-05-10 15:45:00	26	INTAKE	IN_PERSON	3	0
S03-000138	2024-05-09 00:18:00	41	INTERVIEW	VIDEO	5	0
S03-000139	2024-08-10 08:25:00	49	RESUME	VIDEO	5	0
S03-000140	2024-07-21 05:00:00	82	INTERVIEW	VIDEO	4	0
S03-000141	2024-08-21 04:47:00	20	NETWORK	IN_PERSON	4	0
S03-000142	2023-10-11 06:30:00	33	WORKSHOP	VIDEO	4	0
S03-000143	2024-02-17 06:31:00	22	WORKSHOP	IN_PERSON	5	0
S03-000144	2024-03-24 11:50:00	30	INTERVIEW	ASYNC	5	1
S03-000145	2024-02-07 05:05:00	84	NETWORK	IN_PERSON	5	0
S03-000146	2024-03-11 17:36:00	89	FOLLOWUP	VIDEO	3	0
S03-000147	2024-05-26 00:25:00	41	FOLLOWUP	IN_PERSON	2	0
S03-000148	2023-12-17 03:30:00	67	WORKSHOP	VIDEO	5	0
S03-000149	2024-04-22 08:43:00	88	WORKSHOP	VIDEO	2	0
S03-000150	2023-12-15 10:58:00	37	NETWORK	IN_PERSON	5	0
S03-000151	2023-10-07 21:13:00	63	FOLLOWUP	VIDEO	5	0
S03-000152	2024-08-22 15:02:00	94	RESUME	PHONE	3	0
S03-000153	2023-12-11 10:49:00	71	INTERVIEW	IN_PERSON	5	0
S03-000154	2024-06-27 11:40:00	86	WORKSHOP	VIDEO	5	0
S03-000155	2024-08-22 12:20:00	62	WORKSHOP	PHONE	5	0
S03-000156	2024-08-17 02:19:00	25	INTAKE	IN_PERSON	4	0
S03-000157	2023-11-03 13:41:00	86	NETWORK	IN_PERSON	3	0
S03-000158	2024-04-07 21:28:00	80	INTERVIEW	IN_PERSON	5	0
S03-000159	2024-04-13 02:37:00	59	NETWORK	VIDEO	5	0
S03-000160	2024-01-11 16:46:00	35	WORKSHOP	IN_PERSON	4	1
S03-000161	2024-05-24 16:23:00	89	INTERVIEW	IN_PERSON	4	0
S03-000162	2024-03-13 06:49:00	62	NETWORK	VIDEO	5	0
S03-000163	2024-03-23 21:08:00	56	NETWORK	IN_PERSON	5	0
S03-000164	2023-09-16 12:03:00	65	INTAKE	VIDEO	5	0
S03-000165	2023-09-12 10:25:00	29	INTAKE	ASYNC	2	0
S03-000166	2024-06-15 20:05:00	75	NETWORK	VIDEO	5	0
S03-000167	2024-07-15 04:47:00	34	NETWORK	IN_PERSON	5	0
S03-000168	2023-09-26 06:19:00	54	NETWORK	VIDEO	5	0
S03-000169	2024-04-17 16:31:00	42	NETWORK	IN_PERSON	4	0
S03-000170	2023-12-11 04:35:00	37	INTERVIEW	PHONE	5	1
S03-000171	2023-10-31 19:50:00	87	RESUME	ASYNC	5	0
S03-000172	2024-07-09 20:27:00	40	NETWORK	VIDEO	5	0
S03-000173	2024-04-29 04:59:00	45	NETWORK	PHONE	5	0
S03-000174	2024-07-28 14:02:00	48	NETWORK	IN_PERSON	4	1
S03-000175	2024-02-21 09:31:00	58	INTAKE	VIDEO	3	0
S03-000176	2024-01-21 15:38:00	31	RESUME	PHONE	2	0
S03-000177	2024-08-24 02:10:00	23	WORKSHOP	IN_PERSON	5	0
S03-000178	2023-10-26 05:40:00	34	WORKSHOP	IN_PERSON	2	0
S03-000179	2023-09-07 13:23:00	77	NETWORK	VIDEO	5	0
S03-000180	2024-01-27 10:00:00	92	WORKSHOP	IN_PERSON	4	0
S03-000181	2024-05-26 22:02:00	36	FOLLOWUP	VIDEO	3	0
S03-000182	2024-05-03 23:26:00	51	NETWORK	VIDEO	5	0
S03-000183	2023-09-15 21:34:00	73	INTERVIEW	IN_PERSON	5	0
S03-000184	2024-08-17 19:09:00	65	INTERVIEW	IN_PERSON	3	0
S03-000185	2023-12-02 14:57:00	58	WORKSHOP	IN_PERSON	4	0
S03-000186	2023-10-25 22:34:00	74	INTERVIEW	IN_PERSON	5	1
S03-000187	2023-12-04 19:11:00	53	INTAKE	ASYNC	3	0
S03-000188	2023-11-21 01:49:00	74	WORKSHOP	PHONE	4	0
S03-000189	2024-08-23 02:58:00	92	NETWORK	IN_PERSON	3	0
S03-000190	2023-09-23 05:13:00	42	WORKSHOP	VIDEO	4	0
S03-000191	2024-05-12 20:02:00	40	INTERVIEW	IN_PERSON	3	0
S03-000192	2023-09-27 17:24:00	33	FOLLOWUP	VIDEO	5	0
S03-000193	2024-02-29 14:59:00	59	INTAKE	PHONE	5	0
S03-000194	2024-02-02 20:19:00	92	NETWORK	IN_PERSON	4	0
S03-000195	2023-09-04 06:49:00	39	INTAKE	IN_PERSON	5	0
S03-000196	2023-09-24 00:56:00	54	FOLLOWUP	IN_PERSON	3	0
S03-000197	2024-02-03 21:36:00	51	WORKSHOP	IN_PERSON	3	1
S03-000198	2024-05-02 20:27:00	35	WORKSHOP	IN_PERSON	3	0
S03-000199	2023-10-24 19:41:00	73	INTERVIEW	IN_PERSON	3	0
S03-000200	2023-12-10 12:09:00	46	NETWORK	VIDEO	4	0
S03-000201	2024-08-17 07:14:00	36	WORKSHOP	ASYNC	3	0
S03-000202	2024-06-24 08:03:00	72	RESUME	IN_PERSON	5	0
S03-000203	2024-04-24 09:42:00	27	INTERVIEW	IN_PERSON	5	0
S03-000204	2023-09-28 06:58:00	57	FOLLOWUP	IN_PERSON	5	0
S03-000205	2023-12-24 08:07:00	57	NETWORK	IN_PERSON	5	0
S03-000206	2023-09-06 11:27:00	92	INTERVIEW	IN_PERSON	5	1
S03-000207	2023-10-24 08:10:00	30	INTERVIEW	ASYNC	3	0
S03-000208	2024-06-26 02:16:00	38	INTAKE	VIDEO	5	0
S03-000209	2024-06-30 00:03:00	51	INTAKE	VIDEO	3	0
