case_id,graduate_id,decision_ts,counselor_id,decision_path,consent_recorded,first_session_lag_d,scheduled_sessions,completed_sessions
CS-000000,G2018000629,2024-01-31 13:00:00,CN016,ADV_REVIEW,1,1,9,3
CS-000001,G2018006224,2024-12-20 00:00:00,CN052,STUDENT_REQUEST,0,7,8,8
CS-000002,G2018015726,2023-01-22 16:00:00,CN051,AUTO_FLAG,1,21,10,10
CS-000003,G2018006962,2024-06-22 15:00:00,CN037,STUDENT_REQUEST,0,26,7,7
CS-000004,G2018004537,2023-09-13 07:00:00,CN001,STUDENT_REQUEST,1,4,10,8
CS-000005,G2018006434,2023-10-01 11:00:00,CN057,AUTO_FLAG,1,17,6,2
CS-000006,G2018014784,2023-06-21 23:00:00,CN043,MANUAL_PUSH,1,19,7,2
CS-000007,G2018014204,2023-05-18 21:00:00,CN071,AUTO_FLAG,1,2,10,2
CS-000008,G2018004923,2024-12-12 18:00:00,CN018,MANUAL_PUSH,1,18,8,6
CS-000009,G2018015268,2024-11-17 05:00:00,CN023,ADV_REVIEW,1,2,12,12
CS-000010,G2018014727,2024-10-26 02:00:00,CN016,AUTO_FLAG,1,10,6,4
CS-000011,G2018007696,2023-12-01 16:00:00,CN068,ADV_REVIEW,1,1,9,5
CS-000012,G2018007484,2023-05-04 07:00:00,CN019,AUTO_FLAG,1,24,10,7
CS-000013,G2018000856,2023-06-05 14:00:00,CN056,AUTO_FLAG,1,23,7,4
CS-000014,G2018008803,2024-09-16 13:00:00,CN046,STUDENT_REQUEST,1,3,8,7
CS-000015,G2018020295,2023-07-29 15:00:00,CN049,ADV_REVIEW,1,10,7,7
CS-000016,G2018009691,2023-12-16 08:00:00,CN048,AUTO_FLAG,0,23,6,3
CS-000017,G2018013017,2024-06-11 17:00:00,CN022,ADV_REVIEW,1,5,6,6
CS-000018,G2018012406,2023-06-27 17:00:00,CN052,STUDENT_REQUEST,1,19,8,8
CS-000019,G2018011943,2024-09-08 11:00:00,CN032,CAP_OVERFLOW,1,18,10,8
CS-000020,G2018002895,2024-08-05 02:00:00,CN030,ADV_REVIEW,1,16,6,6
CS-000021,G2018018403,2024-03-13 02:00:00,CN003,CAP_OVERFLOW,1,7,12,5
CS-000022,G2018014630,2023-09-22 02:00:00,CN006,AUTO_FLAG,1,9,13,13
CS-000023,G2018015517,2023-03-09 15:00:00,CN024,AUTO_FLAG,1,11,6,5
CS-000024,G2018013717,2023-04-03 15:00:00,CN033,CAP_OVERFLOW,1,2,8,4
CS-000025,G2018014508,2024-05-31 06:00:00,CN028,CAP_OVERFLOW,1,22,8,7
CS-000026,G2018004545,2023-10-10 18:00:00,CN059,CAP_OVERFLOW,1,26,11,7
CS-000027,G2018009481,2024-11-17 13:00:00,CN008,STUDENT_REQUEST,0,23,4,2
CS-000028,G2018003679,2024-12-11 15:00:00,CN042,AUTO_FLAG,1,20,6,3
CS-000029,G2018002987,2023-08-22 02:00:00,CN003,STUDENT_REQUEST,1,5,3,3
CS-000030,G2018004947,2023-08-30 20:00:00,CN010,ADV_REVIEW,1,16,4,4
CS-000031,G2018005047,2023-06-25 11:00:00,CN038,AUTO_FLAG,1,5,8,6
CS-000032,G2018012927,2024-06-02 15:00:00,CN037,AUTO_FLAG,1,11,11,9
CS-000033,G2018014228,2024-07-14 05:00:00,CN064,AUTO_FLAG,1,27,5,4
CS-000034,G2018010881,2024-10-17 10:00:00,CN038,CAP_OVERFLOW,1,8,6,5
CS-000035,G2018005648,2024-02-05 07:00:00,CN043,AUTO_FLAG,1,9,3,1
CS-000036,G2018006310,2023-03-24 07:00:00,CN008,AUTO_FLAG,1,8,6,5
CS-000037,G2018009295,2023-11-28 04:00:00,CN041,ADV_REVIEW,1,11,8,4
CS-000038,G2018016118,2024-10-05 21:00:00,CN027,CAP_OVERFLOW,1,19,5,4
CS-000039,G2018018651,2024-07-22 02:00:00,CN052,STUDENT_REQUEST,1,11,9,8
CS-000040,G2018004389,2023-04-08 07:00:00,CN044,STUDENT_REQUEST,1,14,3,2
CS-000041,G2018019346,2023-07-01 23:00:00,CN014,STUDENT_REQUEST,1,24,6,3
CS-000042,G2018012458,2023-06-12 22:00:00,CN047,ADV_REVIEW,1,12,13,11
CS-000043,G2018007217,2024-08-24 19:00:00,CN004,MANUAL_PUSH,1,26,11,11
