run_id,model_version,scored_at,n_features_used,feature_drift_psi,auroc_holdout,calibration_brier,decision_threshold,flagged_count,override_count
RSC-2022-00000,v2.1.3,2022-11-14 12:02:51,40,0.0698,0.8167,0.1646,0.5347,833,81
RSC-2022-00001,v2.1.3,2022-03-18 13:38:00,56,0.0499,0.7953,0.1751,0.5003,1189,66
RSC-2022-00002,v2.1.3,2022-07-10 19:06:28,39,0.0691,0.8125,0.1614,0.5166,967,33
RSC-2022-00003,v2.3.0,2022-11-05 10:15:50,39,0.0297,0.7953,0.1356,0.5457,1402,81
RSC-2022-00004,v2.2.0,2022-12-23 00:21:39,38,0.0135,0.8244,0.1438,0.5368,1198,111
RSC-2022-00005,v2.1.4,2022-10-06 13:03:20,46,0.0269,0.8244,0.1372,0.5106,848,89
RSC-2022-00006,v2.2.0,2022-03-05 16:29:12,37,0.0033,0.8217,0.1568,0.5059,1063,27
RSC-2022-00007,v2.2.0,2022-02-03 19:13:57,40,0.0522,0.7985,0.1392,0.5228,1049,120
RSC-2022-00008,v2.2.1,2022-08-07 04:36:39,36,0.0059,0.8091,0.1519,0.4985,932,53
RSC-2022-00009,v2.3.0,2022-02-08 04:36:16,44,0.0421,0.8062,0.1407,0.4876,865,75
RSC-2022-00010,v2.1.4,2022-05-24 04:13:35,42,0.0348,0.8433,0.1644,0.5063,1114,60
RSC-2022-00011,v2.1.3,2022-11-25 13:56:23,45,0.0414,0.8279,0.1571,0.5095,930,57
RSC-2022-00012,v2.3.0,2022-10-11 18:31:24,48,0.0157,0.7965,0.1305,0.5581,1267,114
RSC-2022-00013,v2.1.3,2022-07-24 10:16:51,55,0.0322,0.808,0.165,0.4795,953,39
RSC-2022-00014,v2.2.0,2022-04-13 12:01:35,36,0.0416,0.8102,0.1607,0.5165,1326,115
RSC-2022-00015,v2.1.4,2022-07-28 04:29:17,57,0.0355,0.8007,0.1351,0.5216,927,45
RSC-2022-00016,v2.1.3,2022-09-12 12:52:06,47,0.0272,0.8151,0.1268,0.5377,1033,39
RSC-2022-00017,v2.3.0,2022-08-14 11:47:16,46,0.0078,0.8127,0.142,0.5017,1445,46
RSC-2022-00018,v2.1.3,2022-11-07 06:10:46,50,0.0242,0.8168,0.162,0.4941,1450,69
RSC-2022-00019,v2.2.1,2022-06-14 21:52:07,34,0.0504,0.8381,0.148,0.5404,1525,29
RSC-2022-00020,v2.1.4,2022-09-11 16:27:44,38,0.0168,0.8059,0.1572,0.4886,1066,83
RSC-2022-00021,v2.2.1,2022-10-22 14:43:34,44,0.034,0.8145,0.1477,0.5221,1046,27
RSC-2022-00022,v2.1.3,2022-03-25 19:42:40,45,0.0512,0.8113,0.1326,0.5164,1100,106
RSC-2022-00023,v2.1.4,2022-12-30 00:54:52,40,0.1096,0.7911,0.1439,0.5284,926,42
RSC-2022-00024,v2.1.4,2022-11-23 03:57:12,57,0.0146,0.8446,0.1477,0.5169,914,48
