graduate_id,cate_match_hat,cate_quality_hat,cate_stab_hat,se_stab
G2018000000,9.4093,0.10203,0.12892,0.033
G2018000001,8.4148,0.08685,0.12292,0.0306
G2018000002,9.4816,0.10635,0.15512,0.02769
G2018000003,9.9346,0.11228,0.14662,0.02136
G2018000004,5.3608,0.06748,0.08737,0.02816
G2018000005,8.3727,0.08879,0.13341,0.02784
G2018000006,5.7465,0.05461,0.08677,0.02144
G2018000007,5.9436,0.06646,0.08989,0.02578
G2018000008,5.9958,0.0573,0.08294,0.02625
G2018000009,8.1306,0.08066,0.12477,0.03346
G2018000010,4.9395,0.05665,0.10434,0.01881
G2018000011,5.3874,0.06858,0.09526,0.02924
G2018000012,5.0439,0.06129,0.08342,0.02577
G2018000013,6.5489,0.05554,0.09448,0.03033
G2018000014,6.4333,0.05879,0.07757,0.02593
G2018000015,7.6063,0.09103,0.15216,0.02745
G2018000016,9.6999,0.10049,0.14968,0.02066
G2018000017,9.5694,0.11644,0.15416,0.02697
G2018000018,10.4366,0.09996,0.13462,0.02352
G2018000019,5.8449,0.06483,0.07126,0.02719
G2018000020,8.4813,0.07032,0.12231,0.02138
G2018000021,9.5078,0.1022,0.14588,0.03205
G2018000022,5.4928,0.05665,0.07794,0.03016
G2018000023,8.4949,0.07942,0.13851,0.03384
G2018000024,5.7563,0.06176,0.09181,0.02468
G2018000025,4.9364,0.04724,0.09009,0.03291
G2018000026,5.8157,0.06001,0.09588,0.02129
G2018000027,9.3603,0.11119,0.15674,0.02151
G2018000028,5.2846,0.08131,0.09885,0.03147
G2018000029,6.4439,0.07766,0.08049,0.03567
G2018000030,5.3167,0.06014,0.06677,0.03225
G2018000031,5.3282,0.05897,0.09021,0.02213
G2018000032,9.8435,0.10288,0.12661,0.0219
G2018000033,5.3663,0.06645,0.0933,0.02438
G2018000034,11.9656,0.14201,0.17581,0.02643
G2018000035,5.8939,0.07355,0.08442,0.02635
G2018000036,9.7998,0.11014,0.13634,0.02849
G2018000037,8.0881,0.08402,0.14335,0.02511
G2018000038,5.3331,0.04459,0.09403,0.02121
G2018000039,5.304,0.08409,0.06256,0.02969
G2018000040,5.4298,0.05622,0.09915,0.029
G2018000041,5.7997,0.06586,0.08105,0.03291
G2018000042,5.7821,0.06336,0.09556,0.03093
G2018000043,6.0385,0.05575,0.07889,0.02227
G2018000044,6.1013,0.06031,0.0847,0.02306
G2018000045,5.2141,0.06911,0.10866,0.02408
G2018000046,9.8551,0.10519,0.1681,0.0319
G2018000047,4.5855,0.06009,0.08266,0.02573
G2018000048,5.7671,0.04478,0.07741,0.02731
G2018000049,6.9442,0.05423,0.06595,0.02952
G2018000050,5.2842,0.07114,0.08739,0.03074
G2018000051,9.2221,0.10019,0.15184,0.03399
G2018000052,10.0121,0.08657,0.14814,0.03594
G2018000053,12.0938,0.13935,0.18682,0.02319
G2018000054,9.7486,0.10491,0.13776,0.0358
G2018000055,6.2894,0.05781,0.07862,0.02281
G2018000056,8.7086,0.10793,0.14594,0.03301
G2018000057,6.1519,0.04953,0.1006,0.03492
G2018000058,7.871,0.09182,0.10581,0.03098
G2018000059,8.6025,0.09491,0.12725,0.02845
G2018000060,5.6959,0.05652,0.09265,0.03407
G2018000061,5.2206,0.04509,0.07593,0.03154
G2018000062,10.3227,0.10489,0.15074,0.01809
G2018000063,10.0739,0.10035,0.13874,0.02144
G2018000064,5.69,0.05342,0.06061,0.02398
G2018000065,12.197,0.12596,0.18929,0.02671
G2018000066,5.777,0.0541,0.07853,0.0214
G2018000067,5.1507,0.06563,0.08629,0.03447
G2018000068,5.3514,0.06561,0.0784,0.03222
G2018000069,4.9185,0.06227,0.10215,0.0209
G2018000070,7.8123,0.09322,0.13439,0.02033
G2018000071,6.4084,0.054,0.10267,0.02997
G2018000072,5.5835,0.06684,0.08052,0.02568
G2018000073,5.5106,0.05206,0.10897,0.02634
G2018000074,9.8757,0.11955,0.13309,0.03232
G2018000075,6.2306,0.05179,0.09434,0.01899
G2018000076,9.7922,0.10103,0.14918,0.0278
G2018000077,9.0525,0.08372,0.10762,0.01837
G2018000078,5.4376,0.07884,0.08408,0.0254
G2018000079,9.3935,0.10522,0.15021,0.03377
G2018000080,11.6792,0.13291,0.20054,0.01978
G2018000081,5.8903,0.05489,0.06248,0.03167
G2018000082,5.5199,0.05708,0.083,0.03423
G2018000083,5.1553,0.06523,0.09069,0.02112
G2018000084,5.429,0.07974,0.10192,0.03173
G2018000085,10.0677,0.10383,0.15524,0.02214
G2018000086,5.5439,0.06991,0.09802,0.03324
G2018000087,5.9087,0.07336,0.07758,0.02603
G2018000088,8.4714,0.08482,0.1296,0.03045
G2018000089,7.6835,0.07696,0.13562,0.03486
G2018000090,6.226,0.07281,0.08403,0.03129
G2018000091,8.3362,0.06798,0.1279,0.02108
G2018000092,5.6349,0.05721,0.07809,0.02492
G2018000093,5.8651,0.06263,0.07579,0.03145
G2018000094,12.7881,0.12143,0.16877,0.03226
G2018000095,5.2345,0.05999,0.08486,0.0256
G2018000096,9.7999,0.10834,0.16432,0.03582
G2018000097,4.2172,0.05265,0.07221,0.03315
G2018000098,8.4709,0.08211,0.11928,0.03426
G2018000099,6.4666,0.06846,0.07266,0.03173
G2018000100,9.1988,0.10453,0.14643,0.02491
G2018000101,9.3763,0.11302,0.15265,0.02642
G2018000102,8.0702,0.07661,0.1383,0.01904
G2018000103,9.3326,0.10043,0.12725,0.03062
G2018000104,5.9398,0.06209,0.08015,0.02703
G2018000105,12.321,0.14331,0.1733,0.01852
G2018000106,4.6864,0.06554,0.10359,0.02417
G2018000107,5.2477,0.05722,0.08218,0.02822
G2018000108,9.1928,0.09172,0.1434,0.02069
G2018000109,10.6001,0.10055,0.14145,0.02942
G2018000110,5.7683,0.07196,0.07996,0.03457
G2018000111,9.8682,0.09523,0.15639,0.03275
G2018000112,11.6533,0.13581,0.19934,0.02233
G2018000113,4.6923,0.0726,0.07428,0.02286
G2018000114,5.9621,0.07081,0.08757,0.0242
G2018000115,9.9477,0.10292,0.14439,0.03113
G2018000116,6.0065,0.05819,0.10394,0.02745
G2018000117,5.9103,0.07316,0.09896,0.02818
G2018000118,9.0164,0.09569,0.14372,0.02421
G2018000119,5.695,0.05365,0.08111,0.02234
G2018000120,6.0156,0.06207,0.10429,0.02793
G2018000121,5.2963,0.06413,0.084,0.02605
G2018000122,8.022,0.09005,0.11928,0.01972
G2018000123,5.4786,0.05893,0.08513,0.03088
G2018000124,4.9614,0.08288,0.07921,0.02069
G2018000125,7.7265,0.0944,0.10948,0.01858
G2018000126,5.4001,0.07727,0.06889,0.03548
G2018000127,5.4976,0.0581,0.09138,0.02438
G2018000128,5.2961,0.05029,0.0816,0.02719
G2018000129,9.1435,0.11646,0.14964,0.01815
G2018000130,5.416,0.03361,0.05843,0.0319
G2018000131,9.9257,0.1063,0.14291,0.01917
G2018000132,11.4719,0.12282,0.17166,0.02175
G2018000133,5.915,0.05992,0.08408,0.02746
G2018000134,7.972,0.08983,0.12673,0.02443
G2018000135,11.0256,0.10999,0.16315,0.02454
G2018000136,13.0269,0.12344,0.1622,0.02162
G2018000137,5.6398,0.06522,0.10046,0.02751
G2018000138,6.1581,0.05769,0.08177,0.03114
G2018000139,7.5532,0.07939,0.1394,0.01818
G2018000140,9.5281,0.10042,0.16253,0.02282
G2018000141,5.3803,0.05508,0.08156,0.02328
G2018000142,6.0414,0.06704,0.07862,0.02293
G2018000143,6.116,0.07371,0.09512,0.01894
G2018000144,7.5247,0.08648,0.14217,0.02321
G2018000145,5.533,0.07814,0.08554,0.0259
G2018000146,6.0569,0.0611,0.08937,0.02738
G2018000147,5.648,0.05649,0.09385,0.02269
G2018000148,5.9438,0.06373,0.0911,0.0192
G2018000149,4.9009,0.04824,0.07537,0.03528
G2018000150,5.0737,0.06678,0.0833,0.01851
G2018000151,5.9473,0.04478,0.09055,0.03405
G2018000152,8.1392,0.10064,0.11583,0.02498
G2018000153,5.6014,0.07715,0.0909,0.02497
G2018000154,6.119,0.07033,0.08984,0.0267
G2018000155,7.661,0.08294,0.12404,0.0339
G2018000156,6.2989,0.07765,0.07214,0.02821
G2018000157,11.227,0.13105,0.2066,0.03288
G2018000158,7.1447,0.09818,0.11775,0.028
G2018000159,13.0414,0.12752,0.18311,0.02904
G2018000160,9.5391,0.09422,0.12501,0.02197
G2018000161,9.979,0.11279,0.15378,0.02781
G2018000162,5.1403,0.06936,0.06891,0.03567
G2018000163,4.7158,0.04527,0.0836,0.02976
G2018000164,7.9979,0.08894,0.12125,0.03589
G2018000165,5.9566,0.06692,0.10091,0.0191
G2018000166,10.1453,0.11402,0.14467,0.03217
G2018000167,9.3775,0.10147,0.15114,0.03345
G2018000168,5.9624,0.07052,0.09244,0.03302
G2018000169,10.5192,0.10764,0.1451,0.02926
G2018000170,6.2866,0.06346,0.08004,0.01846
G2018000171,13.0773,0.143,0.19806,0.0315
G2018000172,10.2226,0.12869,0.15053,0.02867
G2018000173,8.191,0.08982,0.11949,0.01939
G2018000174,5.6896,0.07547,0.08633,0.02929
G2018000175,5.4677,0.06295,0.07102,0.02566
G2018000176,6.182,0.04222,0.09761,0.01861
G2018000177,9.1289,0.10176,0.13814,0.03506
G2018000178,10.1595,0.10217,0.12254,0.03427
G2018000179,11.7479,0.14132,0.17379,0.02367
G2018000180,5.9945,0.04556,0.0762,0.02069
G2018000181,5.3811,0.06192,0.11405,0.03264
G2018000182,8.1632,0.08017,0.11024,0.03223
G2018000183,9.829,0.10481,0.13557,0.02612
G2018000184,8.9424,0.0976,0.13798,0.02449
G2018000185,6.4689,0.0552,0.11562,0.02927
G2018000186,5.6442,0.05643,0.07392,0.02963
G2018000187,5.9169,0.06794,0.10437,0.03246
G2018000188,9.3255,0.1041,0.14741,0.02116
G2018000189,7.413,0.07885,0.11396,0.02168
G2018000190,6.0936,0.07274,0.08664,0.03235
G2018000191,9.3584,0.09936,0.15851,0.0328
G2018000192,5.7878,0.06242,0.07972,0.03272
G2018000193,5.4876,0.06538,0.08365,0.01835
G2018000194,5.6251,0.05005,0.07449,0.03233
G2018000195,10.1031,0.10501,0.14368,0.02554
G2018000196,4.338,0.0618,0.08072,0.02021
G2018000197,5.6935,0.04751,0.08559,0.03583
G2018000198,9.0368,0.0724,0.12579,0.03157
G2018000199,6.496,0.05521,0.09172,0.02304
G2018000200,9.6115,0.11478,0.16049,0.03122
G2018000201,5.275,0.06215,0.06988,0.02202
G2018000202,5.3613,0.05176,0.07189,0.01908
G2018000203,9.9181,0.0903,0.15034,0.03536
G2018000204,5.1344,0.0637,0.08025,0.02643
G2018000205,9.7619,0.11929,0.14219,0.01864
G2018000206,10.2037,0.09688,0.14587,0.02881
G2018000207,10.2476,0.09908,0.15011,0.03089
G2018000208,4.8893,0.05854,0.07414,0.03198
G2018000209,8.1686,0.08418,0.13729,0.03498
G2018000210,8.7233,0.11486,0.16965,0.02377
G2018000211,9.0432,0.11364,0.14236,0.02168
G2018000212,6.325,0.06643,0.0876,0.02837
G2018000213,5.5563,0.05133,0.07555,0.03038
G2018000214,5.6567,0.0586,0.08071,0.03047
G2018000215,8.1534,0.08241,0.14392,0.02709
G2018000216,10.3029,0.09089,0.16024,0.03197
G2018000217,12.4294,0.13518,0.17811,0.03533
G2018000218,5.4188,0.05881,0.09046,0.02452
G2018000219,10.3665,0.09272,0.15136,0.03311
G2018000220,9.0442,0.07326,0.12628,0.02667
G2018000221,6.0395,0.06687,0.10004,0.01953
G2018000222,11.5487,0.13541,0.16345,0.02705
G2018000223,5.7016,0.05026,0.07007,0.03118
G2018000224,6.1971,0.05915,0.08022,0.02164
G2018000225,9.2327,0.12121,0.15567,0.02241
G2018000226,5.3871,0.07211,0.09247,0.02046
G2018000227,10.3183,0.10925,0.15081,0.03129
G2018000228,12.9961,0.13371,0.17933,0.01916
G2018000229,8.5725,0.10224,0.11566,0.02375
G2018000230,4.7096,0.07454,0.08944,0.01806
G2018000231,7.8312,0.08418,0.11749,0.03182
G2018000232,8.6678,0.08512,0.14913,0.01927
G2018000233,10.522,0.09346,0.14842,0.03278
G2018000234,9.3717,0.09928,0.14099,0.02932
G2018000235,8.0749,0.09418,0.10785,0.02716
G2018000236,7.5125,0.08909,0.11419,0.02348
G2018000237,6.1667,0.06965,0.0637,0.01912
G2018000238,4.6005,0.07132,0.09829,0.02718
G2018000239,9.594,0.10011,0.11936,0.02637
G2018000240,5.4589,0.06229,0.08216,0.02813
G2018000241,9.9008,0.10283,0.12744,0.02641
G2018000242,9.2433,0.08007,0.13345,0.02377
