graduate_id,pi_lambda_0,pi_lambda_05,pi_lambda_1,pi_lambda_2,leaf_id
G2018000000,0,0,1,1,9
G2018000001,1,1,0,0,15
G2018000002,1,1,0,0,12
G2018000003,0,1,1,1,3
G2018000004,1,0,0,0,2
G2018000005,1,1,0,0,2
G2018000006,1,1,1,0,14
G2018000007,0,0,0,1,10
G2018000008,0,1,0,0,13
G2018000009,0,1,1,0,10
G2018000010,0,1,1,1,1
G2018000011,0,1,0,1,2
G2018000012,0,0,0,0,1
G2018000013,1,0,0,0,3
G2018000014,0,0,0,1,8
G2018000015,1,0,1,0,7
G2018000016,0,0,0,0,12
G2018000017,1,0,1,0,8
G2018000018,1,0,0,0,10
G2018000019,1,0,0,1,12
G2018000020,1,1,0,0,15
G2018000021,0,1,0,0,1
G2018000022,0,0,0,1,9
G2018000023,0,0,1,0,4
G2018000024,1,0,0,0,8
G2018000025,0,0,0,0,6
G2018000026,0,1,1,1,10
G2018000027,1,0,0,1,13
G2018000028,1,0,0,1,13
G2018000029,0,1,0,0,10
G2018000030,1,1,1,0,6
G2018000031,1,0,0,1,12
G2018000032,1,0,0,0,10
G2018000033,1,0,0,0,12
G2018000034,1,1,1,1,2
G2018000035,0,1,1,1,3
G2018000036,1,0,1,1,12
G2018000037,0,1,0,1,1
G2018000038,0,1,0,0,15
G2018000039,0,0,0,0,1
G2018000040,0,0,0,0,6
G2018000041,1,1,1,1,11
G2018000042,0,0,1,0,11
G2018000043,1,0,1,0,11
G2018000044,1,1,1,0,7
G2018000045,1,0,1,1,6
G2018000046,0,1,0,0,7
G2018000047,0,0,0,0,3
G2018000048,1,0,0,0,2
G2018000049,1,1,0,1,1
G2018000050,0,0,0,1,13
G2018000051,1,0,1,0,10
G2018000052,0,1,0,0,3
G2018000053,0,0,0,1,12
G2018000054,0,0,0,0,12
G2018000055,0,0,0,0,11
G2018000056,1,1,1,0,5
G2018000057,1,0,0,1,1
G2018000058,0,1,0,0,10
G2018000059,1,0,0,0,4
G2018000060,0,0,0,0,5
G2018000061,1,0,0,1,5
G2018000062,0,1,0,0,15
G2018000063,0,1,0,0,14
G2018000064,1,1,0,0,11
G2018000065,0,1,0,1,5
G2018000066,0,1,0,1,8
G2018000067,0,0,1,1,8
G2018000068,0,1,0,0,13
G2018000069,1,1,1,0,3
G2018000070,0,1,1,0,1
G2018000071,0,1,0,1,13
G2018000072,0,0,1,0,8
G2018000073,0,0,1,0,7
G2018000074,0,0,1,1,6
G2018000075,0,0,0,0,2
G2018000076,0,0,1,0,8
G2018000077,1,0,0,1,4
G2018000078,0,0,0,0,14
G2018000079,1,1,1,0,9
G2018000080,1,0,1,0,2
G2018000081,0,0,0,1,12
G2018000082,1,0,0,1,4
G2018000083,0,0,0,0,2
G2018000084,0,0,0,0,8
G2018000085,1,1,1,0,2
G2018000086,1,1,0,1,5
G2018000087,1,0,0,0,7
G2018000088,0,1,0,1,6
G2018000089,0,0,1,1,15
G2018000090,0,1,0,0,15
G2018000091,0,0,0,0,7
G2018000092,1,0,0,1,14
G2018000093,1,1,1,1,7
G2018000094,1,0,1,1,10
G2018000095,0,0,1,0,6
G2018000096,1,0,1,1,4
G2018000097,1,1,1,1,14
G2018000098,0,1,0,1,7
G2018000099,0,0,1,1,5
G2018000100,0,0,1,0,4
G2018000101,0,1,0,0,13
G2018000102,0,0,0,1,7
G2018000103,1,1,1,1,13
G2018000104,0,0,1,0,14
G2018000105,1,1,0,0,13
G2018000106,0,0,0,0,7
G2018000107,1,1,0,1,7
G2018000108,0,1,0,0,4
G2018000109,0,0,0,0,2
G2018000110,1,0,0,0,2
G2018000111,1,1,1,1,13
G2018000112,1,0,0,0,10
G2018000113,0,0,0,1,15
G2018000114,1,0,1,0,14
G2018000115,1,0,0,1,4
G2018000116,0,0,0,0,9
G2018000117,1,0,0,1,7
G2018000118,0,0,0,0,3
G2018000119,0,0,0,1,4
G2018000120,0,1,1,0,7
G2018000121,0,1,1,0,4
G2018000122,0,1,0,0,14
G2018000123,1,0,1,1,4
G2018000124,0,0,0,0,13
G2018000125,1,0,0,1,10
G2018000126,1,0,0,0,9
G2018000127,0,0,0,0,2
G2018000128,1,1,0,0,1
G2018000129,1,1,0,0,5
G2018000130,0,1,0,1,11
G2018000131,0,0,1,0,5
G2018000132,0,1,0,0,4
G2018000133,1,0,0,1,8
G2018000134,0,0,0,0,11
G2018000135,1,0,0,0,9
G2018000136,1,1,1,1,2
G2018000137,0,1,0,1,11
G2018000138,0,0,0,0,4
G2018000139,0,1,0,1,6
G2018000140,0,0,1,0,9
G2018000141,1,1,1,0,1
G2018000142,0,1,1,0,11
G2018000143,1,0,0,1,3
G2018000144,1,1,0,0,15
G2018000145,0,1,0,0,3
