rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
1,4027809,5000,0.17559,0.03245,7.1933,0.5302,0.12522,0.04275,13.522,19.157,0.4474,triangular,baseline,1
2,8950125,5000,0.20156,0.03708,7.4859,0.513,0.14972,0.03841,11.936,19.418,0.4786,triangular,baseline,1
3,8933248,5000,0.19022,0.03454,6.7257,0.5393,0.11213,0.04102,12.418,16.77,0.4315,triangular,baseline,1
4,3438705,5000,0.1756,0.03068,6.9138,0.5191,0.12841,0.04078,13.229,16.866,0.4464,triangular,baseline,1
5,8582338,4999,0.20138,0.03136,5.8919,0.5775,0.1428,0.04331,11.549,18.333,0.4757,triangular,baseline,1
6,7444504,4999,0.27814,0.0371,6.6183,0.5593,0.13537,0.03916,13.06,16.057,0.4472,triangular,baseline,0
7,5755437,4998,0.13227,0.03304,5.9134,0.5325,0.179,0.03833,14.154,17.454,0.4317,triangular,baseline,1
8,7535460,5001,0.14725,0.03901,7.3362,0.5745,0.15162,0.04274,12.243,17.889,0.4802,triangular,baseline,1
9,6896594,5000,0.14741,0.03288,7.7796,0.5229,0.13984,0.04094,12.485,19.133,0.4531,triangular,baseline,1
10,8782305,4998,0.16465,0.03315,6.7214,0.5714,0.21544,0.0432,13.975,16.567,0.4699,triangular,baseline,1
11,3476594,5000,0.14854,0.03487,6.8103,0.5897,0.2087,0.04429,11.828,16.544,0.4782,triangular,baseline,1
12,695948,5000,0.08715,0.03516,5.8728,0.6278,0.11674,0.04125,14.313,19.313,0.4347,triangular,baseline,0
13,4093767,5000,0.18326,0.03776,7.3254,0.5139,0.15814,0.04498,14.258,19.039,0.4399,triangular,baseline,1
14,2857790,4998,0.14268,0.03953,6.7369,0.5873,0.12133,0.04561,14.33,17.94,0.4585,triangular,baseline,1
15,4384779,5000,0.10249,0.03883,6.7637,0.6319,0.08105,0.0426,12.966,19.083,0.4253,triangular,baseline,1
16,8276079,4998,0.12026,0.03143,7.1338,0.5805,0.16728,0.04311,12.625,19.49,0.4572,triangular,baseline,1
17,8690218,4999,0.12344,0.03762,6.7649,0.567,0.14447,0.04234,14.28,18.395,0.4447,triangular,baseline,1
18,6083150,4998,0.11723,0.03753,7.2966,0.5291,0.21455,0.03857,11.748,16.169,0.4341,triangular,baseline,1
19,5721060,4998,0.14901,0.03968,7.1494,0.6141,0.15472,0.04503,14.198,18.688,0.4209,triangular,baseline,1
20,2573138,5000,0.20619,0.03451,7.0569,0.6112,0.17856,0.04247,13.461,18.84,0.4545,triangular,baseline,1
21,136270,5000,0.17782,0.03031,7.5701,0.5175,0.16458,0.04002,13.794,17.961,0.4354,triangular,baseline,1
22,3506497,5000,0.15116,0.03403,7.0959,0.6251,0.1465,0.04217,12.163,19.303,0.4636,triangular,baseline,1
23,4089437,5000,0.218,0.03045,6.3326,0.5771,0.15769,0.04547,11.732,18.806,0.462,triangular,baseline,1
24,2072745,5000,0.14425,0.03971,7.7212,0.6463,0.15009,0.04209,12.935,18.469,0.423,triangular,baseline,1
25,7153748,5000,0.14834,0.03888,7.4685,0.6409,0.148,0.04256,14.483,17.576,0.4468,triangular,baseline,1
26,1503483,5001,0.13539,0.03496,7.2554,0.5878,0.16617,0.04405,12.704,18.445,0.4221,triangular,baseline,1
27,4318323,5000,0.15713,0.03814,6.5497,0.5184,0.17021,0.03884,11.668,16.174,0.4717,triangular,baseline,1
28,1381774,5000,0.18476,0.04094,6.6673,0.6418,0.15042,0.04595,12.411,16.415,0.4442,triangular,baseline,1
29,3129528,4998,0.11143,0.03253,7.1198,0.6148,0.10744,0.04374,12.585,16.267,0.4368,triangular,baseline,1
30,8766851,5000,0.13865,0.03957,7.4087,0.6326,0.16223,0.04539,13.953,16.611,0.4689,triangular,baseline,1
31,6018659,4998,0.24181,0.03352,6.2806,0.5093,0.14532,0.04287,13.635,16.403,0.4497,triangular,baseline,0
32,3815638,5001,0.1284,0.03505,8.295,0.616,0.15586,0.04436,14.275,19.431,0.4879,triangular,baseline,1
33,1979112,5000,0.17589,0.03975,6.7393,0.6281,0.23411,0.04309,14.032,18.109,0.4573,triangular,baseline,1
34,569231,5000,0.15853,0.0341,7.368,0.5994,0.14969,0.04566,12.525,16.96,0.4779,triangular,baseline,1
