rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
1,4553270,5000,0.16188,0.03152,6.8227,0.6258,0.13199,0.03958,12.538,16.695,0.4521,triangular,rho07,1
2,8785644,4999,0.14178,0.03196,7.4579,0.6252,0.14832,0.04058,11.737,18.775,0.4308,triangular,rho07,1
3,5381339,4999,0.15176,0.03612,7.109,0.5478,0.1741,0.04033,12.677,18.056,0.4457,triangular,rho07,1
4,1325949,5000,0.12223,0.03738,7.9671,0.5021,0.1603,0.03991,13.282,19.031,0.4042,triangular,rho07,1
5,1672629,4998,0.19334,0.0409,6.531,0.5679,0.17063,0.04141,12.88,16.86,0.4227,triangular,rho07,1
6,494546,5000,0.12943,0.03034,7.7909,0.5492,0.17336,0.04313,12.693,16.641,0.3978,triangular,rho07,1
7,3821345,5000,0.20012,0.03429,6.9083,0.6491,0.09696,0.03924,13.248,18.086,0.4206,triangular,rho07,1
8,4337846,4998,0.2019,0.03482,7.3555,0.5948,0.18914,0.03871,12.329,19.169,0.4327,triangular,rho07,1
9,65414,5001,0.1757,0.03934,7.1227,0.5575,0.19057,0.04344,14.074,18.232,0.4581,triangular,rho07,1
10,4450439,5000,0.18338,0.03921,7.3343,0.5713,0.16481,0.04049,12.137,19.261,0.4543,triangular,rho07,1
11,945801,5001,0.14081,0.03104,7.6783,0.5053,0.18817,0.04105,13.597,18.558,0.4173,triangular,rho07,1
12,7509599,4999,0.24302,0.03581,6.8521,0.529,0.18788,0.03978,13.37,18.835,0.4374,triangular,rho07,0
13,6688119,4998,0.18742,0.0375,6.8028,0.6067,0.15282,0.04082,14.33,17.557,0.4463,triangular,rho07,1
14,4233607,5001,0.16282,0.037,6.9978,0.639,0.20501,0.04405,14.372,17.18,0.4466,triangular,rho07,1
15,7519838,5001,0.15107,0.03239,6.9939,0.5183,0.17066,0.04073,14.306,16.379,0.4973,triangular,rho07,1
16,3413021,4999,0.14986,0.04078,7.4885,0.6468,0.22396,0.04261,13.506,18.6,0.4723,triangular,rho07,1
17,1124013,5000,0.19098,0.03575,7.3167,0.5095,0.13955,0.04161,12.576,19.386,0.4403,triangular,rho07,1
18,7189550,4998,0.16241,0.03029,6.3973,0.5712,0.17485,0.04116,11.985,19.163,0.4316,triangular,rho07,1
