rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
1,5087919,4999,0.15053,0.03213,6.2301,0.5775,0.19329,0.03919,14.154,17.737,0.4518,triangular,p20,1
2,8783912,5000,0.20374,0.03007,7.7951,0.6019,0.14679,0.04007,12.334,17.015,0.4665,triangular,p20,1
3,5360359,5001,0.14828,0.03302,6.7727,0.5576,0.18099,0.03896,14.338,18.381,0.4711,triangular,p20,1
4,3463034,4998,0.14498,0.03774,7.0957,0.6382,0.20024,0.04514,12.298,17.308,0.4662,triangular,p20,1
5,7867671,4999,0.17878,0.0362,7.3439,0.5339,0.24709,0.03965,11.839,19.359,0.4504,triangular,p20,1
6,1146988,5000,0.27267,0.037,6.746,0.5985,0.21262,0.04481,14.365,17.759,0.4352,triangular,p20,0
7,3183906,5000,0.18862,0.03293,7.6468,0.6494,0.20944,0.04492,12.367,18.685,0.4233,triangular,p20,1
8,6193820,5001,0.15927,0.03448,7.2645,0.6434,0.18878,0.04073,13.624,18.148,0.4589,triangular,p20,1
9,8840399,5000,0.21831,0.0348,7.1536,0.5966,0.10397,0.04254,14.089,16.491,0.4933,triangular,p20,1
10,2401702,5000,0.2227,0.03537,7.079,0.5914,0.20569,0.04167,12.976,17.536,0.4312,triangular,p20,1
11,376540,4998,0.23407,0.03904,7.1851,0.5552,0.2011,0.04568,12.197,16.119,0.4086,triangular,p20,1
12,7723270,5000,0.09489,0.04065,6.1454,0.5746,0.09086,0.04415,12.894,16.449,0.46,triangular,p20,1
13,3356495,5001,0.20531,0.03403,8.0586,0.5226,0.16842,0.04165,14.263,17.579,0.4892,triangular,p20,1
14,538527,5000,0.10477,0.03206,7.3446,0.5325,0.16695,0.04397,13.228,18.314,0.4669,triangular,p20,1
15,7029156,5001,0.2406,0.03502,7.0423,0.6383,0.21323,0.03848,13.298,16.41,0.4964,triangular,p20,0
16,84109,5001,0.12169,0.03039,7.2769,0.5586,0.13035,0.04153,12.878,18.531,0.4411,triangular,p20,1
17,6529399,5000,0.1787,0.0395,7.2209,0.5553,0.13315,0.04519,13.395,17.532,0.4396,triangular,p20,1
18,84693,5001,0.17301,0.03561,7.3818,0.5589,0.14918,0.03807,11.64,16.909,0.4506,triangular,p20,1
19,2170392,5000,0.18166,0.03403,6.4962,0.5585,0.20497,0.0426,14.491,18.816,0.4583,triangular,p20,1
20,3902945,5001,0.12016,0.03258,7.5108,0.5583,0.28234,0.04085,14.14,17.554,0.4332,triangular,p20,1
21,181832,5000,0.19473,0.03998,6.6792,0.5852,0.18127,0.04308,12.443,17.502,0.3988,triangular,p20,1
22,4646677,4999,0.14319,0.03451,6.7286,0.6082,0.16682,0.03959,11.863,18.731,0.4535,triangular,p20,1
23,462082,4998,0.11207,0.03067,6.4063,0.5925,0.14042,0.03927,13.703,17.116,0.4237,triangular,p20,1
24,7709158,5001,0.15047,0.03634,7.8779,0.5978,0.20976,0.04252,13.664,18.266,0.4216,triangular,p20,1
25,8594449,5000,0.13455,0.04074,7.0591,0.645,0.18261,0.03933,12.873,16.703,0.4147,triangular,p20,1
26,5756222,5001,0.11271,0.03598,7.3185,0.532,0.13857,0.03947,12.434,16.238,0.46,triangular,p20,1
27,4452512,5000,0.16207,0.03622,5.8632,0.6308,0.1392,0.04106,11.679,18.599,0.4527,triangular,p20,1
28,5870624,5000,0.16999,0.03727,6.8748,0.6111,0.06545,0.04599,11.749,16.57,0.4883,triangular,p20,1
29,5479110,5000,0.12911,0.04047,7.3311,0.5666,0.18746,0.04094,12.87,17.473,0.4661,triangular,p20,1
30,4316507,5000,0.20122,0.03992,7.035,0.5042,0.24702,0.04087,12.552,16.787,0.4232,triangular,p20,1
