rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
1,6807712,5000,0.143,0.04018,7.3626,0.647,0.17955,0.03885,13.937,17.961,0.4633,triangular,strong_het,1
2,6901742,5000,0.15618,0.03471,7.6705,0.5698,0.15288,0.04181,11.863,18.465,0.4442,triangular,strong_het,1
3,4280097,5001,0.11094,0.04082,6.1435,0.5354,0.14747,0.04429,13.461,17.005,0.465,triangular,strong_het,1
4,1733081,5000,0.15787,0.03748,6.0618,0.6289,0.14661,0.04295,13.609,18.129,0.4325,triangular,strong_het,1
5,8158854,5000,0.17442,0.03452,7.6867,0.5505,0.07337,0.04174,13.431,17.692,0.4574,triangular,strong_het,1
6,2736827,5001,0.18033,0.03794,6.7934,0.6239,0.13135,0.04324,13.494,17.486,0.4004,triangular,strong_het,1
7,3548394,4998,0.2013,0.03477,6.3981,0.5966,0.21503,0.04289,13.21,18.454,0.4968,triangular,strong_het,1
8,3921451,5000,0.22229,0.03419,6.6358,0.5674,0.13422,0.04352,14.069,17.933,0.4571,triangular,strong_het,1
9,4038207,4999,0.22502,0.03853,6.2764,0.6422,0.18087,0.04276,13.127,18.203,0.4487,triangular,strong_het,1
10,3422446,5000,0.16168,0.03262,5.9419,0.609,0.16317,0.04009,13.207,16.781,0.4433,triangular,strong_het,1
11,3350730,4999,0.14023,0.03702,7.0177,0.6303,0.2355,0.04143,11.71,19.473,0.4533,triangular,strong_het,1
12,6627435,5000,0.13767,0.03227,5.8729,0.5381,0.13989,0.04459,13.663,17.659,0.4329,triangular,strong_het,1
13,5006029,4998,0.17185,0.03469,7.4871,0.5436,0.12711,0.04277,12.444,18.082,0.4548,triangular,strong_het,1
14,134021,4999,0.20554,0.03424,6.6351,0.5333,0.1413,0.04513,12.671,18.325,0.4879,triangular,strong_het,1
15,566743,5000,0.09939,0.03106,6.9115,0.5737,0.20718,0.04087,14.491,16.932,0.3915,triangular,strong_het,1
16,7979172,5000,0.19068,0.03044,7.4198,0.6394,0.17757,0.03959,12.966,17.622,0.4596,triangular,strong_het,1
17,3961493,5001,0.17486,0.03973,8.3585,0.5084,0.18963,0.0433,12.46,18.035,0.4525,triangular,strong_het,1
18,5095303,5000,0.12352,0.03401,6.6449,0.6342,0.16073,0.03965,13.291,18.93,0.4638,triangular,strong_het,1
19,6954459,5001,0.13553,0.03494,7.1918,0.5991,0.12431,0.04547,12.433,18.872,0.4644,triangular,strong_het,1
20,3977903,5001,0.15214,0.03515,6.6875,0.6152,0.1278,0.04437,12.451,16.499,0.4383,triangular,strong_het,1
21,5877384,4999,0.19839,0.0362,6.6332,0.6186,0.27411,0.04028,12.128,16.248,0.4454,triangular,strong_het,1
22,3655752,4998,0.17836,0.04077,7.3414,0.6124,0.14158,0.0458,13.316,19.136,0.4634,triangular,strong_het,1
23,8374819,4998,0.16204,0.03013,7.2993,0.5372,0.10608,0.04204,11.948,16.245,0.4616,triangular,strong_het,1
24,525363,5000,0.13415,0.03879,6.6939,0.5424,0.14154,0.03962,12.654,17.161,0.4733,triangular,strong_het,1
25,1731250,5001,0.15571,0.03481,7.485,0.6411,0.19367,0.04274,13.746,19.484,0.4575,triangular,strong_het,1
26,6759628,5001,0.187,0.03334,6.615,0.6404,0.1789,0.04178,14.139,17.368,0.4409,triangular,strong_het,1
27,612853,4999,0.12403,0.03133,7.2567,0.5022,0.20957,0.0422,12.214,19.278,0.4231,triangular,strong_het,1
28,191136,4998,0.1395,0.03086,7.7309,0.5269,0.29037,0.04425,14.013,17.61,0.4833,triangular,strong_het,1
29,3124301,5000,0.20731,0.03917,7.0295,0.5856,0.19017,0.03956,11.734,17.216,0.4398,triangular,strong_het,1
30,2969853,5000,0.17978,0.03734,8.579,0.6004,0.20958,0.04195,11.856,16.846,0.4463,triangular,strong_het,1
31,2868835,4999,0.15893,0.0353,6.5878,0.6028,0.16268,0.04525,12.828,18.337,0.4459,triangular,strong_het,1
32,2863450,5001,0.11928,0.03997,5.674,0.5295,0.16126,0.0404,11.598,19.372,0.444,triangular,strong_het,1
33,4708570,5000,0.20051,0.03893,7.0927,0.5014,0.17929,0.04213,13.279,19.017,0.4365,triangular,strong_het,1
34,3772652,5000,0.10354,0.03129,7.0826,0.5227,0.21389,0.04473,12.561,17.382,0.4422,triangular,strong_het,1
35,744497,5000,0.16945,0.03005,6.5969,0.6309,0.1824,0.04522,11.826,18.463,0.4208,triangular,strong_het,1
36,4328608,4999,0.23325,0.0329,6.0435,0.5317,0.20012,0.03978,11.596,18.782,0.4663,triangular,strong_het,0
37,8600834,5000,0.12101,0.03613,6.8573,0.6011,0.1082,0.04193,13.366,17.223,0.4143,triangular,strong_het,1
38,1693262,5001,0.16892,0.03061,6.3221,0.6159,0.18899,0.04139,13.142,17.743,0.4162,triangular,strong_het,1
39,5773194,4999,0.10863,0.03162,7.7299,0.5083,0.16868,0.03993,14.437,18.149,0.4333,triangular,strong_het,1
40,4194611,5000,0.13451,0.03791,8.0446,0.6201,0.09807,0.04106,12.997,17.718,0.444,triangular,strong_het,1
41,7620617,5000,0.06542,0.03154,7.4813,0.529,0.16869,0.04247,14.001,16.752,0.4302,triangular,strong_het,0
42,4096452,4998,0.13624,0.03879,6.59,0.6062,0.10657,0.04443,13.994,18.856,0.476,triangular,strong_het,1
43,621185,5001,0.15767,0.03214,6.2178,0.5845,0.1663,0.04036,13.962,18.812,0.4356,triangular,strong_het,1
44,5997994,5001,0.19742,0.03082,8.107,0.5792,0.17362,0.04529,13.958,19.165,0.4775,triangular,strong_het,1
45,2118889,4998,0.22647,0.04045,6.9057,0.6176,0.11953,0.03861,12.907,17.632,0.4421,triangular,strong_het,1
46,4645475,5000,0.15858,0.03882,7.7329,0.5715,0.17628,0.04037,11.879,16.719,0.4398,triangular,strong_het,1
47,2157708,4999,0.16053,0.0354,7.4624,0.5747,0.16987,0.04075,12.027,17.906,0.4587,triangular,strong_het,1
