rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
1,7110892,5000,0.16104,0.03561,5.4805,0.6347,0.2027,0.03841,13.865,16.62,0.4352,triangular,t4,1
2,963794,5000,0.12822,0.03362,8.2948,0.5516,0.23092,0.04058,14.074,19.241,0.4506,triangular,t4,1
3,3850232,5001,0.14767,0.03214,6.7471,0.5214,0.13573,0.04119,12.667,19.47,0.4891,triangular,t4,1
4,2058437,5000,0.09904,0.0394,8.0154,0.6035,0.08055,0.04456,11.569,18.02,0.4636,triangular,t4,1
5,4020096,5000,0.19083,0.03534,6.4468,0.6263,0.19699,0.04428,12.619,17.877,0.4417,triangular,t4,1
6,1238755,5000,0.2346,0.03289,7.477,0.5043,0.10129,0.04454,14.339,16.572,0.4676,triangular,t4,0
7,7332444,4999,0.17653,0.03864,7.2011,0.5354,0.10222,0.04183,13.713,19.28,0.458,triangular,t4,1
8,656716,5000,0.18939,0.03751,6.0913,0.6099,0.23837,0.04168,12.629,17.333,0.4133,triangular,t4,1
9,7952335,5000,0.14991,0.03856,7.4854,0.5845,0.18982,0.04551,13.858,16.404,0.4692,triangular,t4,1
10,4487275,5000,0.11283,0.03297,8.3334,0.6108,0.16707,0.04274,13.026,19.282,0.4651,triangular,t4,1
11,8898994,5000,0.17268,0.03977,6.0813,0.6111,0.18501,0.0438,11.993,19.377,0.4688,triangular,t4,1
12,3752389,5000,0.07826,0.03278,6.1132,0.639,0.16677,0.04144,13.413,16.737,0.4438,triangular,t4,0
13,7436968,4999,0.10466,0.03757,7.6714,0.6321,0.14486,0.04501,12.25,19.111,0.4533,triangular,t4,1
14,6141639,5000,0.18834,0.03196,7.845,0.5782,0.2444,0.04474,12.218,18.603,0.4349,triangular,t4,1
15,251653,4999,0.13745,0.03367,6.6024,0.5352,0.19579,0.04079,11.775,17.504,0.4258,triangular,t4,1
16,7268067,5000,0.12461,0.03071,6.8264,0.5499,0.17901,0.04122,12.287,19.236,0.4534,triangular,t4,1
17,7835836,5000,0.13424,0.03854,6.8014,0.608,0.10172,0.04472,13.024,19.235,0.4429,triangular,t4,1
18,3715464,5000,0.23821,0.03623,6.1798,0.5617,0.1304,0.04255,13.58,16.079,0.4595,triangular,t4,0
19,2193120,5001,0.16222,0.03147,7.6667,0.506,0.1441,0.04565,12.114,16.909,0.4618,triangular,t4,1
20,8126562,4999,0.13546,0.03183,7.8992,0.5749,0.13552,0.04279,14.296,17.03,0.4391,triangular,t4,1
21,3927452,5000,0.18069,0.03477,6.6481,0.5026,0.10768,0.03862,11.61,18.43,0.4689,triangular,t4,1
22,5298895,5000,0.14697,0.03734,6.9821,0.5808,0.20874,0.03911,12.334,16.316,0.4535,triangular,t4,1
23,8486726,4999,0.14413,0.03595,6.5972,0.61,0.17474,0.04359,11.858,16.603,0.4761,triangular,t4,1
24,1020224,5000,0.08553,0.03247,6.763,0.5223,0.17049,0.04073,11.711,17.355,0.4353,triangular,t4,0
25,8295293,5000,0.10627,0.03484,7.2508,0.5694,0.154,0.04186,11.501,19.362,0.4643,triangular,t4,1
26,4844910,5000,0.14891,0.03465,7.0332,0.6181,0.24057,0.04533,12.004,16.75,0.4317,triangular,t4,1
27,638409,5001,0.19458,0.03687,7.5607,0.5087,0.22096,0.03942,12.347,19.047,0.4195,triangular,t4,1
28,791849,5000,0.19205,0.03902,8.1199,0.5108,0.12158,0.04069,13.493,18.67,0.4346,triangular,t4,1
29,5813742,4998,0.15284,0.04066,7.991,0.5382,0.22219,0.04249,13.166,17.164,0.4769,triangular,t4,1
30,4379700,5000,0.17849,0.03885,6.115,0.5395,0.18446,0.04584,13.977,17.089,0.4256,triangular,t4,1
31,938541,5000,0.20913,0.03837,6.3692,0.5909,0.20612,0.03928,12.175,17.596,0.4804,triangular,t4,1
32,3851244,5000,0.19865,0.03505,6.0893,0.6244,0.15963,0.03904,12.543,16.521,0.4287,triangular,t4,1
33,595313,5001,0.1927,0.0395,7.0084,0.5271,0.22704,0.04137,14.418,16.192,0.4315,triangular,t4,1
34,1538693,5000,0.11124,0.03042,6.8013,0.618,0.17709,0.03967,13.765,17.297,0.4484,triangular,t4,1
35,4705717,5000,0.16009,0.03971,7.6304,0.6304,0.12315,0.03808,13.357,16.484,0.3974,triangular,t4,1
36,3462175,5000,0.17546,0.03333,5.9241,0.6272,0.16616,0.04119,13.777,19.067,0.4727,triangular,t4,1
37,5500334,5001,0.1857,0.03025,6.978,0.5327,0.09786,0.0405,11.792,18.902,0.4226,triangular,t4,1
38,6438658,5000,0.12997,0.03378,7.0097,0.6352,0.22774,0.03889,13.125,16.05,0.4693,triangular,t4,1
39,1482550,5000,0.14978,0.03644,6.7221,0.6013,0.24688,0.04295,11.858,18.356,0.4547,triangular,t4,1
40,6480660,4998,0.1852,0.03619,7.2226,0.6142,0.14353,0.04346,13.64,18.075,0.4533,triangular,t4,1
41,6104845,4998,0.13392,0.03502,7.2186,0.5077,0.14478,0.04003,12.834,18.916,0.4187,triangular,t4,1
42,3026098,5000,0.19418,0.03853,6.708,0.6248,0.24622,0.04244,12.921,18.816,0.4662,triangular,t4,1
43,7460406,5000,0.14001,0.0316,8.1827,0.5731,0.16921,0.04594,13.557,16.863,0.4828,triangular,t4,1
44,5308063,5000,0.21887,0.03379,6.7347,0.5484,0.14382,0.03805,13.03,17.354,0.4442,triangular,t4,1
45,8627932,5000,0.13439,0.0397,5.5797,0.5957,0.20932,0.03874,12.901,16.262,0.4271,triangular,t4,1
46,3744998,5001,0.17654,0.04023,7.2583,0.5063,0.16459,0.04387,13.919,19.406,0.4502,triangular,t4,1
47,3322087,4999,0.21678,0.03396,6.7142,0.6315,0.15392,0.04026,14.405,18.857,0.4331,triangular,t4,1
48,1566218,5000,0.14842,0.03766,8.0954,0.5138,0.18685,0.04559,14.278,18.822,0.4335,triangular,t4,1
49,4414383,4998,0.18443,0.03086,6.8714,0.53,0.18575,0.03852,11.944,19.455,0.4546,triangular,t4,1
50,1943412,5000,0.11317,0.03968,6.9509,0.605,0.29674,0.03892,12.63,19.112,0.4677,triangular,t4,1
51,87056,5001,0.16096,0.03678,6.0117,0.614,0.15963,0.04294,12.704,19.152,0.4476,triangular,t4,1
52,5963092,5000,0.17008,0.04076,7.2279,0.576,0.16101,0.04392,13.529,16.567,0.4383,triangular,t4,1
53,7140501,5001,0.1786,0.03407,5.9114,0.5561,0.16423,0.0447,11.815,18.356,0.4898,triangular,t4,1
54,847256,5000,0.2185,0.03617,6.6581,0.6366,0.18104,0.04016,13.185,17.797,0.484,triangular,t4,1
55,5914326,5000,0.19881,0.03275,6.072,0.6197,0.17622,0.04534,13.884,16.225,0.4354,triangular,t4,1
56,3774950,5000,0.21944,0.03284,7.5417,0.5586,0.15881,0.04078,14.008,19.391,0.4204,triangular,t4,1
57,1282412,4998,0.18065,0.03992,6.3811,0.5946,0.12172,0.03969,14.461,19.315,0.464,triangular,t4,1
58,7822270,5000,0.12495,0.0331,8.0005,0.5134,0.16216,0.04178,12.569,18.481,0.4592,triangular,t4,1
59,8777584,5000,0.14883,0.03807,6.7078,0.5647,0.10543,0.04134,13.252,19.352,0.4548,triangular,t4,1
60,8888924,5000,0.15065,0.0407,7.1473,0.5027,0.10116,0.03801,12.173,19.345,0.4343,triangular,t4,1
61,2489330,4998,0.12193,0.03398,6.7092,0.5876,0.16069,0.04564,11.942,18.679,0.4517,triangular,t4,1
62,6899187,5001,0.18996,0.03133,7.4595,0.5795,0.13596,0.03932,11.57,16.748,0.4717,triangular,t4,1
63,8136737,4998,0.13522,0.03869,6.9263,0.552,0.15992,0.04355,13.482,17.324,0.447,triangular,t4,1
64,2556591,5000,0.16293,0.03775,7.8755,0.5512,0.14452,0.04577,11.863,17.427,0.4999,triangular,t4,1
65,2759847,5000,0.20206,0.03282,6.8073,0.6259,0.19633,0.04448,13.376,18.177,0.4559,triangular,t4,1
66,7366551,5000,0.14032,0.03596,6.216,0.5415,0.12433,0.04519,14.025,19.305,0.4849,triangular,t4,1
67,885140,5000,0.17336,0.04089,7.0972,0.6066,0.12379,0.03839,11.631,18.583,0.4512,triangular,t4,1
68,2468376,5000,0.22351,0.03935,5.6395,0.6115,0.20181,0.03881,14.381,18.174,0.4436,triangular,t4,1
69,5215277,4999,0.16157,0.03632,6.5467,0.6179,0.18668,0.04514,13.187,19.166,0.4432,triangular,t4,1
70,5764811,5000,0.20335,0.03276,7.592,0.5328,0.16243,0.03947,13.354,19.295,0.4264,triangular,t4,1
71,5889612,5000,0.07221,0.03416,7.2469,0.5639,0.14613,0.03864,12.25,19.224,0.4509,triangular,t4,0
72,2987908,5000,0.16826,0.03164,6.6025,0.6082,0.1929,0.03994,13.467,17.884,0.444,triangular,t4,1
73,4381707,5000,0.12589,0.04074,6.8738,0.6329,0.18581,0.04204,13.987,18.848,0.4574,triangular,t4,1
74,4282842,4999,0.16959,0.03678,7.8201,0.5377,0.14249,0.04425,13.457,19.352,0.4899,triangular,t4,1
75,4467801,5000,0.13667,0.03228,6.6805,0.5605,0.15302,0.04283,13.413,17.197,0.4548,triangular,t4,1
76,7696700,5000,0.19045,0.03153,8.3664,0.6335,0.09303,0.04328,11.694,18.797,0.4587,triangular,t4,1
77,2019831,4999,0.19822,0.03931,7.2309,0.5556,0.11089,0.04322,12.053,17.649,0.4475,triangular,t4,1
78,6287922,5000,0.20466,0.03597,8.2579,0.5554,0.1751,0.04084,12.111,19.373,0.4402,triangular,t4,1
79,4959569,5000,0.18469,0.03745,7.776,0.518,0.14824,0.04002,13.052,16.184,0.4749,triangular,t4,1
80,6980759,5000,0.12192,0.03962,6.7116,0.6167,0.08943,0.04395,13.653,19.416,0.4507,triangular,t4,1
81,6179375,5000,0.14923,0.03122,8.3954,0.5285,0.11165,0.04378,11.685,18.945,0.4747,triangular,t4,1
82,1675802,5000,0.19184,0.03284,6.448,0.5343,0.1979,0.04484,13.323,18.509,0.4571,triangular,t4,1
83,5211416,5001,0.27511,0.03843,6.3062,0.5912,0.17093,0.04368,11.823,16.782,0.4418,triangular,t4,0
84,950907,5000,0.09695,0.03239,7.1059,0.5855,0.19915,0.04388,13.941,18.48,0.4924,triangular,t4,1
85,2419262,4999,0.14485,0.03574,6.2337,0.5763,0.19565,0.03943,14.415,18.259,0.4164,triangular,t4,1
86,7377900,5000,0.17509,0.03378,7.7648,0.5339,0.11646,0.03831,13.155,18.92,0.4427,triangular,t4,1
87,8953821,5000,0.15518,0.03619,6.9124,0.6177,0.21468,0.04411,12.705,19.298,0.457,triangular,t4,1
88,1807885,5000,0.17602,0.03664,6.6975,0.5462,0.11643,0.04575,11.62,18.54,0.45,triangular,t4,1
89,6829190,4998,0.224,0.03565,6.8578,0.5778,0.2632,0.03817,12.232,16.369,0.4531,triangular,t4,1
90,8900427,5000,0.14119,0.03013,5.9992,0.6039,0.12997,0.03979,11.653,16.837,0.464,triangular,t4,1
91,7729466,5001,0.10893,0.03335,6.1677,0.612,0.23883,0.03901,11.995,17.399,0.4293,triangular,t4,1
92,4735948,5000,0.16934,0.03225,6.8907,0.5123,0.16502,0.04129,12.07,17.207,0.467,triangular,t4,1
93,1825460,5000,0.12822,0.03923,7.0031,0.5832,0.19159,0.03891,13.54,17.037,0.4467,triangular,t4,1
94,5710498,4999,0.12665,0.0324,8.0063,0.6149,0.2663,0.03835,13.943,18.817,0.4903,triangular,t4,1
95,2422962,4999,0.12134,0.03459,7.6431,0.548,0.2157,0.03898,11.634,16.734,0.4504,triangular,t4,1
96,3151381,4998,0.11322,0.04084,6.2993,0.6267,0.07394,0.04129,11.909,18.124,0.4565,triangular,t4,1
97,4861747,4999,0.2125,0.03389,7.1973,0.6065,0.173,0.04452,13.201,18.245,0.4625,triangular,t4,1
98,1175569,4999,0.21297,0.03627,6.8034,0.6422,0.20883,0.04536,13.636,18.634,0.4174,triangular,t4,1
99,3077627,5001,0.12436,0.03272,8.472,0.6463,0.20749,0.04552,11.655,17.374,0.4219,triangular,t4,1
100,4266282,5000,0.18263,0.0301,6.5332,0.5473,0.08896,0.03914,12.654,18.004,0.4399,triangular,t4,1
101,7485012,4998,0.16248,0.03441,6.9625,0.5514,0.23531,0.04191,12.114,17.587,0.4633,triangular,t4,1
102,6548301,5000,0.11934,0.0329,6.0973,0.5131,0.2095,0.04488,13.383,19.105,0.4426,triangular,t4,1
103,5986456,4999,0.18285,0.03576,6.6805,0.5515,0.19025,0.04028,11.675,19.384,0.4396,triangular,t4,1
104,6696528,4999,0.23635,0.03879,6.6939,0.5648,0.19723,0.04275,11.909,16.494,0.4404,triangular,t4,0
105,1577498,5000,0.12009,0.03446,6.512,0.6441,0.14107,0.03957,11.561,16.023,0.4647,triangular,t4,1
106,5665996,5000,0.19228,0.03922,6.2144,0.6055,0.15438,0.03803,14.307,16.57,0.4451,triangular,t4,1
107,5567443,5000,0.08181,0.03294,7.1884,0.5244,0.21962,0.04186,12.661,19.226,0.4675,triangular,t4,0
