rep,seed,n_sim,tau_E_hat,tau_E_se,tau_M_hat,tau_M_se,tau_Q_hat,tau_Q_se,h_opt_E,cct_b_E,first_stage_jump,kernel,scen,covers_95
1,3113904,5000,0.13861,0.03297,7.8521,0.5772,0.14719,0.04162,12.215,16.702,0.4227,triangular,weak_first_stage,1
2,8111506,5000,0.20931,0.0303,7.1856,0.5183,0.16682,0.03939,11.959,16.643,0.4405,triangular,weak_first_stage,1
3,7468188,5000,0.13428,0.03247,5.912,0.6115,0.21539,0.03976,13.461,17.681,0.4458,triangular,weak_first_stage,1
4,4612815,4998,0.05945,0.03293,6.6939,0.5793,0.07883,0.03843,12.234,18.661,0.4406,triangular,weak_first_stage,0
5,2542472,5000,0.2749,0.03491,6.7081,0.5301,0.12583,0.04134,12.043,16.921,0.4444,triangular,weak_first_stage,0
6,1615905,5000,0.11663,0.0363,6.7128,0.5673,0.16859,0.04468,12.882,17.813,0.4928,triangular,weak_first_stage,1
7,2720529,4998,0.17376,0.03772,7.043,0.6118,0.1919,0.04208,12.707,17.136,0.4535,triangular,weak_first_stage,1
8,8585417,4998,0.08454,0.0326,7.4696,0.5793,0.14787,0.04427,12.908,19.342,0.4457,triangular,weak_first_stage,0
9,2081347,5001,0.16701,0.03533,7.5159,0.5864,0.1945,0.04328,12.141,16.816,0.4408,triangular,weak_first_stage,1
10,7453636,5000,0.2288,0.03898,7.8827,0.5268,0.19875,0.04132,12.85,17.601,0.4562,triangular,weak_first_stage,1
11,1750756,5000,0.19224,0.035,6.5949,0.5692,0.18462,0.03945,14.068,18.573,0.4477,triangular,weak_first_stage,1
12,6109465,5000,0.13785,0.03025,5.6205,0.6082,0.10793,0.03929,13.248,17.339,0.5089,triangular,weak_first_stage,1
13,3836619,5001,0.07261,0.03148,7.8649,0.5255,0.1372,0.04189,11.679,16.11,0.4572,triangular,weak_first_stage,0
14,5616701,5000,0.17504,0.03065,6.6823,0.6306,0.13177,0.0393,12.322,18.261,0.4355,triangular,weak_first_stage,1
15,430260,5000,0.1983,0.03032,6.7372,0.5201,0.10424,0.04001,11.631,17.613,0.4444,triangular,weak_first_stage,1
16,4419857,5000,0.15551,0.04095,6.8602,0.5064,0.08251,0.04073,13.305,17.09,0.4428,triangular,weak_first_stage,1
17,4498592,5000,0.13207,0.03262,7.3471,0.5976,0.28211,0.04295,11.675,17.451,0.4232,triangular,weak_first_stage,1
18,2636275,5000,0.06774,0.03411,6.8987,0.5922,0.17587,0.04162,14.068,16.354,0.4716,triangular,weak_first_stage,0
