major_code,occ_code,affinity
MJ001,OCC0001,0.349
MJ002,OCC0002,0.674
MJ003,OCC0003,0.431
MJ004,OCC0004,0.072
MJ005,OCC0005,0.705
MJ006,OCC0006,0.973
MJ007,OCC0007,0.763
MJ008,OCC0008,0.516
MJ009,OCC0009,0.976
MJ010,OCC0010,0.187
MJ011,OCC0011,0.668
MJ012,OCC0012,0.31
MJ013,OCC0013,0.171
MJ014,OCC0014,0.027
MJ015,OCC0015,0.453
MJ016,OCC0016,0.339
MJ017,OCC0017,0.738
MJ018,OCC0018,0.379
MJ019,OCC0019,0.575
MJ020,OCC0020,0.855
MJ021,OCC0021,0.314
MJ022,OCC0022,0.353
MJ023,OCC0023,0.624
MJ024,OCC0024,0.131
MJ025,OCC0025,0.855
MJ026,OCC0026,0.451
MJ027,OCC0027,0.459
MJ028,OCC0028,0.747
MJ029,OCC0029,0.464
MJ030,OCC0030,0.28
MJ031,OCC0031,0.648
MJ032,OCC0032,0.248
MJ033,OCC0033,0.635
MJ034,OCC0034,0.158
MJ035,OCC0035,0.796
MJ036,OCC0036,0.358
MJ037,OCC0037,0.219
MJ038,OCC0038,0.883
MJ039,OCC0039,0.716
MJ040,OCC0040,0.442
MJ001,OCC0041,0.456
MJ002,OCC0042,0.081
MJ003,OCC0043,0.37
MJ004,OCC0044,0.207
MJ005,OCC0045,0.367
MJ006,OCC0046,0.843
MJ007,OCC0047,0.306
MJ008,OCC0048,0.03
MJ009,OCC0049,0.814
MJ010,OCC0050,0.833
MJ011,OCC0051,0.047
MJ012,OCC0052,0.589
MJ013,OCC0053,0.648
MJ014,OCC0054,0.978
MJ015,OCC0055,0.042
MJ016,OCC0056,0.492
MJ017,OCC0057,0.172
MJ018,OCC0058,0.856
MJ019,OCC0059,0.583
MJ020,OCC0060,0.186
MJ021,OCC0001,0.528
MJ022,OCC0002,0.155
MJ023,OCC0003,0.412
MJ024,OCC0004,0.035
MJ025,OCC0005,0.98
MJ026,OCC0006,0.309
MJ027,OCC0007,0.65
MJ028,OCC0008,0.533
MJ029,OCC0009,0.42
MJ030,OCC0010,0.256
MJ031,OCC0011,0.141
MJ032,OCC0012,0.249
MJ033,OCC0013,0.406
MJ034,OCC0014,0.87
MJ035,OCC0015,0.832
MJ036,OCC0016,0.335
MJ037,OCC0017,0.197
MJ038,OCC0018,0.389
MJ039,OCC0019,0.269
MJ040,OCC0020,0.211
MJ001,OCC0021,0.326
MJ002,OCC0022,0.81
MJ003,OCC0023,0.231
MJ004,OCC0024,0.611
MJ005,OCC0025,0.72
MJ006,OCC0026,0.561
MJ007,OCC0027,0.188
MJ008,OCC0028,0.661
MJ009,OCC0029,0.816
MJ010,OCC0030,0.767
MJ011,OCC0031,0.34
MJ012,OCC0032,0.518
MJ013,OCC0033,0.903
MJ014,OCC0034,0.156
MJ015,OCC0035,0.597
MJ016,OCC0036,0.977
MJ017,OCC0037,0.15
MJ018,OCC0038,0.689
MJ019,OCC0039,0.542
MJ020,OCC0040,0.123
MJ021,OCC0041,0.321
MJ022,OCC0042,0.946
MJ023,OCC0043,0.481
MJ024,OCC0044,0.142
MJ025,OCC0045,0.328
MJ026,OCC0046,0.147
MJ027,OCC0047,0.97
MJ028,OCC0048,0.349
MJ029,OCC0049,0.29
MJ030,OCC0050,0.615
MJ031,OCC0051,0.24
MJ032,OCC0052,0.26
MJ033,OCC0053,0.908
MJ034,OCC0054,0.629
MJ035,OCC0055,0.991
MJ036,OCC0056,0.562
MJ037,OCC0057,0.133
MJ038,OCC0058,0.748
MJ039,OCC0059,0.332
MJ040,OCC0060,0.493
MJ001,OCC0001,0.668
MJ002,OCC0002,0.308
MJ003,OCC0003,0.666
MJ004,OCC0004,0.509
MJ005,OCC0005,0.213
MJ006,OCC0006,0.313
MJ007,OCC0007,0.117
MJ008,OCC0008,0.094
MJ009,OCC0009,0.824
MJ010,OCC0010,0.964
MJ011,OCC0011,0.887
MJ012,OCC0012,0.404
MJ013,OCC0013,0.022
MJ014,OCC0014,0.795
MJ015,OCC0015,0.706
MJ016,OCC0016,0.468
MJ017,OCC0017,0.644
MJ018,OCC0018,0.486
MJ019,OCC0019,0.246
MJ020,OCC0020,0.769
MJ021,OCC0021,0.279
MJ022,OCC0022,0.404
MJ023,OCC0023,0.261
MJ024,OCC0024,0.414
MJ025,OCC0025,0.497
MJ026,OCC0026,0.414
MJ027,OCC0027,0.541
MJ028,OCC0028,0.634
MJ029,OCC0029,0.93
MJ030,OCC0030,0.9
MJ031,OCC0031,0.824
MJ032,OCC0032,0.201
MJ033,OCC0033,0.01
MJ034,OCC0034,0.149
MJ035,OCC0035,0.036
MJ036,OCC0036,0.364
MJ037,OCC0037,0.503
MJ038,OCC0038,0.653
MJ039,OCC0039,0.194
MJ040,OCC0040,0.01
MJ001,OCC0041,0.543
MJ002,OCC0042,0.773
MJ003,OCC0043,0.226
MJ004,OCC0044,0.847
MJ005,OCC0045,0.625
MJ006,OCC0046,0.663
MJ007,OCC0047,0.145
MJ008,OCC0048,0.943
MJ009,OCC0049,0.813
MJ010,OCC0050,0.281
MJ011,OCC0051,0.772
MJ012,OCC0052,0.65
MJ013,OCC0053,0.462
MJ014,OCC0054,0.137
MJ015,OCC0055,0.17
MJ016,OCC0056,0.344
MJ017,OCC0057,0.729
MJ018,OCC0058,0.204
MJ019,OCC0059,0.024
MJ020,OCC0060,0.424
MJ021,OCC0001,0.186
MJ022,OCC0002,0.824
MJ023,OCC0003,0.275
MJ024,OCC0004,0.321
MJ025,OCC0005,0.878
MJ026,OCC0006,0.879
MJ027,OCC0007,0.75
MJ028,OCC0008,0.308
MJ029,OCC0009,0.904
MJ030,OCC0010,0.739
MJ031,OCC0011,0.718
MJ032,OCC0012,0.23
MJ033,OCC0013,0.939
MJ034,OCC0014,0.299
MJ035,OCC0015,0.832
MJ036,OCC0016,0.325
MJ037,OCC0017,0.579
MJ038,OCC0018,0.657
MJ039,OCC0019,0.597
MJ040,OCC0020,0.381
MJ001,OCC0021,0.991
MJ002,OCC0022,0.313
MJ003,OCC0023,0.575
MJ004,OCC0024,0.42
MJ005,OCC0025,0.93
MJ006,OCC0026,0.853
MJ007,OCC0027,0.078
MJ008,OCC0028,0.353
MJ009,OCC0029,0.401
MJ010,OCC0030,0.011
MJ011,OCC0031,0.682
MJ012,OCC0032,0.875
MJ013,OCC0033,0.228
MJ014,OCC0034,0.931
MJ015,OCC0035,0.464
MJ016,OCC0036,0.335
MJ017,OCC0037,0.345
MJ018,OCC0038,0.107
MJ019,OCC0039,0.264
MJ020,OCC0040,0.229
MJ021,OCC0041,0.177
MJ022,OCC0042,0.782
MJ023,OCC0043,0.947
MJ024,OCC0044,0.358
MJ025,OCC0045,0.482
MJ026,OCC0046,0.678
MJ027,OCC0047,0.301
MJ028,OCC0048,0.963
MJ029,OCC0049,0.368
MJ030,OCC0050,0.175
MJ031,OCC0051,0.841
MJ032,OCC0052,0.826
MJ033,OCC0053,0.003
MJ034,OCC0054,0.544
MJ035,OCC0055,0.994
MJ036,OCC0056,0.481
MJ037,OCC0057,0.548
MJ038,OCC0058,0.874
MJ039,OCC0059,0.277
MJ040,OCC0060,0.519
MJ001,OCC0001,0.74
MJ002,OCC0002,0.618
MJ003,OCC0003,0.271
MJ004,OCC0004,0.375
MJ005,OCC0005,0.991
MJ006,OCC0006,0.382
MJ007,OCC0007,0.518
MJ008,OCC0008,0.283
MJ009,OCC0009,0.413
MJ010,OCC0010,0.224
MJ011,OCC0011,0.145
MJ012,OCC0012,0.197
