major_code,skill_id,weight
MJ001,SK0001,0.481
MJ002,SK0002,0.44
MJ003,SK0003,0.401
MJ004,SK0004,0.312
MJ005,SK0005,0.183
MJ006,SK0006,0.33
MJ007,SK0007,0.44
MJ008,SK0008,0.617
MJ009,SK0009,0.493
MJ010,SK0010,0.479
MJ011,SK0011,0.11
MJ012,SK0012,0.213
MJ013,SK0013,0.432
MJ014,SK0014,0.446
MJ015,SK0015,0.897
MJ016,SK0016,0.765
MJ017,SK0017,0.64
MJ018,SK0018,0.538
MJ019,SK0019,0.793
MJ020,SK0020,0.444
MJ021,SK0021,0.546
MJ022,SK0022,0.379
MJ023,SK0023,0.255
MJ024,SK0024,0.138
MJ025,SK0025,0.712
MJ026,SK0026,0.633
MJ027,SK0027,0.897
MJ028,SK0028,0.629
MJ029,SK0029,0.801
MJ030,SK0030,0.88
MJ031,SK0031,0.714
MJ032,SK0032,0.263
MJ033,SK0033,0.421
MJ034,SK0034,0.749
MJ035,SK0035,0.367
MJ036,SK0036,0.272
MJ037,SK0037,0.427
MJ038,SK0038,0.527
MJ039,SK0039,0.622
MJ040,SK0040,0.078
MJ001,SK0041,0.587
MJ002,SK0042,0.11
MJ003,SK0043,0.544
MJ004,SK0044,0.482
MJ005,SK0045,0.45
MJ006,SK0046,0.231
MJ007,SK0047,0.435
MJ008,SK0048,0.32
MJ009,SK0049,0.533
MJ010,SK0050,0.574
MJ011,SK0051,0.341
MJ012,SK0052,0.833
MJ013,SK0053,0.296
MJ014,SK0054,0.76
MJ015,SK0055,0.418
MJ016,SK0056,0.683
MJ017,SK0057,0.773
MJ018,SK0058,0.662
MJ019,SK0059,0.472
MJ020,SK0060,0.814
MJ021,SK0061,0.394
MJ022,SK0062,0.541
MJ023,SK0063,0.205
MJ024,SK0064,0.779
MJ025,SK0065,0.578
MJ026,SK0066,0.54
MJ027,SK0067,0.454
MJ028,SK0068,0.792
MJ029,SK0069,0.085
MJ030,SK0070,0.693
MJ031,SK0071,0.858
MJ032,SK0072,0.13
MJ033,SK0073,0.736
MJ034,SK0074,0.825
MJ035,SK0075,0.638
MJ036,SK0076,0.719
MJ037,SK0077,0.31
MJ038,SK0078,0.728
MJ039,SK0079,0.739
MJ040,SK0080,0.893
MJ001,SK0001,0.95
MJ002,SK0002,0.548
MJ003,SK0003,0.472
MJ004,SK0004,0.651
MJ005,SK0005,0.329
MJ006,SK0006,0.262
MJ007,SK0007,0.932
MJ008,SK0008,0.84
MJ009,SK0009,0.376
MJ010,SK0010,0.208
MJ011,SK0011,0.568
MJ012,SK0012,0.152
MJ013,SK0013,0.071
MJ014,SK0014,0.833
MJ015,SK0015,0.49
MJ016,SK0016,0.656
MJ017,SK0017,0.29
MJ018,SK0018,0.438
MJ019,SK0019,0.78
MJ020,SK0020,0.762
MJ021,SK0021,0.661
MJ022,SK0022,0.789
MJ023,SK0023,0.898
MJ024,SK0024,0.763
MJ025,SK0025,0.245
MJ026,SK0026,0.529
MJ027,SK0027,0.707
MJ028,SK0028,0.406
MJ029,SK0029,0.279
MJ030,SK0030,0.586
MJ031,SK0031,0.654
MJ032,SK0032,0.217
MJ033,SK0033,0.15
MJ034,SK0034,0.186
MJ035,SK0035,0.428
MJ036,SK0036,0.324
MJ037,SK0037,0.722
MJ038,SK0038,0.344
MJ039,SK0039,0.573
MJ040,SK0040,0.51
MJ001,SK0041,0.516
MJ002,SK0042,0.295
MJ003,SK0043,0.529
MJ004,SK0044,0.188
MJ005,SK0045,0.204
MJ006,SK0046,0.39
MJ007,SK0047,0.787
MJ008,SK0048,0.381
MJ009,SK0049,0.112
MJ010,SK0050,0.86
MJ011,SK0051,0.488
MJ012,SK0052,0.782
MJ013,SK0053,0.181
MJ014,SK0054,0.617
MJ015,SK0055,0.683
MJ016,SK0056,0.238
MJ017,SK0057,0.527
MJ018,SK0058,0.366
MJ019,SK0059,0.701
MJ020,SK0060,0.601
MJ021,SK0061,0.316
MJ022,SK0062,0.717
MJ023,SK0063,0.164
MJ024,SK0064,0.229
MJ025,SK0065,0.114
MJ026,SK0066,0.685
MJ027,SK0067,0.611
MJ028,SK0068,0.652
MJ029,SK0069,0.249
MJ030,SK0070,0.618
MJ031,SK0071,0.915
MJ032,SK0072,0.369
MJ033,SK0073,0.842
MJ034,SK0074,0.343
MJ035,SK0075,0.473
MJ036,SK0076,0.313
MJ037,SK0077,0.097
MJ038,SK0078,0.703
MJ039,SK0079,0.386
MJ040,SK0080,0.717
MJ001,SK0001,0.687
MJ002,SK0002,0.605
MJ003,SK0003,0.063
MJ004,SK0004,0.12
MJ005,SK0005,0.315
MJ006,SK0006,0.537
MJ007,SK0007,0.446
MJ008,SK0008,0.394
MJ009,SK0009,0.506
MJ010,SK0010,0.293
MJ011,SK0011,0.637
MJ012,SK0012,0.314
MJ013,SK0013,0.657
MJ014,SK0014,0.623
MJ015,SK0015,0.16
MJ016,SK0016,0.393
MJ017,SK0017,0.758
MJ018,SK0018,0.285
MJ019,SK0019,0.947
MJ020,SK0020,0.719
MJ021,SK0021,0.118
MJ022,SK0022,0.629
MJ023,SK0023,0.052
MJ024,SK0024,0.811
MJ025,SK0025,0.092
MJ026,SK0026,0.339
MJ027,SK0027,0.7
MJ028,SK0028,0.265
MJ029,SK0029,0.786
MJ030,SK0030,0.543
MJ031,SK0031,0.447
MJ032,SK0032,0.207
MJ033,SK0033,0.067
MJ034,SK0034,0.235
MJ035,SK0035,0.215
MJ036,SK0036,0.219
MJ037,SK0037,0.197
MJ038,SK0038,0.709
MJ039,SK0039,0.721
MJ040,SK0040,0.33
MJ001,SK0041,0.346
MJ002,SK0042,0.861
MJ003,SK0043,0.593
MJ004,SK0044,0.784
MJ005,SK0045,0.357
MJ006,SK0046,0.378
MJ007,SK0047,0.511
MJ008,SK0048,0.302
MJ009,SK0049,0.093
MJ010,SK0050,0.072
MJ011,SK0051,0.719
MJ012,SK0052,0.543
MJ013,SK0053,0.447
MJ014,SK0054,0.842
MJ015,SK0055,0.542
MJ016,SK0056,0.54
MJ017,SK0057,0.694
MJ018,SK0058,0.719
MJ019,SK0059,0.488
MJ020,SK0060,0.264
MJ021,SK0061,0.289
MJ022,SK0062,0.168
MJ023,SK0063,0.78
MJ024,SK0064,0.729
MJ025,SK0065,0.855
MJ026,SK0066,0.926
MJ027,SK0067,0.941
MJ028,SK0068,0.259
MJ029,SK0069,0.852
MJ030,SK0070,0.111
MJ031,SK0071,0.603
MJ032,SK0072,0.635
MJ033,SK0073,0.912
MJ034,SK0074,0.45
MJ035,SK0075,0.457
MJ036,SK0076,0.447
MJ037,SK0077,0.145
MJ038,SK0078,0.924
MJ039,SK0079,0.761
MJ040,SK0080,0.563
MJ001,SK0001,0.846
MJ002,SK0002,0.763
MJ003,SK0003,0.603
MJ004,SK0004,0.692
MJ005,SK0005,0.358
MJ006,SK0006,0.67
MJ007,SK0007,0.247
MJ008,SK0008,0.649
MJ009,SK0009,0.579
MJ010,SK0010,0.099
MJ011,SK0011,0.891
MJ012,SK0012,0.454
MJ013,SK0013,0.442
MJ014,SK0014,0.065
MJ015,SK0015,0.204
MJ016,SK0016,0.241
MJ017,SK0017,0.737
MJ018,SK0018,0.356
MJ019,SK0019,0.949
MJ020,SK0020,0.133
