occ_code,skill_id,importance
OCC0001,SK0001,3.12
OCC0002,SK0002,4.85
OCC0003,SK0003,4.52
OCC0004,SK0004,4.18
OCC0005,SK0005,2.25
OCC0006,SK0006,3.9
OCC0007,SK0007,2.92
OCC0008,SK0008,2.86
OCC0009,SK0009,3.29
OCC0010,SK0010,2.54
OCC0011,SK0011,3.72
OCC0012,SK0012,3.87
OCC0013,SK0013,1.86
OCC0014,SK0014,3.32
OCC0015,SK0015,3.09
OCC0016,SK0016,4.78
OCC0017,SK0017,1.9
OCC0018,SK0018,4.78
OCC0019,SK0019,3.39
OCC0020,SK0020,3.69
OCC0021,SK0021,2.49
OCC0022,SK0022,4.5
OCC0023,SK0023,1.58
OCC0024,SK0024,3.35
OCC0025,SK0025,1.58
OCC0026,SK0026,2.69
OCC0027,SK0027,4.43
OCC0028,SK0028,3.35
OCC0029,SK0029,2.48
OCC0030,SK0030,4.48
OCC0031,SK0031,3.41
OCC0032,SK0032,2.18
OCC0033,SK0033,3.0
OCC0034,SK0034,2.15
OCC0035,SK0035,1.9
OCC0036,SK0036,4.66
OCC0037,SK0037,4.85
OCC0038,SK0038,3.34
OCC0039,SK0039,3.09
OCC0040,SK0040,2.2
OCC0041,SK0041,3.27
OCC0042,SK0042,3.01
OCC0043,SK0043,4.6
OCC0044,SK0044,2.61
OCC0045,SK0045,4.69
OCC0046,SK0046,4.06
OCC0047,SK0047,2.49
OCC0048,SK0048,3.46
OCC0049,SK0049,2.03
OCC0050,SK0050,2.96
OCC0051,SK0051,3.94
OCC0052,SK0052,4.01
OCC0053,SK0053,1.65
OCC0054,SK0054,4.29
OCC0055,SK0055,1.66
OCC0056,SK0056,3.78
OCC0057,SK0057,3.17
OCC0058,SK0058,2.6
OCC0059,SK0059,3.24
OCC0060,SK0060,2.87
OCC0001,SK0061,2.36
OCC0002,SK0062,4.84
OCC0003,SK0063,3.68
OCC0004,SK0064,2.38
OCC0005,SK0065,3.26
OCC0006,SK0066,2.88
OCC0007,SK0067,1.93
OCC0008,SK0068,2.85
OCC0009,SK0069,3.45
OCC0010,SK0070,3.37
OCC0011,SK0071,2.12
OCC0012,SK0072,2.48
OCC0013,SK0073,2.28
OCC0014,SK0074,4.89
OCC0015,SK0075,3.37
OCC0016,SK0076,3.44
OCC0017,SK0077,3.72
OCC0018,SK0078,2.09
OCC0019,SK0079,1.94
OCC0020,SK0080,2.25
OCC0021,SK0001,2.14
OCC0022,SK0002,3.75
OCC0023,SK0003,3.05
OCC0024,SK0004,3.87
OCC0025,SK0005,3.29
OCC0026,SK0006,3.9
OCC0027,SK0007,1.91
OCC0028,SK0008,3.81
OCC0029,SK0009,2.57
OCC0030,SK0010,4.55
OCC0031,SK0011,4.91
OCC0032,SK0012,3.3
OCC0033,SK0013,3.42
OCC0034,SK0014,1.79
OCC0035,SK0015,2.73
OCC0036,SK0016,4.86
OCC0037,SK0017,2.81
OCC0038,SK0018,3.12
OCC0039,SK0019,2.55
OCC0040,SK0020,3.76
OCC0041,SK0021,3.82
OCC0042,SK0022,2.36
OCC0043,SK0023,2.81
OCC0044,SK0024,3.63
OCC0045,SK0025,1.52
OCC0046,SK0026,2.84
OCC0047,SK0027,1.51
OCC0048,SK0028,2.5
OCC0049,SK0029,3.61
OCC0050,SK0030,4.23
OCC0051,SK0031,1.87
OCC0052,SK0032,4.12
OCC0053,SK0033,2.58
OCC0054,SK0034,1.94
OCC0055,SK0035,3.46
OCC0056,SK0036,1.61
OCC0057,SK0037,2.51
OCC0058,SK0038,2.01
OCC0059,SK0039,3.4
OCC0060,SK0040,1.66
OCC0001,SK0041,2.51
OCC0002,SK0042,4.53
OCC0003,SK0043,2.95
OCC0004,SK0044,4.69
OCC0005,SK0045,3.11
